;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Total;3600.0;3016.0;2621.0;2416.0;2584.0;2426.0;3030.0;4141.0;4412.0;4462.0;4129.0;4215.0;4006.0;3468.0;3729.0;4593.0;5081.0;6086.0;17684.0;4453.0;8984.0;12610.0;12827.0;9098.0;8203.0;9979.0;7412.0;8370.0;8298.0;7311.0;7338.0;8943.0
Etats-Unis;;;395.0;322.0;441.0;418.0;494.0;579.0;611.0;766.0;647.0;802.0;829.0;749.0;792.0;899.0;887.0;1115.0;3172.0;1469.0;2226.0;2951.0;2943.0;2245.0;1016.0;632.0;357.0;755.0;195.0;0.0;98.0;0.0
Espagne;455.0;455.0;382.0;375.0;506.0;432.0;557.0;679.0;712.0;778.0;569.0;772.0;575.0;503.0;523.0;554.0;521.0;683.0;2120.0;384.0;668.0;203.0;203.0;170.0;167.0;236.0;153.0;99.0;109.0;158.0;141.0;165.0
Mexique;282.0;225.0;168.0;147.0;236.0;277.0;416.0;519.0;665.0;552.0;528.0;452.0;361.0;283.0;282.0;322.0;369.0;398.0;848.0;87.0;646.0;516.0;827.0;534.0;635.0;740.0;492.0;988.0;1300.0;1229.0;1371.0;740.0
France;119.0;181.0;97.0;75.0;66.0;52.0;98.0;352.0;407.0;378.0;327.0;298.0;298.0;203.0;138.0;106.0;78.0;110.0;213.0;40.0;124.0;189.0;188.0;95.0;98.0;82.0;29.0;123.0;86.0;107.0;78.0;47.0
Inde;143.0;176.0;77.0;70.0;133.0;117.0;81.0;229.0;192.0;104.0;126.0;53.0;242.0;211.0;326.0;363.0;435.0;457.0;1160.0;557.0;723.0;1441.0;1800.0;1057.0;1134.0;1400.0;1194.0;1396.0;1553.0;1758.0;1787.0;1893.0
Nouvelle Zélande;;;44.0;53.0;44.0;48.0;89.0;169.0;134.0;186.0;225.0;268.0;206.0;182.0;173.0;239.0;261.0;368.0;1688.0;209.0;585.0;603.0;528.0;466.0;438.0;592.0;487.0;225.0;333.0;53.0;194.0;224.0
Belgique Luxembourg;390.0;374.0;269.0;163.0;163.0;142.0;189.0;167.0;179.0;195.0;192.0;200.0;159.0;146.0;131.0;128.0;122.0;159.0;936.0;188.0;542.0;536.0;495.0;464.0;179.0;170.0;83.0;85.0;126.0;90.0;119.0;98.0
Pologne;250.0;63.0;134.0;123.0;149.0;179.0;167.0;225.0;264.0;141.0;244.0;150.0;160.0;196.0;237.0;248.0;293.0;355.0;964.0;15.0;267.0;481.0;301.0;143.0;139.0;408.0;473.0;526.0;477.0;289.0;354.0;289.0
Brésil;28.0;18.0;29.0;24.0;29.0;22.0;41.0;66.0;80.0;116.0;153.0;169.0;148.0;161.0;294.0;249.0;237.0;472.0;959.0;360.0;415.0;871.0;712.0;492.0;573.0;659.0;394.0;668.0;842.0;666.0;534.0;327.0
Australie;;;22.0;46.0;59.0;50.0;51.0;81.0;127.0;141.0;154.0;159.0;132.0;79.0;51.0;211.0;188.0;234.0;1102.0;148.0;236.0;308.0;206.0;42.0;97.0;104.0;405.0;25.0;26.0;74.0;52.0;30.0
Croatie;;;;85.0;90.0;90.0;122.0;126.0;81.0;132.0;109.0;85.0;93.0;61.0;77.0;93.0;127.0;134.0;428.0;118.0;7.0;8.0;9.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Indonésie;183.0;124.0;114.0;152.0;136.0;135.0;68.0;56.0;0.0;0.0;0.0;15.0;93.0;114.0;54.0;161.0;234.0;156.0;19.0;0.0;0.0;0.0;290.0;254.0;309.0;383.0;237.0;304.0;367.0;363.0;222.0;273.0
Roumanie;181.0;96.0;86.0;128.0;57.0;58.0;62.0;80.0;39.0;91.0;114.0;61.0;60.0;80.0;88.0;101.0;86.0;142.0;477.0;58.0;225.0;436.0;401.0;216.0;189.0;265.0;102.0;206.0;160.0;163.0;151.0;159.0
Corée du sud;;;53.0;41.0;72.0;47.0;76.0;82.0;;;;;;;;;;;;;;;;;;133.0;142.0;151.0;129.0;130.0;96.0;97.0
Japon;64.0;71.0;43.0;37.0;15.0;22.0;53.0;116.0;103.0;89.0;65.0;52.0;43.0;33.0;31.0;39.0;58.0;69.0;186.0;48.0;51.0;149.0;37.0;58.0;28.0;69.0;20.0;30.0;14.0;16.0;17.0;40.0
Italie;126.0;29.0;59.0;57.0;47.0;53.0;50.0;32.0;27.0;28.0;39.0;40.0;39.0;39.0;45.0;26.0;30.0;42.0;109.0;4.0;37.0;38.0;59.0;33.0;30.0;25.0;24.0;25.0;21.0;46.0;37.0;30.0
Grèce;72.0;70.0;19.0;33.0;73.0;6.0;46.0;82.0;142.0;110.0;72.0;65.0;36.0;24.0;38.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;143.0;93.0;69.0;42.0;75.0;0.0;0.0
Bulgarie;32.0;30.0;10.0;37.0;;29.0;48.0;71.0;59.0;35.0;65.0;78.0;33.0;17.0;5.0;40.0;80.0;78.0;180.0;0.0;0.0;21.0;0.0;0.0;214.0;413.0;324.0;376.0;343.0;229.0;103.0;103.0
Allemagne;75.0;94.0;81.0;53.0;21.0;13.0;37.0;43.0;34.0;54.0;32.0;41.0;26.0;23.0;50.0;51.0;33.0;42.0;188.0;10.0;0.0;421.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pays-Bas;215.0;142.0;101.0;78.0;72.0;90.0;71.0;11.0;0.0;0.0;0.0;0.0;10.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;10.0;5.0;9.0;22.0
