,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008,2009.0,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.0,3016.0,2621.0,2416.0,2584.0,2426.0,3030.0,4141.0,4412.0,4462.0,4129.0,4215.0,4006.0,3468.0,3729.0,4593.0,5081.0,6086.0,17684,4453.0,8984,12610,12827,9098,8203,9979,7412,8370,8298,7311,7338,8943,,,,,,
Etats-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,322.0,441.0,418.0,494.0,579.0,611.0,766.0,647.0,802.0,829.0,749.0,792.0,899.0,887.0,1115.0,3172,1469.0,2226,2951,2943,2245,1016,632,357,755,195,0,98,0,,,,,,
Espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.0,455.0,382.0,375.0,506.0,432.0,557.0,679.0,712.0,778.0,569.0,772.0,575.0,503.0,523.0,554.0,521.0,683.0,2120,384.0,668,203,203,170,167,236,153,99,109,158,141,165,,,,,,
Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,225.0,168.0,147.0,236.0,277.0,416.0,519.0,665.0,552.0,528.0,452.0,361.0,283.0,282.0,322.0,369.0,398.0,848,87.0,646,516,827,534,635,740,492,988,1300,1229,1371,740,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,181.0,97.0,75.0,66.0,52.0,98.0,352.0,407.0,378.0,327.0,298.0,298.0,203.0,138.0,106.0,78.0,110.0,213,40.0,124,189,188,95,98,82,29,123,86,107,78,47,,,,,,
Inde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,176.0,77.0,70.0,133.0,117.0,81.0,229.0,192.0,104.0,126.0,53.0,242.0,211.0,326.0,363.0,435.0,457.0,1160,557.0,723,1441,1800,1057,1134,1400,1194,1396,1553,1758,1787,1893,,,,,,
Nouvelle Zélande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,53.0,44.0,48.0,89.0,169.0,134.0,186.0,225.0,268.0,206.0,182.0,173.0,239.0,261.0,368.0,1688,209.0,585,603,528,466,438,592,487,225,333,53,194,224,,,,,,
Belgique Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0,374.0,269.0,163.0,163.0,142.0,189.0,167.0,179.0,195.0,192.0,200.0,159.0,146.0,131.0,128.0,122.0,159.0,936,188.0,542,536,495,464,179,170,83,85,126,90,119,98,,,,,,
Pologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,63.0,134.0,123.0,149.0,179.0,167.0,225.0,264.0,141.0,244.0,150.0,160.0,196.0,237.0,248.0,293.0,355.0,964,15.0,267,481,301,143,139,408,473,526,477,289,354,289,,,,,,
Brésil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,18.0,29.0,24.0,29.0,22.0,41.0,66.0,80.0,116.0,153.0,169.0,148.0,161.0,294.0,249.0,237.0,472.0,959,360.0,415,871,712,492,573,659,394,668,842,666,534,327,,,,,,
Australie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,46.0,59.0,50.0,51.0,81.0,127.0,141.0,154.0,159.0,132.0,79.0,51.0,211.0,188.0,234.0,1102,148.0,236,308,206,42,97,104,405,25,26,74,52,30,,,,,,
Croatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,90.0,90.0,122.0,126.0,81.0,132.0,109.0,85.0,93.0,61.0,77.0,93.0,127.0,134.0,428,118.0,7,8,9,16,0,0,0,0,0,0,0,0,,,,,,
Indonésie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,124.0,114.0,152.0,136.0,135.0,68.0,56.0,0.0,0.0,0.0,15.0,93.0,114.0,54.0,161.0,234.0,156.0,19,0.0,0,0,290,254,309,383,237,304,367,363,222,273,,,,,,
Roumanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,96.0,86.0,128.0,57.0,58.0,62.0,80.0,39.0,91.0,114.0,61.0,60.0,80.0,88.0,101.0,86.0,142.0,477,58.0,225,436,401,216,189,265,102,206,160,163,151,159,,,,,,
Corée du sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,41.0,72.0,47.0,76.0,82.0,,,,,,,,,,,,,,,,,,133,142,151,129,130,96,97,,,,,,
