;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Total;11672.0;9143.0;9129.0;8398.0;9527.0;9420.0;10140.0;11669.0;11731.0;11381.0;10487.0;10853.0;11138.0;11010.0;11828.0;13385.0;13399.0;13916.0;11644.0;5724.0;10254.0;9357.0;9100.0;8608.0;8738.0;8525.0;7903.0;11061.0;11251.0;9495.0;10343.0;9865.0
Etats-Unis;223.0;207.0;65.0;100.0;20.0;19.0;125.0;188.0;309.0;215.0;156.0;139.0;86.0;76.0;118.0;74.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1005.0;411.0;256.0;864.0;193.0;0.0;204.0;0.0
Espagne;387.0;542.0;292.0;264.0;255.0;213.0;360.0;881.0;938.0;854.0;754.0;731.0;788.0;624.0;449.0;336.0;232.0;287.0;149.0;83.0;151.0;147.0;144.0;84.0;178.0;195.0;173.0;133.0;153.0;217.0;221.0;204.0
Mexique;577.0;260.0;278.0;410.0;186.0;199.0;201.0;197.0;89.0;192.0;218.0;121.0;128.0;225.0;265.0;283.0;146.0;190.0;210.0;102.0;232.0;288.0;231.0;148.0;639.0;622.0;544.0;1365.0;1866.0;1738.0;2082.0;933.0
France;0.0;0.0;0.0;263.0;265.0;262.0;317.0;275.0;160.0;260.0;233.0;179.0;182.0;189.0;244.0;276.0;331.0;316.0;317.0;117.0;11.0;6.0;7.0;15.0;106.0;69.0;30.0;164.0;123.0;157.0;115.0;58.0
Inde;1508.0;1404.0;1288.0;1223.0;1857.0;1624.0;1798.0;1814.0;1863.0;1993.0;1427.0;1880.0;1589.0;1590.0;1679.0;1657.0;1453.0;1724.0;1264.0;383.0;806.0;154.0;151.0;156.0;1216.0;1297.0;1240.0;1810.0;1834.0;1999.0;2092.0;1896.0
Pologne;252.0;269.0;270.0;171.0;74.0;66.0;159.0;148.0;114.0;151.0;80.0;98.0;64.0;76.0;166.0;154.0;95.0;101.0;130.0;22.0;0.0;316.0;255.0;0.0;151.0;345.0;536.0;696.0;651.0;383.0;524.0;376.0
Belgique Luxembourg;414.0;82.0;203.0;207.0;182.0;202.0;173.0;96.0;75.0;76.0;85.0;101.0;103.0;124.0;145.0;81.0;92.0;104.0;67.0;8.0;45.0;29.0;43.0;32.0;178.0;137.0;85.0;108.0;165.0;120.0;171.0;114.0
Brésil;574.0;364.0;371.0;492.0;398.0;410.0;180.0;133.0;0.0;0.0;0.0;44.0;291.0;393.0;177.0;507.0;683.0;386.0;41.0;0.0;0.0;0.0;206.0;238.0;616.0;613.0;492.0;973.0;1248.0;949.0;825.0;471.0
Nouvelle Zélande;0.0;0.0;175.0;144.0;252.0;193.0;269.0;249.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;410.0;439.0;442.0;229.0;346.0;60.0;212.0;272.0
Indonésie;1260.0;1139.0;918.0;553.0;565.0;514.0;561.0;520.0;495.0;567.0;472.0;455.0;404.0;466.0;440.0;399.0;369.0;419.0;506.0;242.0;661.0;417.0;375.0;432.0;351.0;362.0;257.0;425.0;544.0;503.0;344.0;344.0
Corée du sud;684.0;431.0;359.0;271.0;244.0;277.0;188.0;26.0;0.0;1.0;0.0;0.0;25.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;153.0;123.0;187.0;221.0;192.0;190.0;145.0;127.0
Australie;87.0;56.0;101.0;83.0;111.0;87.0;138.0;191.0;217.0;276.0;343.0;385.0;361.0;489.0;933.0;697.0;630.0;1060.0;621.0;502.0;527.0;673.0;534.0;488.0;88.0;64.0;126.0;32.0;33.0;110.0;74.0;28.0
Croatie;943.0;704.0;584.0;436.0;1082.0;1363.0;1739.0;1850.0;2240.0;1750.0;1498.0;1286.0;1102.0;985.0;936.0;950.0;912.0;889.0;988.0;90.0;730.0;413.0;593.0;500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Roumanie;157.0;111.0;64.0;67.0;22.0;20.0;0.0;9.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;40.0;37.0;106.0;196.0;74.0;221.0;272.0;340.0;319.0;143.0;168.0;96.0;178.0;167.0;161.0;159.0;132.0
Japon;193.0;194.0;131.0;119.0;47.0;76.0;142.0;263.0;215.0;184.0;140.0;109.0;103.0;108.0;104.0;113.0;155.0;157.0;155.0;50.0;62.0;113.0;27.0;55.0;26.0;54.0;21.0;36.0;18.0;20.0;26.0;32.0
Italie;109.0;89.0;38.0;60.0;25.0;6.0;44.0;27.0;4.0;0.0;0.0;0.0;10.0;9.0;70.0;113.0;76.0;87.0;64.0;7.0;32.0;28.0;19.0;14.0;31.0;21.0;29.0;33.0;27.0;59.0;53.0;39.0
Bulgarie;0.0;0.0;63.0;120.0;169.0;142.0;123.0;172.0;256.0;279.0;332.0;338.0;278.0;203.0;145.0;536.0;390.0;396.0;378.0;99.0;205.0;199.0;125.0;29.0;220.0;385.0;386.0;496.0;456.0;304.0;145.0;132.0
