,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990,1991,1992,1993.0,1994.0,1995.0,1996.0,1997.0,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009.0,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11672,9143,9129,8398.0,9527.0,9420.0,10140.0,11669.0,11731,11381,10487,10853,11138,11010,11828,13385,13399,13916,11644,5724.0,10254,9357,9100,8608,8738,8525,7903,11061,11251,9495,10343,9865,,,,,,
Etats-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,207,65,100.0,20.0,19.0,125.0,188.0,309,215,156,139,86,76,118,74,0,0,0,0.0,0,0,6,0,1005,411,256,864,193,0,204,0,,,,,,
Espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,542,292,264.0,255.0,213.0,360.0,881.0,938,854,754,731,788,624,449,336,232,287,149,83.0,151,147,144,84,178,195,173,133,153,217,221,204,,,,,,
Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,260,278,410.0,186.0,199.0,201.0,197.0,89,192,218,121,128,225,265,283,146,190,210,102.0,232,288,231,148,639,622,544,1365,1866,1738,2082,933,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,263.0,265.0,262.0,317.0,275.0,160,260,233,179,182,189,244,276,331,316,317,117.0,11,6,7,15,106,69,30,164,123,157,115,58,,,,,,
Inde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1404,1288,1223.0,1857.0,1624.0,1798.0,1814.0,1863,1993,1427,1880,1589,1590,1679,1657,1453,1724,1264,383.0,806,154,151,156,1216,1297,1240,1810,1834,1999,2092,1896,,,,,,
Pologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,269,270,171.0,74.0,66.0,159.0,148.0,114,151,80,98,64,76,166,154,95,101,130,22.0,0,316,255,0,151,345,536,696,651,383,524,376,,,,,,
Belgique Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,82,203,207.0,182.0,202.0,173.0,96.0,75,76,85,101,103,124,145,81,92,104,67,8.0,45,29,43,32,178,137,85,108,165,120,171,114,,,,,,
Brésil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,364,371,492.0,398.0,410.0,180.0,133.0,0,0,0,44,291,393,177,507,683,386,41,0.0,0,0,206,238,616,613,492,973,1248,949,825,471,,,,,,
