Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Exportation des produits miniers (en volume),
frequence,Annuelle,
Scenario ,Reel,
Source ,"Ministère de l'Energie, des Mines de l'eau et de l'environnement",MEMEE
Période disponible ,1980 - 2021,
Date de dernière mise à jour ,2023-05-10 10:53:30.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Exportation des produits miniers (en volume),
Unité,Tonnes,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
