Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Indice de la Production minière base 2010 (Annuelle),
frequence,Annuelle,
Scenario ,Reel,
Source ,Haut Commissariat au Plan,
Période disponible ,2010 - 2018,
Date de dernière mise à jour ,2020-02-28 10:59:37.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Indice de la Production minière (Base 2010),Indice de la Production minière (Base 2010
Unité,Indice (base 100=2010),
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
