Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Production des phosphates et dérivés en volume (Mensuel),
frequence,Mensuelle,
Scenario ,Reel,
Source ,Office Chérifien des Phosphates,
Période disponible ,1995M08 - 2016M12,
Date de dernière mise à jour ,2017-04-04 14:44:52.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Production des phosphates et dérivés en volume,
Unité,Tonnes,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
