,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011,2012,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
Assurance vie et capitalisation,,,,,,,,,,,,,,,,,91.68,114.92,148.56,163.87,178.25,229.53,245.88,304.32,329.02,387.29,449.39,513.04,599.91,677.38,760.98,950.7,1082.07,1300.56,1358.579,1471.172,1595.33,1875.05,2218.896,2645.2,2982.36,3100.74,4000.403,3470.327,2875.936,3259.286,4122.493,5863.93,6557.838,6643.311,6590.89,"7 650,62","8 776,0","8 598,6","9 399,1",10560.8,14296.0,16985.1,18189.4,20463.6,20395.4,22942.3,25394.8,25852.5,27143.9,,,
Assurance non vie,,,,,,,,,,,,,,,,,648.07,791.66,936.0,1084.54,1197.83,1286.47,1412.61,1511.16,1643.79,1810.68,1957.7,2142.8,2333.05,3190.56,3315.52,3689.04,4254.4,4775.418,5066.579,5517.621,5983.345,6335.02,6807.304,6888.84,7265.64,7690.57,8115.976,8901.53,9317.321,9847.022,10576.199,11805.802,13189.599,14165.143,15149.1,16080.07,"17 063,7","18 011,5","18 821,0",19860.0,20806.1,21935.2,22961.6,24229.6,24766.0,26645.4,28415.2,30074.2,32473.1,,,
accidents corporels,,,,,,,,,,,,,,,,,82.91,113.43,143.78,147.64,172.12,188.66,202.85,220.57,227.88,249.9,275.4,290.52,326.92,330.13,433.95,483.62,599.09,666.358,720.179,781.711,856.355,960.14,1017.722,1052.0,1165.99,1204.44,1350.52,1424.424,1538.895,1750.27,1931.625,2228.259,2461.786,2623.663,2726.77,2799.58,"2 941,0","3 068,8","3 224,0",3359.46,3652.8,3922.2,4074.3,4417.1,4417.9,4772.8,5045.9,5389.6,5621.7,,,
Accidents du travail,,,,,,,,,,,,,,,,,106.85,139.69,156.68,178.02,186.57,211.73,223.96,242.75,252.99,263.5,305.36,304.45,338.1,403.42,478.44,546.37,633.68,682.43,684.11,683.68,764.36,805.29,862.349,864.72,859.02,847.25,896.5,1432.097,1253.581,1222.969,1383.89,1476.885,1658.053,1831.003,1894.33,1957.32,"2 040,0","2 140,4","2 213,5",2090.93,2174.0,2222.5,2244.3,2291.1,2207.0,2319.6,2495.0,2557.0,2754.1,,,
Véhicules terrestres à moteur,,,,,,,,,,,,,,,,,297.65,338.83,413.0,508.32,562.66,584.4,636.55,666.3,740.25,781.4,841.03,929.85,1062.03,1746.43,1560.09,1719.86,1884.84,2170.34,2362.87,2762.04,3016.28,3154.19,3406.488,3504.92,3693.02,3905.07,4027.0,4067.279,4437.255,4658.137,4880.775,5427.91,5991.366,6587.678,7075.81,7531.27,"8 020,9","8 497,2","9 033,7",9514.18,9953.8,10481.7,11147.2,11952.1,11964.5,12988.7,13726.7,14370.5,15171.9,,,
responsabilité cilvile générale,,,,,,,,,,,,,,,,,17.96,21.43,22.65,27.03,31.37,33.13,34.87,43.36,28.25,47.12,57.43,53.79,25.73,57.88,75.98,77.5,100.56,135.91,117.46,114.92,130.5,139.27,154.804,168.63,154.95,165.6,190.28,204.325,221.493,230.704,280.223,343.348,386.458,424.295,458.21,490.48,477,509.5,509.3,544.39,550.0,548.9,581.7,568.0,567.8,604.4,703.4,741.5,785.8,,,
Incendies,,,,,,,,,,,,,,,,,54.87,63.13,73.63,84.58,94.57,110.95,126.85,136.43,138.76,158.64,183.89,241.34,215.93,240.28,268.37,307.47,322.8,356.13,386.97,385.17,427.91,437.55,463.98,458.68,504.74,557.96,590.1,629.529,627.76,689.645,770.243,799.78,868.164,941.856,1032.63,1062.68,"1 223,7","1 255,4","1 159,3",1312.12,1318.0,1331.7,1417.7,1609.3,1920.9,2053.6,2094.5,2278.1,2475.2,,,
Assurances des risques techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.62,114.031,78.85,98.29,105.05,97.856,102.226,169.713,158.343,211.822,235.531,292.526,264.559,304.43,339.45,337.7,377.1,416,393.68,329.0,242.3,300.6,288.6,173.6,276.1,284.4,459.2,380.5,,,
Transports,,,,,,,,,,,,,,,,,70.29,87.6,102.95,109.81,125.91,131.34,153.17,160.21,217.91,254.63,269.82,270.5,303.02,344.98,424.48,480.15,514.82,548.04,551.08,535.99,508.7,474.93,474.202,452.34,474.12,570.11,565.194,586.196,581.749,626.416,588.456,682.158,787.505,691.66,706.26,730.03,657.5,587.4,568.5,552.3,578.0,604.9,625.5,639.8,652.6,706.4,883.6,839.9,814.0,,,
Maritime (Corps),,,,,,,,,,,,,,,,,17.71,26.68,35.16,39.81,43.66,44.94,54.55,65.56,74.17,88.54,94.36,115.35,131.98,155.59,207.05,236.68,270.08,285.27,267.44,252.23,217.97,191.51,202.905,201.37,206.91,211.54,206.39,213.452,211.576,199.752,200.775,189.211,210.313,229.611,222.31,204,160.3,137.3,141.1,147.74,145.43,159.1,,,,,,,,,,
Marchandises transportées,,,,,,,,,,,,,,,,,45.36,50.67,59.31,58.12,70.17,73.74,81.87,78.7,115.46,126.02,112.98,118.27,131.08,153.94,173.62,191.74,196.63,191.39,199.16,210.07,223.15,225.77,228.185,216.45,234.87,255.13,254.688,261.161,294.225,341.614,358.002,452.026,537.019,386.75,397.8,381,373,65.9,69.2,64.72,64.9,70.6,,,,,,,,,,
Aviation,,,,,,,,,,,,,,,,,7.22,10.25,8.48,11.88,12.08,12.66,16.75,15.95,28.28,40.07,62.48,36.88,39.96,35.45,43.81,51.73,48.11,71.38,84.48,73.69,67.58,57.65,43.112,34.52,32.34,103.45,104.12,111.581,75.948,85.05,29.679,40.921,40.174,91.91,86.16,87,67.9,56.9,38,49.52,42.75,41.7,,,,,,,,,,
Autres opérations,,,,,,,,,,,,,,,,,17.54,27.55,23.31,29.14,24.63,26.26,34.36,41.54,37.75,55.49,24.77,52.35,61.32,67.44,74.21,74.07,198.61,216.21,243.91,254.11,279.24,262.03,313.728,308.7,315.51,335.1,375.193,427.842,486.873,510.538,529.165,577.859,673.967,,889.12,406,525.8,606.7,606.3,701.21,734.0,979.4,1002.1,816.7,955.3,888.2,949.8,1096.2,1134.9,,,
Vol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,34.75,25.96,32.7,43.22,48.148,52.705,67.636,55.9,68.574,75.049,78.823,85.54,105.32,130,129,127.7,129.2,147.19,175.87,168.4,,,,,,,,,,
Grêl,,,,,,,,,,,,,,,,,0.1,0.21,0.26,0.17,0.16,0.27,0.25,0.16,0.17,0.18,0.28,0.7,0.4,0.29,0.65,1.1,1.17,1.65,1.88,1.33,2.49,2.95,3.585,3.69,4.53,2.13,2.914,3.396,3.313,4.148,4.326,4.528,4.543,6.074,9.51,13,12.2,15.2,17.7,12.74,18.76,10.8,,,,,,,,,,
Crédit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,5.665,9.11,13.29,15.68,18.66,23.812,25.365,26.049,29.219,38.405,47.038,53.09,58.17,86.14,86.3,105.7,126,135.63,170.26,185.8,,,,,,,,,,
Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.31,110.33,120.4,148.73,155.25,164.84,187.325,206.11,222.07,235.27,260.83,297.477,336.302,373.157,387.894,415.28,491.119,583.14,641.15,677.52,754.3,863.3,964.4,1045.06,1160.87,1415.1,1568.3,1647.0,1429.8,1513.8,1671.0,1483.1,1559.0,,,
Autres,,,,,,,,,,,,,,,,,17.44,27.34,23.05,28.97,24.47,25.99,34.11,41.38,37.58,55.31,24.49,51.65,60.92,67.15,73.56,72.97,105.13,104.23,121.63,104.05,121.5,69.13,43.897,63.83,42.92,38.8,44.64,50.452,54.257,51.284,39.152,79.669,52.442,,189.8,93,113,152.7,326.7,,,,,,,,,,,,,
