Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Noms de domaine .ma (trimestriel),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2009T3 - 2016T4,
Date de dernière mise à jour ,2020-02-04 12:13:21.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Nombre de domaines Internet,
Unité,Nombre,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
