Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Parc de la téléphonie mobile par opérateur,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,1990 - 2017,
Date de dernière mise à jour ,2019-02-19 11:35:52.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Parc de téléphone,
Unité,Nombre,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
services télécom,Internet ADSL,
