Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Parts de marché dans le secteur d'Internet,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2008 - 2016,
Date de dernière mise à jour ,2020-02-11 11:03:05.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Parts de marché dans le secteur des télécommunications,Parts de marché dans le secteur des télécommunications
Unité,Pourcentage,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
