Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Parts de marché dans le secteur de la téléphonie fixe,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2006 - 2022,
Date de dernière mise à jour ,2023-12-28 12:23:22.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Parts de marché dans le secteur des télécommunications,Parts de marché dans le secteur des télécommunications
Unité,Pourcentage,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
