,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
Téléphone fixe,Maroc télecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,53.84,43.43,35.1,32.84,34.8,38.7,47.32,59.61,71.24,79.23,84.31,82.67,91.58,85.19,78.61,73.01,,,,,
,Méditel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.23,0.31,0.45,0.62,0.82,1.06,1.49,2.03,2.51,3.08,5.09,7.59,14.13,16.85,18.41,,,,,
,WANA Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95,56.34,64.59,66.71,64.58,60.51,51.62,38.91,26.73,18.31,12.61,12.23,0.78,0.68,4.58,8.58,,,,,
Parc résidentiel,Maroc télecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,42.86,31.56,23.8,22.12,24.91,29.49,38.78,52.35,66.53,77.05,84.33,84.42,93.8,88.79,80.53,73.67,,,,,
,Méditel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,6.2,11.26,14.5,16.39,,,,,
,WANA Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14,68.44,76.2,77.85,75.09,70.51,61.22,47.65,33.53,22.95,15.67,15.16,0.0,0.0,4.92,9.89,,,,,
Parc professionnel,Maroc télecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,98.71,97.07,95.35,93.55,92.55,91.31,90.11,88.94,87.53,86.13,83.88,77.0,84.29,72.29,70.93,70.19,,,,,
,Méditel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.87,2.84,4.22,5.29,6.34,7.13,8.19,9.68,10.92,12.86,19.96,12.31,24.61,25.78,26.73,,,,,
,WANA Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.81,2.23,2.4,2.35,2.76,3.1,2.8,3.15,3.06,3.04,3.4,3.1,3.1,3.27,,,,,
