Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Revenu moyen d’une minute de communication (ARPM) (Trimestriel),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2010T1 - 2017T4,
Date de dernière mise à jour ,2020-02-04 11:50:30.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Revenu moyen d’une minute de communication (ARPM),
Unité,DHHT/minute,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
