Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Revenu moyen d’une minute de communication (ARPM) Fixe,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2000 - 2024,
Date de dernière mise à jour ,2025-04-24 12:41:31.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Revenu moyen d’une minute de communication (ARPM),
Unité,DHHT/minute,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
