Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Revenu moyen d’une minute de communication (ARPM) Mobile,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2010 - 2017,
Date de dernière mise à jour ,2019-02-19 11:28:06.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Revenu moyen d’une minute de communication (ARPM),
Unité,DHHT/minute,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
