Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Trafic voix sortant Mobile (trimestriel),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2010T4 - 2018T3,
Date de dernière mise à jour ,2020-02-04 11:43:36.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Trafic voix sortant,
Unité,minutes,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
