Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Usage moyen mensuel sortant par client Mobile,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2000 - 2017,
Date de dernière mise à jour ,2019-02-19 11:29:19.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Usage moyen mensuel sortant par client,
Unité,minute/mois/client,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
