Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,parc global de la téléphonie mobile (Trimestriel),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2006T1 - 2026T1,
Date de dernière mise à jour ,2026-06-23 10:31:06.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Parc de téléphone,
Unité,Nombre,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
Opérateur des télécommunications,Ensemble des opérateurs,
