;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04;2024M05;2024M06;2024M07;2024M08;2024M09;2024M10;2024M11;2024M12;2025M01;2025M02
France;110335.0;275906.0;436333.0;625811.0;816431.0;969585.0;1192454.0;1375239.0;1499847.0;1699037.0;1834379.0;1999121.0;122330.0;306886.0;486103.0;723746.0;953542.0;1133360.0;1375039.0;1608187.0;1790246.0;2052702.0;2224785.0;2421539.0;143082.0;358261.0
Espagne;88723.0;177142.0;285191.0;413884.0;507852.0;632914.0;780332.0;913940.0;1005694.0;1103717.0;1182871.0;1304276.0;88291.0;189032.0;317320.0;430130.0;546769.0;673193.0;833933.0;1038710.0;1146753.0;1259734.0;1364754.0;1498347.0;105343.0;215552.0
Allemagne;16601.0;48793.0;80458.0;91413.0;115274.0;135690.0;157011.0;176526.0;197919.0;228739.0;253997.0;280788.0;21264.0;50564.0;94926.0;123621.0;153961.0;173065.0;202695.0;227621.0;257512.0;299495.0;330246.0;361116.0;24444.0;55336.0
Royaume-Uni;43377.0;99093.0;162582.0;219853.0;281140.0;334259.0;389347.0;444899.0;491588.0;553282.0;613461.0;679326.0;53965.0;129501.0;205584.0;284597.0;370083.0;448666.0;533081.0;617331.0;701966.0;808094.0;902496.0;998862.0;78344.0;181649.0
Italie;22918.0;36538.0;65594.0;116657.0;145749.0;173290.0;206374.0;236472.0;253257.0;280032.0;302677.0;335110.0;22442.0;54129.0;95504.0;138413.0;177619.0;209464.0;247218.0;285936.0;317714.0;364683.0;405375.0;451589.0;33077.0;71211.0
Belgique;11842.0;27642.0;43335.0;61644.0;79654.0;94744.0;140534.0;157664.0;173228.0;194439.0;210052.0;226495.0;13884.0;34640.0;55327.0;76539.0;95510.0;113210.0;160497.0;184500.0;206009.0;232529.0;253103.0;274058.0;18904.0;40394.0
Hollande;11369.0;24404.0;37873.0;55988.0;71407.0;83253.0;118656.0;135727.0;146391.0;162760.0;176912.0;192381.0;14403.0;34255.0;48820.0;70335.0;89026.0;103070.0;140726.0;163981.0;179914.0;202805.0;222034.0;241385.0;18496.0;40405.0
Portugal;;14746.0;24797.0;38865.0;48575.0;64135.0;79824.0;96234.0;108830.0;117931.0;125087.0;133944.0;;15508.0;29174.0;46798.0;62788.0;83305.0;103088.0;126518.0;145608.0;161356.0;172028.0;;;17690.0
Pologne;6491.0;12878.0;19769.0;;31147.0;;;;52942.0;;72120.0;82976.0;11348.0;22078.0;33197.0;;52873.0;;;;93155.0;;118452.0;130945.0;13490.0;29472.0
Suisse;;13090.0;;32751.0;;;;;;75238.0;;;;13599.0;;34975.0;;;;;;86892.0;;;;
Etats-Unis;19437.0;42088.0;76031.0;108342.0;141802.0;179334.0;209155.0;228700.0;252987.0;281537.0;304551.0;331557.0;17490.0;39264.0;67845.0;100535.0;135162.0;172087.0;201738.0;223539.0;251439.0;284533.0;317004.0;350692.0;22935.0;49840.0
Canada;;;;31699.0;42012.0;53415.0;65643.0;73962.0;82590.0;92483.0;;107690.0;6800.0;14802.0;;32901.0;43620.0;56583.0;72027.0;82458.0;93463.0;105650.0;;125825.0;9573.0;19617.0
Chine;4214.0;;9903.0;;;;;;;;47202.0;59719.0;8460.0;;26253.0;;;;;;;;93631.0;106483.0;11865.0;
Divers;109068.0;213698.0;341819.0;441706.0;587647.0;746379.0;879875.0;995985.0;1070285.0;1197956.0;1390468.0;1416611.0;113531.0;232683.0;367914.0;519477.0;668326.0;866633.0;1022781.0;1163448.0;1237884.0;1434639.0;1609671.0;1836930.0;145295.0;306798.0
