Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Capacité en lits des hôtels homologués,
frequence,Annuelle,
Scenario ,Reel,
Source ,Ministère du tourisme,MT
Période disponible ,1980 - 2021,
Date de dernière mise à jour ,2023-05-10 13:42:02.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Capacité d'hébergement (en nombre d'hôtels),
Unité,Nombre,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
