Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Flux de touristes par pays,
frequence,Annuelle,
Scenario ,Reel,
Source ,Ministère du tourisme,MT
Période disponible ,1984 - 2018,
Date de dernière mise à jour ,2019-04-10 13:43:49.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Arrivées des touristes,
Unité,Nombre,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
type de tourisme,Total arrivées des touristes,
Voie d'entree touristique,Total,
