Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Nuitées touristiques (Annuel),
frequence,Annuelle,
Scenario ,Reel,
Source ,Ministère du tourisme,MT
Période disponible ,1980 - 2022,
Date de dernière mise à jour ,2023-05-22 12:15:41.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Nuitées touristiques réalisées dans les hôtels classés,
Unité,Nombre,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
Catégorie d'hébergement,Total,
Pays,Total,
Région/Province,Total des régions,
