Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Nuitées touristiques par catégorie,
frequence,Annuelle,
Scenario ,Reel,
Source ,Ministère du tourisme,MT
Période disponible ,1987 - 2021,
Date de dernière mise à jour ,2023-05-22 12:47:09.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Nuitées touristiques réalisées dans les hôtels classés,
Unité,Nombre,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
Pays,Total,
Région/Province,Total des régions,
type de tourisme,Total arrivées des touristes,
