;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Nuitées touristiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;7806.0;7590.0;8236.0;8563.0;9051.0;9642.0;9777.0;10153836.0;10548783.0;10749907.0;10197675.0;7619467.0;10669919.0;11592863.0;11535672.0;9941390.0;10073206.0;10908443.0;11981943.0;13063997.0;13539567.0;12695227.0;11320882.0;11173119.0;13164870.0;15215589.0;16326885.0;16893803.0;16461517.0;16238581.0;18020872.0;16867222.0;17485762.0;19114129.0;19633475.0;18424251.0;19287758.0;22100701.0;23953859.0;25280978.0;6975620.0;9196021.0;19009.0
    Total récepteur ;;;;;;;;8386240.0;8782262.0;8876131.0;8287285.0;5303912.0;8334939.0;9309657.0;9325546.0;7780283.0;7886191.0;8645002.0;9702358.0;10846058.0;11267761.0;10293123.0;8865997.0;8515293.0;10307268.0;12259489.0;13346773.0;13703222.0;13067592.0;12520803.0;13955375.0;12418682.0;12549244.0;13931125.0;14326312.0;12525014.0;12703471.0;15045751.0;16812206.0;17406273.0;3469558.0;2817709.0;
    Europe;;;;;;;;7621906.0;7787324.0;7530832.0;7023778.0;4104868.0;7046240.0;7972122.0;7959008.0;6605392.0;6815307.0;7493318.0;8417778.0;9419126.0;9811047.0;8979823.0;7652392.0;7353335.0;8867906.0;10662398.0;11457366.0;11587383.0;;10485295.0;11548799.0;10147295.0;9929159.0;10653591.0;10866047.0;9332060.0;9239047.0;10815071.0;12151910.0;12352784.0;2372284.0;;
        France;;;;;;;;3004678.0;2991893.0;2984273.0;2733495.0;1280793.0;2292050.0;2604224.0;2568439.0;2047214.0;2425889.0;2695833.0;3112811.0;3984901.0;4691544.0;4436713.0;4152369.0;4329870.0;5240184.0;6231344.0;6406066.0;6419852.0;5936414.0;5550236.0;5815242.0;4906723.0;4931278.0;5052091.0;4749129.0;3741482.0;3622303.0;4171568.0;4680713.0;4852737.0;1046263.0;985152.0;
        Espagne;;;;;;;;551023.0;666555.0;694811.0;633550.0;521634.0;835068.0;768714.0;501424.0;315448.0;413859.0;473907.0;515601.0;561572.0;589982.0;468163.0;344587.0;354495.0;559481.0;699362.0;816843.0;766576.0;816985.0;921990.0;945474.0;706447.0;684383.0;714286.0;757782.0;631157.0;606350.0;725348.0;878538.0;876600.0;154485.0;113543.0;
        Royaume-Uni;;;;;;;;1006039.0;702461.0;486546.0;501269.0;220410.0;497911.0;470798.0;589621.0;642019.0;332659.0;254887.0;417151.0;452302.0;544767.0;606881.0;485281.0;450654.0;567385.0;860904.0;1202565.0;1367142.0;1074673.0;929970.0;1345631.0;1339607.0;1360549.0;1518319.0;1719944.0;1726408.0;1762780.0;1896055.0;2014767.0;2223512.0;383215.0;239839.0;
        Allemagne;;;;;;;;1618725.0;1783092.0;1679023.0;1459654.0;957851.0;1699671.0;2330013.0;2596654.0;2207896.0;2052233.0;2214183.0;2215981.0;2144684.0;1833759.0;1563578.0;1089132.0;761604.0;823916.0;904777.0;985731.0;988961.0;959079.0;895617.0;946415.0;944226.0;909016.0;991489.0;1190061.0;1345079.0;1270357.0;1745127.0;1868704.0;1745560.0;332211.0;69304.0;
        Italie;;;;;;;;396395.0;465494.0;516650.0;566218.0;469100.0;786487.0;804284.0;775564.0;600987.0;624834.0;728717.0;784393.0;755613.0;750212.0;663287.0;551389.0;439014.0;519290.0;568695.0;633170.0;604219.0;570730.0;571376.0;657250.0;460409.0;368571.0;401112.0;430607.0;270980.0;217935.0;272753.0;364441.0;418826.0;87033.0;39736.0;
        Scandinavie;;;;;;;;396374.0;417858.0;409043.0;428898.0;198266.0;262251.0;240491.0;221368.0;237416.0;292843.0;298374.0;400124.0;482807.0;449989.0;371698.0;179303.0;235291.0;235165.0;221828.0;228085.0;241721.0;203514.0;147249.0;141881.0;183703.0;105428.0;149422.0;196333.0;155094.0;158214.0;256428.0;307511.0;211729.0;48065.0;;
        Autriche;;;;;;;;;;;;;;;;;64507.0;57621.0;61826.0;57728.0;59921.0;50063.0;42454.0;40432.0;48790.0;41161.0;47927.0;54171.0;;32857.0;39888.0;29947.0;28932.0;33740.0;38089.0;45196.0;41472.0;47079.0;55042.0;61726.0;15356.0;;
        Portugal;;;;;;;;51036.0;58104.0;50855.0;57624.0;42508.0;64512.0;72644.0;66740.0;57018.0;48713.0;52773.0;56822.0;73801.0;99700.0;86896.0;104047.0;91840.0;70718.0;88862.0;99414.0;96960.0;96453.0;99294.0;132306.0;152048.0;122386.0;151832.0;133258.0;144709.0;198701.0;234556.0;304837.0;334707.0;28870.0;;
        Hollande;;;;;;;;156345.0;197404.0;197537.0;173335.0;99304.0;151152.0;141345.0;138377.0;108928.0;118853.0;133631.0;144459.0;160189.0;148260.0;129668.0;152236.0;136800.0;140202.0;181167.0;208961.0;240126.0;309259.0;292937.0;340768.0;290086.0;306427.0;333399.0;308401.0;265059.0;252072.0;331257.0;401303.0;436033.0;82281.0;52304.0;
        Belgique;;;;;;;;221849.0;248541.0;257420.0;239864.0;124232.0;232097.0;280105.0;308669.0;236228.0;252749.0;391389.0;496388.0;518063.0;452420.0;435533.0;386412.0;356957.0;498876.0;624088.0;688890.0;667906.0;590868.0;582277.0;589421.0;641405.0;590669.0;659138.0;639845.0;535764.0;502913.0;555426.0;555078.0;559551.0;102201.0;93847.0;
        Suisse;;;;;;;;219442.0;255922.0;254674.0;229871.0;190770.0;225041.0;259504.0;192152.0;152238.0;178406.0;184724.0;198687.0;209577.0;176022.0;156544.0;155267.0;129539.0;131133.0;145623.0;139714.0;139749.0;152497.0;140204.0;155661.0;125646.0;128386.0;137808.0;174152.0;136314.0;145423.0;166445.0;179946.0;182174.0;41731.0;55183.0;
        C.E.I;;;;;;;;;;;;;;;;;9762.0;7279.0;13468.0;17889.0;14471.0;10799.0;9915.0;26839.0;32766.0;94587.0;;;;11439.0;8690.0;7724.0;13891.0;5441.0;2448.0;2231.0;1370.0;1113.0;1574.0;1451.0;265.0;;
    Amérique du Nord;;;;;;;;260708.0;272936.0;326594.0;291668.0;153157.0;240359.0;265860.0;290613.0;293328.0;310121.0;321041.0;345390.0;363256.0;401409.0;316462.0;227848.0;176626.0;200334.0;242561.0;278738.0;299457.0;318955.0;319839.0;363036.0;311801.0;346109.0;396862.0;458546.0;439176.0;468714.0;599074.0;758895.0;849437.0;160560.0;;
        Etats-Unis;;;;;;;;187287.0;200174.0;231732.0;217812.0;109136.0;185562.0;204151.0;216840.0;224827.0;244235.0;254382.0;271865.0;285445.0;323569.0;257365.0;185068.0;133333.0;153725.0;184634.0;216616.0;233868.0;249914.0;246553.0;286134.0;239421.0;269658.0;314717.0;373718.0;361995.0;372664.0;484014.0;597015.0;672398.0;122856.0;174401.0;
        Canada;;;;;;;;73421.0;72762.0;94862.0;73856.0;44021.0;54797.0;61709.0;73773.0;68501.0;65886.0;66659.0;73511.0;77811.0;77840.0;59097.0;42780.0;43293.0;46609.0;57927.0;62122.0;65589.0;69041.0;73286.0;76902.0;72380.0;76484.0;82145.0;84828.0;77569.0;96050.0;115060.0;161880.0;177039.0;37704.0;;
    Pays Arabes;;;;;;;;249381.0;387466.0;595502.0;569378.0;670339.0;632063.0;578261.0;498699.0;330794.0;293453.0;313059.0;345537.0;373906.0;379387.0;383669.0;394733.0;378496.0;428037.0;459991.0;499831.0;522591.0;602374.0;638647.0;637957.0;698113.0;921100.0;1092162.0;969995.0;1022608.0;1088664.0;961867.0;888662.0;953422.0;235546.0;247716.0;
        Maghreb;;;;;;;;;;;;;;335537.0;267576.0;110332.0;98820.0;99957.0;104733.0;102173.0;94934.0;100446.0;105483.0;111573.0;125503.0;127462.0;159382.0;179789.0;203583.0;190271.0;231959.0;257406.0;348698.0;470960.0;340278.0;321711.0;376147.0;339134.0;313010.0;336030.0;74844.0;52772.0;
        Moyen Orient;;;;;;;;;;;;;;242724.0;231123.0;220462.0;194633.0;213102.0;240804.0;271733.0;284453.0;283223.0;289250.0;266923.0;302534.0;332529.0;340449.0;342802.0;398791.0;448376.0;405998.0;440707.0;572402.0;621202.0;629717.0;700758.0;712517.0;622733.0;575652.0;617392.0;160702.0;194944.0;
    Autres Pays;;;;;;;;254245.0;334536.0;423203.0;402461.0;375548.0;416277.0;493414.0;577226.0;550769.0;467310.0;517584.0;593653.0;689770.0;675918.0;613169.0;591024.0;606836.0;810991.0;894539.0;963033.0;;;1077022.0;1405583.0;1261473.0;1351507.0;1788510.0;2031724.0;1720976.0;1907046.0;2669739.0;3012739.0;3250630.0;701168.0;;
        Japon;;;;;;;;;;;;;;63488.0;70646.0;68524.0;70288.0;77962.0;89937.0;114073.0;106778.0;75664.0;64729.0;61275.0;70596.0;84436.0;84803.0;84045.0;75639.0;78306.0;102395.0;89612.0;116482.0;129545.0;134427.0;67925.0;80832.0;123657.0;143035.0;142808.0;30276.0;;
        Afrique;;;;;;;;47601.0;91400.0;116179.0;122755.0;134178.0;59912.0;57362.0;55754.0;58879.0;58275.0;60953.0;65755.0;68846.0;57566.0;63912.0;78735.0;78300.0;82789.0;84905.0;84843.0;103520.0;119497.0;124825.0;128930.0;137646.0;140313.0;136426.0;178338.0;182569.0;210455.0;216753.0;222701.0;192332.0;57289.0;81709.0;
        Marocains Résidant à l'Étranger (MRE);;;;;;;;;;;;;;;;;;14557.0;7521.0;11474.0;10800.0;19599.0;26067.0;25195.0;23956.0;34030.0;27363.0;30813.0;35912.0;30702.0;28818.0;37590.0;33155.0;32360.0;27680.0;26074.0;32867.0;30173.0;36685.0;53276.0;6197.0;;
        Autres;;;;;;;;206644.0;243136.0;307024.0;279706.0;241370.0;356365.0;372564.0;450826.0;423366.0;338747.0;364112.0;430440.0;495377.0;500774.0;453994.0;421493.0;442066.0;633650.0;;;;;843189.0;1145440.0;996625.0;1061635.0;1490179.0;1691279.0;1444408.0;1582892.0;2082393.0;2294731.0;2495700.0;552663.0;;
    Total interne;;;;;;;;1767596.0;1766521.0;1873776.0;1910390.0;2315555.0;2334980.0;2283206.0;2210126.0;2161107.0;2187015.0;2263441.0;2279585.0;2217939.0;2271806.0;2402104.0;2454885.0;2657826.0;2857602.0;2956100.0;2980112.0;3190581.0;3393925.0;3717778.0;4065455.0;4450054.0;4936518.0;5183004.0;5307163.0;5899237.0;6551459.0;7054950.0;7141653.0;7837716.0;3505649.0;6377636.0;
