Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Recettes touristiques par pays,
frequence,Annuelle,
Scenario ,Reel,
Source ,Ministère du tourisme,MT
Période disponible ,1990 - 2024,
Date de dernière mise à jour ,2026-02-20 11:58:23.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Recettes touristiques,
Unité,Dirham,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
Nature des recettes des ressortissants à l'Etranger,Total,
