,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.1,1214.0,2116.8,2264.8,2299.7,2454.4,3415.5,3180.7,4159.7,4523.0,5902.4,7716.5,,14989.8,16671.7,16885.8,21222.7,22940.4,22133.0,21446.6,21891.1,22379.7,22031.4,21855.2,23235.4,21320.9,21745.73365,23472.0,23654.8,25712.3,12156.9,13184.3,31005.0,34528.0,36288.928,,,
Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.3,793.8,994.4,891.1,777.7,792.3,1583.1,1530.1,1832.2,2861.4,2471.5,2664.6,,1770.8,2028.3,2231.1,2943.6,3330.3,3300.1,3237.5,3651.5,3401.3,2929.9,3141.1,3629.4,3418.4,3584.774759,4124.4,4348.0,4809.1,1971.7,2043.8,6909.3,7781.0,8185.612,,,
Allemagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.7,655.5,1117.9,1270.5,1469.4,1379.6,1609.5,1558.3,1620.6,1611.8,1554.2,2235.6,,2442.8,2480.7,1573.1,2535.3,2530.5,2296.4,2230.7,2361.9,2620.9,2388.2,2414.8,2642.5,3257.3,3355.462483,4258.2,4446.5,4742.0,2108.0,1417.3,4241.8,5269.0,5538.2459,,,
Espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.7,721.9,897.8,763.5,584.2,579.1,1010.4,935.9,1353.4,1092.7,1173.3,1513.1,,1272.6,1856.8,3898.0,4754.1,6270.1,6314.7,6047.6,6177.8,6156.3,5907.0,5300.1,5515.2,5408.4,5556.992967,6078.1,6137.3,6684.1,3387.7,3226.0,14036.4,16458.0,17116.32,,,
Arabie Saoudite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.6,479.4,800.0,990.1,1112.1,1075.7,1071.8,848.6,1225.9,1806.7,1549.1,2288.0,,826.6,1237.0,1092.5,1281.8,1377.6,1313.9,1461.2,1561.2,1957.3,2170.5,2186.2,2611.0,2856.0,3140.367808,3129.5,2726.3,2788.6,1389.0,1648.9,2179.9,2429.0,2557.737,,,
Etats-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.1,453.8,651.5,629.3,658.7,814.2,1371.8,939.7,1192.6,1257.8,1545.2,1889.6,,1072.9,1261.5,1442.1,1940.7,2155.6,2199.4,2087.8,2308.7,2275.6,2342.2,2321.8,2562.8,2939.2,3155.002496,4020.8,4211.9,4815.8,1825.4,1915.6,4303.2,5036.0,5277.728,,,
Pays-Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.9,229.0,374.5,354.4,546.0,556.2,789.7,624.2,1150.0,987.1,1951.8,3913.5,,686.2,583.8,1485.5,1574.5,1852.4,1920.4,1946.1,2231.1,2534.4,2480.2,2373.1,2245.8,2061.6,2154.178964,2536.7,2514.7,2753.9,1175.9,1219.6,4262.5,4808.0,5072.44,,,
Royaume-Uni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.0,824.5,1122.0,1018.4,971.8,1040.4,991.3,571.0,732.8,834.7,1154.3,1157.7,,1857.0,1981.7,2426.8,3677.5,4659.4,3517.9,3164.1,3964.8,4292.4,4123.0,4242.1,4914.9,5402.0,5358.055477,5795.4,5650.2,6316.2,2986.6,1373.2,6402.1,7654.0,8052.008,,,
Belgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,185.4,271.4,253.5,295.5,437.1,434.1,468.5,646.9,641.6,905.6,1213.6,,1401.3,1736.5,1697.6,2180.0,2363.9,2245.1,2346.8,2448.7,2874.7,2825.0,2811.9,2921.2,2930.4,3043.165135,3434.0,3458.6,3691.1,1472.2,1699.0,4697.4,5179.0,5432.2531,,,
Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.2,219.2,279.0,271.6,271.7,303.2,357.5,489.1,432.0,462.2,461.1,473.2,,529.7,511.8,800.9,903.0,1026.2,979.3,982.0,1028.2,1044.0,909.7,943.8,1079.3,1063.5,1015.307191,1125.1,1198.2,1219.4,556.7,557.5,893.2,1127.0,1193.0422,,,
Libye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.3,912.5,605.4,551.3,437.1,376.8,356.2,295.0,386.3,410.8,408.8,727.1,,21.9,20.6,,155.0,177.7,190.6,185.9,226.7,182.2,480.2,591.0,271.2,,,,,,,,0.0,0.0,0.0,,,
Egypte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,53.5,92.8,137.5,158.5,141.3,142.5,126.4,228.8,292.1,338.4,563.2,,85.9,68.8,116.5,157.9,159.0,155.9,149.0,138.0,,,,,266.0,295.9488024,0.0,,,,,0.0,0.0,0.0,,,
Emirates-Arabes-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.8,107.2,128.3,134.7,156.7,183.3,246.4,195.9,292.6,386.9,333.1,439.4,,387.8,391.8,487.6,615.1,666.3,928.0,957.7,968.1,1095.1,1022.0,1217.4,1609.8,1701.9,1950.68322,2101.4,2015.4,2106.4,1100.3,1326.1,1628.6,1819.0,1926.321,,,
Danemark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,32.1,48.0,41.5,42.4,39.7,69.3,64.9,132.3,98.0,157.6,193.3,,194.2,121.4,160.7,174.7,190.7,165.8,136.1,170.4,264.9,208.3,215.0,232.4,249.9,319.1537471,0.0,,,,,0.0,0.0,0.0,,,
Koweit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,48.1,100.2,126.8,117.0,105.8,102.2,87.5,124.2,154.0,141.9,228.9,,183.1,142.3,158.1,227.6,224.0,238.0,282.0,289.6,408.6,479.4,499.1,546.3,677.6,593.9522907,641.6,551.7,640.0,445.1,457.6,655.0,725.0,732.975,,,
Tunisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,61.3,76.7,120.3,72.4,88.6,96.7,113.4,118.1,128.6,70.4,33.7,,58.0,57.1,301.6,272.9,328.7,341.9,351.9,354.5,366.7,357.0,324.0,341.8,317.3,439.8394334,0.0,,,,,0.0,0.0,0.0,,,
Norvège,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,30.9,33.4,30.6,41.0,57.2,51.1,78.6,100.3,121.5,155.1,149.0,,267.6,119.8,164.2,183.7,194.7,182.0,163.2,218.6,312.2,254.7,261.0,271.3,249.9,265.3470128,0.0,,,,,0.0,0.0,0.0,,,
Autriche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,29.5,58.8,64.7,70.9,65.8,63.9,55.1,80.9,74.7,75.9,89.8,,135.5,151.9,155.7,149.0,216.9,178.9,148.4,180.9,,,0.0,,286.0,276.0304097,0.0,,,,,0.0,0.0,0.0,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,67.4,93.8,93.9,68.5,65.8,78.5,74.2,79.4,116.5,107.5,80.3,,227.9,253.6,511.8,674.4,822.4,780.4,736.9,943.2,946.9,998.5,947.9,1021.9,1134.7,1290.090851,1509.7,1548.3,1664.7,669.5,683.8,2005.0,2324.0,2449.496,,,
Suède,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,46.1,58.0,37.1,36.1,40.2,60.2,70.1,78.2,157.4,168.3,144.6,,256.3,359.6,346.0,394.5,423.5,323.5,284.8,310.5,399.7,288.6,327.0,379.3,365.4,433.9917291,534.6,533.6,456.3,208.0,177.8,401.6,498.0,539.334,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,26.3,58.5,36.5,35.0,44.9,32.9,53.1,70.4,93.5,95.9,106.2,,181.7,126.2,297.5,317.8,380.5,343.5,372.2,413.5,498.5,351.8,351.4,364.8,393.5,464.5112427,568.6,592.8,672.6,224.8,180.1,655.9,784.0,838.88,,,
