Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Trafic portuaire géré par l'ANP (mensuel),
frequence,Mensuelle,
Scenario ,Reel,
Source ,ANP,ANP: Agence Nationale des Ports
Période disponible ,2010M03 - 2023M03,
Date de dernière mise à jour ,2023-08-31 14:26:30.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Trafic portuaire géré par l'ANP,Trafic portuaire géré par l'ANP
Unité,Tonnes,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
