colonne,nom,categorie,freq,source,nobs,debut,fin,densite
5,Taux d’Utilisation des Capacités,TUC,mensuel,Manar-Stat (Ministere de l'Economie et des Finances)\secondaire\industrie\Taux d’utilisation des capacités (mensuel).csv,188,2010-01-01,2025-08-01,1.0
8,Crédit bancaire Industries alimentaires et tabac (MDH),credit_bancaire_sectoriel,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
9,Crédit bancaire Industries textiles-habillement-cuir (MDH),credit_bancaire_sectoriel,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
10,Crédit bancaire Industries chimiques-parachimiques (MDH),credit_bancaire_sectoriel,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
11,Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),credit_bancaire_sectoriel,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
12,Crédit bancaire Industries manufacturières diverses (MDH),credit_bancaire_sectoriel,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
13,IPI — Industries manufacturières hors raffinage de pétrole,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
14,IPI — Industries alimentaires,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
15,IPI — Fabrication de boissons,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
16,IPI — Fabrication de produits à base de tabac,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
17,IPI — Fabrication de textiles,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
18,IPI — Industrie d’habillement,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
19,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
20,"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
21,IPI — Industrie du papier et du carton,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
22,IPI — Imprimerie et reproduction d’enregistrements,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
23,IPI — Industrie chimique,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
24,IPI — Industrie pharmaceutique,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
25,IPI — Fabrication de produits en caoutchouc et en plastique,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
26,IPI — Fabrication d’autres produits minéraux non métalliques,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
27,IPI — Métallurgie,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
28,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements",IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
29,"IPI — Fabrication de produits informatiques, électroniques et optiques",IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
30,IPI — Fabrication d’équipements électriques,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
31,IPI — Fabrication de machines et équipements n.c.a.,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
32,IPI — Industrie automobile,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
33,IPI — Fabrication d’autres matériels de transport,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
34,IPI — Fabrication de meubles,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
35,IPI — Autres industries manufacturés,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
36,IPI — Réparation et installation de machines et équipements,IPI,trimestriel,"Manar-Stat (Indice production industrielle, base 2015)",41,2016-01-01,2026-01-01,1.017
37,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
38,Crédits à l'équipement — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
39,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
40,Crédits à l'équipement — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
41,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
42,Crédits à l'équipement — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
43,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
44,Crédits à l'équipement — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
45,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
46,Crédits à l'équipement — Industrie de transformation (MDH),credit_ventilation_inferee,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
57,Evolution de la production au cours des trois prochains mois,enquete_conjoncture,mensuel,Solde d'opinion de l'enquête mensuelle de conjoncture dans l'industrie agro-alimentaire.csv,178,2010-01-01,2024-10-01,1.0
58,Evolution de la production par rapport au mois précédent,enquete_conjoncture,mensuel,Solde d'opinion de l'enquête mensuelle de conjoncture dans l'industrie agro-alimentaire.csv,178,2010-01-01,2024-10-01,1.0
59,Evolution des nouvelles commandes par rapport au mois précédent,enquete_conjoncture,mensuel,Solde d'opinion de l'enquête mensuelle de conjoncture dans l'industrie agro-alimentaire.csv,178,2010-01-01,2024-10-01,1.0
