colonne,nom,categorie,freq,source,nobs,debut,fin,densite
9,Comptes débiteurs et crédits de trésorerie — Pêche (MDH),credit_combine,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
10,Crédits à l'équipement — Pêche (MDH),credit_combine,trimestriel,Bank Al-Maghrib,78,2006-10-01,2026-01-01,1.009
16,POISSON PELAGIQUE,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur (mensuel).csv,179,2008-12-01,2026-05-01,0.852
17,CEPHALOPODES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur (mensuel).csv,179,2008-12-01,2026-05-01,0.852
18,POISSON BLANC,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur (mensuel).csv,179,2008-12-01,2026-05-01,0.852
19,COQUILLAGES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur (mensuel).csv,179,2008-12-01,2026-05-01,0.852
20,CRUSTACES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur (mensuel).csv,179,2008-12-01,2026-05-01,0.852
21,POISSON PELAGIQUE,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en quantité (mensuel).csv,178,2008-12-01,2026-05-01,0.848
22,CEPHALOPODES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en quantité (mensuel).csv,178,2008-12-01,2026-05-01,0.848
23,POISSON BLANC,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en quantité (mensuel).csv,178,2008-12-01,2026-05-01,0.848
24,COQUILLAGES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en quantité (mensuel).csv,178,2008-12-01,2026-05-01,0.848
25,CRUSTACES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en quantité (mensuel).csv,178,2008-12-01,2026-05-01,0.848
26,ALGUES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en quantité (mensuel).csv,176,2008-12-01,2026-05-01,0.838
27,ALGUES,especes,mensuel,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur (mensuel).csv,175,2010-09-01,2026-05-01,0.926
28,MEDITERRANEE,ports,mensuel,Débarquements des produits de la pêche côtière et artisanale par port en quantité (mensuel).csv,173,2008-12-01,2026-05-01,0.824
29,CALA IRIS,ports,mensuel,Débarquements des produits de la pêche côtière et artisanale par port en quantité (mensuel).csv,173,2008-12-01,2026-05-01,0.824
30,FNIDEQ,ports,mensuel,Débarquements des produits de la pêche côtière et artisanale par port en quantité (mensuel).csv,173,2008-12-01,2026-05-01,0.824
