equation,type,predicteur,retard,coefficient
Industrie de transformation,constante,,0,0.006363553330404396
Industrie de transformation,A_l,Industrie de transformation,1,-0.06800264156201388
Industrie de transformation,A_l,Finances et assurances,1,0.07036554173710208
Industrie de transformation,A_l,Hébergement-restauration,1,-0.0027108023587882686
Industrie de transformation,A_l,Pêche,1,-0.0008632076154461931
Industrie de transformation,A_l,Industrie d'extraction,1,0.009492128520755639
Industrie de transformation,A_l,Construction,1,-0.030877059189510996
Industrie de transformation,A_l,Information-communication,1,-0.027800056772226807
Industrie de transformation,A_l,Immobilier,1,0.093792959341021
Industrie de transformation,A_l,Agriculture,1,-0.0014380912382154032
Industrie de transformation,A_l,Commerce,1,-0.03417251934216636
Industrie de transformation,A_l,Transports,1,-0.03214849668524589
Industrie de transformation,A_l,"Électricité, gaz, eau",1,-0.009859626410913817
Industrie de transformation,A_l,Services aux entreprises,1,-0.036553145104964345
Industrie de transformation,A_l,Administration publique,1,-0.02810964184313234
Industrie de transformation,A_l,Éducation-santé,1,0.02880633403770383
Industrie de transformation,A_l,Autres services,1,0.2021051363393428
Industrie de transformation,A_l,Industrie de transformation,2,-0.006048174337970565
Industrie de transformation,A_l,Finances et assurances,2,-0.012005741110275268
Industrie de transformation,A_l,Hébergement-restauration,2,-0.004176490339177172
Industrie de transformation,A_l,Pêche,2,0.00014511260183379794
Industrie de transformation,A_l,Industrie d'extraction,2,-7.076387199726503e-06
Industrie de transformation,A_l,Construction,2,0.0017796428750926766
Industrie de transformation,A_l,Information-communication,2,0.005722054868093529
Industrie de transformation,A_l,Immobilier,2,0.02434593163480553
Industrie de transformation,A_l,Agriculture,2,-0.0014930611390263516
Industrie de transformation,A_l,Commerce,2,-0.001352261754258557
Industrie de transformation,A_l,Transports,2,0.0012463915660802878
Industrie de transformation,A_l,"Électricité, gaz, eau",2,0.0007609453292579001
Industrie de transformation,A_l,Services aux entreprises,2,-0.0004692260753897814
Industrie de transformation,A_l,Administration publique,2,-0.013836287832651502
Industrie de transformation,A_l,Éducation-santé,2,-0.030319305662354724
Industrie de transformation,A_l,Autres services,2,-0.036777919032280997
Industrie de transformation,A_l,Industrie de transformation,3,-0.0029678965006056167
Industrie de transformation,A_l,Finances et assurances,3,0.007598764738990283
Industrie de transformation,A_l,Hébergement-restauration,3,-0.0017389441553806637
Industrie de transformation,A_l,Pêche,3,-0.00037627715336725846
Industrie de transformation,A_l,Industrie d'extraction,3,0.00042361339075317795
Industrie de transformation,A_l,Construction,3,-0.007726785703935289
Industrie de transformation,A_l,Information-communication,3,0.0007681210314923132
Industrie de transformation,A_l,Immobilier,3,0.009333343157954612
Industrie de transformation,A_l,Agriculture,3,0.0008178595796598876
Industrie de transformation,A_l,Commerce,3,-0.005515364926905061
Industrie de transformation,A_l,Transports,3,-0.0014435534260547971
Industrie de transformation,A_l,"Électricité, gaz, eau",3,-0.0013856907994684185
Industrie de transformation,A_l,Services aux entreprises,3,-0.003989209473804343
Industrie de transformation,A_l,Administration publique,3,-0.004655732799020718
Industrie de transformation,A_l,Éducation-santé,3,-0.0019308580812130794
Industrie de transformation,A_l,Autres services,3,-0.006941298344688456
Industrie de transformation,A_l,Industrie de transformation,4,0.0014776940504454708
Industrie de transformation,A_l,Finances et assurances,4,0.002853652855971101
Industrie de transformation,A_l,Hébergement-restauration,4,0.00014177174577170745
Industrie de transformation,A_l,Pêche,4,0.0004562371589619141
Industrie de transformation,A_l,Industrie d'extraction,4,-0.0004896589977672512
Industrie de transformation,A_l,Construction,4,-0.0020549958668970407
Industrie de transformation,A_l,Information-communication,4,0.00012517718122349592
Industrie de transformation,A_l,Immobilier,4,-0.0044800635095781265
Industrie de transformation,A_l,Agriculture,4,-0.0010363348181112995
Industrie de transformation,A_l,Commerce,4,-0.0028156562437003517
Industrie de transformation,A_l,Transports,4,-0.0010439394901488183
Industrie de transformation,A_l,"Électricité, gaz, eau",4,0.0008134705856262922
Industrie de transformation,A_l,Services aux entreprises,4,-0.0005337760478740642
Industrie de transformation,A_l,Administration publique,4,0.0036241002658028536
Industrie de transformation,A_l,Éducation-santé,4,0.0032588829480565316
Industrie de transformation,A_l,Autres services,4,-0.005010376783910696
Industrie de transformation,A_l,Industrie de transformation,5,-1.8804536782891755e-05
Industrie de transformation,A_l,Finances et assurances,5,-0.003281497701180227
Industrie de transformation,A_l,Hébergement-restauration,5,0.00022968559779294552
Industrie de transformation,A_l,Pêche,5,-0.00025560763752754923
Industrie de transformation,A_l,Industrie d'extraction,5,0.0003019156710641206
Industrie de transformation,A_l,Construction,5,8.905392068552111e-05
Industrie de transformation,A_l,Information-communication,5,-3.8112275865661806e-05
Industrie de transformation,A_l,Immobilier,5,-0.0020330986164121016
Industrie de transformation,A_l,Agriculture,5,0.0004505458840804006
