equation,type,predicteur,retard,coefficient
Industrie de transformation,constante,NA,0,0.005288745322457558
Industrie de transformation,A_l,Industrie de transformation,1,-0.0035418468251707724
Industrie de transformation,A_l,Finances et assurances,1,0.002966390785943099
Industrie de transformation,A_l,Hébergement-restauration,1,-5.732775543107719e-4
Industrie de transformation,A_l,Pêche,1,-5.08338136180447e-4
Industrie de transformation,A_l,Industrie d'extraction,1,1.5359777565670813e-4
Industrie de transformation,A_l,Construction,1,-0.003500040698475483
Industrie de transformation,A_l,Information-communication,1,-0.0011155134251044137
Industrie de transformation,A_l,Immobilier,1,0.003151262875495894
Industrie de transformation,A_l,Agriculture,1,3.724369859351873e-4
Industrie de transformation,A_l,Commerce,1,-0.0032595291608450323
Industrie de transformation,A_l,Transports,1,-0.002228883951136281
Industrie de transformation,A_l,"Électricité, gaz, eau",1,-8.589840725372445e-4
Industrie de transformation,A_l,Services aux entreprises,1,-0.0029553119756503205
Industrie de transformation,A_l,Administration publique,1,7.532418617170269e-4
Industrie de transformation,A_l,Éducation-santé,1,0.0014803750411960027
Industrie de transformation,A_l,Autres services,1,0.01103395835416815
Industrie de transformation,A_l,Industrie de transformation,2,3.076429481444831e-4
Industrie de transformation,A_l,Finances et assurances,2,-4.902786330603497e-4
Industrie de transformation,A_l,Hébergement-restauration,2,-1.2668844486810342e-4
Industrie de transformation,A_l,Pêche,2,1.016871693503351e-4
Industrie de transformation,A_l,Industrie d'extraction,2,-1.7127405852438303e-5
Industrie de transformation,A_l,Construction,2,3.9782970598844017e-4
Industrie de transformation,A_l,Information-communication,2,1.2677814923323886e-4
Industrie de transformation,A_l,Immobilier,2,-2.5528615648099013e-4
Industrie de transformation,A_l,Agriculture,2,-7.704088026594863e-5
Industrie de transformation,A_l,Commerce,2,1.9180387975031575e-4
Industrie de transformation,A_l,Transports,2,1.2715943478914263e-4
Industrie de transformation,A_l,"Électricité, gaz, eau",2,1.658284666290877e-4
Industrie de transformation,A_l,Services aux entreprises,2,1.482868949282459e-4
Industrie de transformation,A_l,Administration publique,2,-1.4669051443554762e-4
Industrie de transformation,A_l,Éducation-santé,2,-4.076919097204519e-4
Industrie de transformation,A_l,Autres services,2,-0.0018415182236789364
Industrie de transformation,A_l,Industrie de transformation,3,-1.1673735266195642e-4
Industrie de transformation,A_l,Finances et assurances,3,4.4507070827756426e-5
Industrie de transformation,A_l,Hébergement-restauration,3,-3.4437849777881535e-5
Industrie de transformation,A_l,Pêche,3,-2.9184179818042682e-5
Industrie de transformation,A_l,Industrie d'extraction,3,-3.7200480259110784e-6
Industrie de transformation,A_l,Construction,3,-3.8822484614003407e-4
Industrie de transformation,A_l,Information-communication,3,1.3843848285932345e-5
Industrie de transformation,A_l,Immobilier,3,-1.4556184514583214e-4
Industrie de transformation,A_l,Agriculture,3,1.7748510812966805e-5
Industrie de transformation,A_l,Commerce,3,-2.015170995570854e-4
Industrie de transformation,A_l,Transports,3,-6.192952302439597e-5
Industrie de transformation,A_l,"Électricité, gaz, eau",3,1.233330842536058e-5
Industrie de transformation,A_l,Services aux entreprises,3,-1.066788728860712e-4
Industrie de transformation,A_l,Administration publique,3,-4.616953150807175e-5
Industrie de transformation,A_l,Éducation-santé,3,-2.941339896744008e-5
Industrie de transformation,A_l,Autres services,3,-1.3249200855030627e-4
Industrie de transformation,A_l,Industrie de transformation,4,-7.385507070385296e-5
Industrie de transformation,A_l,Finances et assurances,4,-4.373085121627838e-5
Industrie de transformation,A_l,Hébergement-restauration,4,-2.6556473304422972e-5
Industrie de transformation,A_l,Pêche,4,1.7786441399344727e-5
Industrie de transformation,A_l,Industrie d'extraction,4,7.634592414317546e-6
Industrie de transformation,A_l,Construction,4,-8.668086543387316e-5
Industrie de transformation,A_l,Information-communication,4,-6.165829062537361e-7
Industrie de transformation,A_l,Immobilier,4,-5.4478045429765855e-5
Industrie de transformation,A_l,Agriculture,4,-8.854113541204811e-6
Industrie de transformation,A_l,Commerce,4,-9.08479301549347e-5
Industrie de transformation,A_l,Transports,4,-7.457846138141323e-5
Industrie de transformation,A_l,"Électricité, gaz, eau",4,-1.3441888449994301e-5
Industrie de transformation,A_l,Services aux entreprises,4,-1.1214938622927073e-4
Industrie de transformation,A_l,Administration publique,4,-1.9758826472228518e-5
Industrie de transformation,A_l,Éducation-santé,4,-8.609206564535822e-5
Industrie de transformation,A_l,Autres services,4,-2.9037824282307414e-4
Industrie de transformation,A_l,Industrie de transformation,5,2.241407855008548e-5
Industrie de transformation,A_l,Finances et assurances,5,-1.0037677681367723e-4
Industrie de transformation,A_l,Hébergement-restauration,5,4.611665734779957e-6
Industrie de transformation,A_l,Pêche,5,-1.3839421167626654e-5
Industrie de transformation,A_l,Industrie d'extraction,5,-6.073474314192651e-6
Industrie de transformation,A_l,Construction,5,3.1693401489932754e-5
Industrie de transformation,A_l,Information-communication,5,-2.4923495733457995e-6
Industrie de transformation,A_l,Immobilier,5,-6.469647866948518e-5
Industrie de transformation,A_l,Agriculture,5,9.629123095632282e-6
Industrie de transformation,A_l,Commerce,5,4.604312804756641e-5
Industrie de transformation,A_l,Transports,5,1.0741677621368767e-6
Industrie de transformation,A_l,"Électricité, gaz, eau",5,-4.913080417340883e-5
Industrie de transformation,A_l,Services aux entreprises,5,6.390605492730051e-6
Industrie de transformation,A_l,Administration publique,5,-5.516238258757466e-5
Industrie de transformation,A_l,Éducation-santé,5,7.023808257337917e-5
Industrie de transformation,A_l,Autres services,5,-1.9860372807391577e-4
Finances et assurances,constante,NA,0,0.007885061817312867
Finances et assurances,A_l,Industrie de transformation,1,9.63302828557187e-5
Finances et assurances,A_l,Finances et assurances,1,-5.826941720176587e-5
Finances et assurances,A_l,Hébergement-restauration,1,-5.292847872898121e-5
Finances et assurances,A_l,Pêche,1,1.4046866275048861e-4
Finances et assurances,A_l,Industrie d'extraction,1,-6.752972918941866e-5
Finances et assurances,A_l,Construction,1,-1.5659014029187975e-4
Finances et assurances,A_l,Information-communication,1,1.267587304472151e-4
Finances et assurances,A_l,Immobilier,1,6.253458772804312e-4
Finances et assurances,A_l,Agriculture,1,-1.2453028226942116e-5
Finances et assurances,A_l,Commerce,1,2.3712875031150875e-4
Finances et assurances,A_l,Transports,1,-2.064112443599681e-5
Finances et assurances,A_l,"Électricité, gaz, eau",1,2.123125667788737e-5
Finances et assurances,A_l,Services aux entreprises,1,-8.181860502328177e-5
Finances et assurances,A_l,Administration publique,1,2.919754532165929e-4
Finances et assurances,A_l,Éducation-santé,1,-0.0013402334895566137
Finances et assurances,A_l,Autres services,1,3.0136754838379733e-4
Finances et assurances,A_l,Industrie de transformation,2,-3.563756496839727e-5
Finances et assurances,A_l,Finances et assurances,2,-7.305279201795657e-5
Finances et assurances,A_l,Hébergement-restauration,2,-1.267193236199948e-5
Finances et assurances,A_l,Pêche,2,-1.3393790180964364e-5
Finances et assurances,A_l,Industrie d'extraction,2,2.4676717607826184e-6
Finances et assurances,A_l,Construction,2,2.6629879262002127e-5
Finances et assurances,A_l,Information-communication,2,-9.46917948574984e-7
Finances et assurances,A_l,Immobilier,2,1.7844889519269945e-4
Finances et assurances,A_l,Agriculture,2,-4.2024323768641715e-5
Finances et assurances,A_l,Commerce,2,-1.9275628350208075e-5
Finances et assurances,A_l,Transports,2,5.447678086983011e-9
Finances et assurances,A_l,"Électricité, gaz, eau",2,-8.913480572550786e-6
Finances et assurances,A_l,Services aux entreprises,2,-3.279027816932286e-5
Finances et assurances,A_l,Administration publique,2,4.87370514638961e-5
Finances et assurances,A_l,Éducation-santé,2,-3.313056659269059e-4
Finances et assurances,A_l,Autres services,2,1.751616859726522e-4
Finances et assurances,A_l,Industrie de transformation,3,4.152775918134905e-5
Finances et assurances,A_l,Finances et assurances,3,3.157681366021616e-5
Finances et assurances,A_l,Hébergement-restauration,3,1.5361880559914533e-5
Finances et assurances,A_l,Pêche,3,5.388932927902894e-6
Finances et assurances,A_l,Industrie d'extraction,3,2.3066709807811635e-6
Finances et assurances,A_l,Construction,3,3.3132008621892677e-5
Finances et assurances,A_l,Information-communication,3,5.880152249023025e-6
Finances et assurances,A_l,Immobilier,3,2.834227590905593e-5
Finances et assurances,A_l,Agriculture,3,7.35492150044101e-6
Finances et assurances,A_l,Commerce,3,5.570487923095992e-5
Finances et assurances,A_l,Transports,3,2.7293040409136992e-5
Finances et assurances,A_l,"Électricité, gaz, eau",3,2.2211648612589586e-5
Finances et assurances,A_l,Services aux entreprises,3,2.7739736471610852e-5
Finances et assurances,A_l,Administration publique,3,6.202246918893378e-5
Finances et assurances,A_l,Éducation-santé,3,-5.906406074355086e-5
Finances et assurances,A_l,Autres services,3,3.225461888833863e-5
Finances et assurances,A_l,Industrie de transformation,4,2.6458121681434952e-6
Finances et assurances,A_l,Finances et assurances,4,1.6989749057016493e-5
Finances et assurances,A_l,Hébergement-restauration,4,2.03201449574246e-6
Finances et assurances,A_l,Pêche,4,-1.0336305847076166e-5
Finances et assurances,A_l,Industrie d'extraction,4,2.541523981326423e-6
Finances et assurances,A_l,Construction,4,-9.413471189094274e-6
Finances et assurances,A_l,Information-communication,4,-3.993549982060625e-5
Finances et assurances,A_l,Immobilier,4,-1.937793571619315e-5
Finances et assurances,A_l,Agriculture,4,1.2588862727522213e-5
Finances et assurances,A_l,Commerce,4,-7.38962352758561e-7
Finances et assurances,A_l,Transports,4,-5.948278215969361e-6
Finances et assurances,A_l,"Électricité, gaz, eau",4,-4.183089464844036e-6
Finances et assurances,A_l,Services aux entreprises,4,2.15898304154585e-6
Finances et assurances,A_l,Administration publique,4,-6.039771238803346e-6
Finances et assurances,A_l,Éducation-santé,4,-8.247274327011186e-6
Finances et assurances,A_l,Autres services,4,3.321578319048225e-5
Finances et assurances,A_l,Industrie de transformation,5,1.8235133458241034e-7
Finances et assurances,A_l,Finances et assurances,5,9.308680465435097e-6
Finances et assurances,A_l,Hébergement-restauration,5,-3.4450558111427445e-7
Finances et assurances,A_l,Pêche,5,3.096675473625907e-6
Finances et assurances,A_l,Industrie d'extraction,5,2.300953195670057e-6
