"valeur_propre","partie_reelle","partie_imaginaire","module"
0.137138025854847+0.125999469134962i,0.1371,0.126,0.1862
0.137138025854847-0.125999469134962i,0.1371,-0.126,0.1862
-0.099950396740204+0.144553312295584i,-0.1,0.1446,0.1757
-0.099950396740204-0.144553312295584i,-0.1,-0.1446,0.1757
-0.134717800599282+0.094443960086801i,-0.1347,0.0944,0.1645
-0.134717800599282-0.094443960086801i,-0.1347,-0.0944,0.1645
0.053804347168823+0.150265602909789i,0.0538,0.1503,0.1596
0.053804347168823-0.150265602909789i,0.0538,-0.1503,0.1596
-0.151241302233987+0.043888571759475i,-0.1512,0.0439,0.1575
-0.151241302233987-0.043888571759475i,-0.1512,-0.0439,0.1575
-0.11633479006503+0.104171439782644i,-0.1163,0.1042,0.1562
-0.11633479006503-0.104171439782644i,-0.1163,-0.1042,0.1562
0.154098521097826+0i,0.1541,0,0.1541
-0.001684115782217+0.152634420700705i,-0.0017,0.1526,0.1526
-0.001684115782217-0.152634420700705i,-0.0017,-0.1526,0.1526
0.128238312860092+0.081999151893217i,0.1282,0.082,0.1522
0.128238312860092-0.081999151893217i,0.1282,-0.082,0.1522
-0.028546017784892+0.148864503991207i,-0.0285,0.1489,0.1516
-0.028546017784892-0.148864503991207i,-0.0285,-0.1489,0.1516
-0.1492503729292+0.02419996144154i,-0.1493,0.0242,0.1512
-0.1492503729292-0.02419996144154i,-0.1493,-0.0242,0.1512
-0.070785982832714+0.131980240537693i,-0.0708,0.132,0.1498
-0.070785982832714-0.131980240537693i,-0.0708,-0.132,0.1498
0.137376696629308+0.050836969330333i,0.1374,0.0508,0.1465
0.137376696629308-0.050836969330333i,0.1374,-0.0508,0.1465
0.097343506116024+0.108551351653569i,0.0973,0.1086,0.1458
0.097343506116024-0.108551351653569i,0.0973,-0.1086,0.1458
0.068222530289684+0.123590846511035i,0.0682,0.1236,0.1412
0.068222530289684-0.123590846511035i,0.0682,-0.1236,0.1412
0.05392977798319+0.116188714962382i,0.0539,0.1162,0.1281
0.05392977798319-0.116188714962382i,0.0539,-0.1162,0.1281
0.02391043404697+0.124880208021655i,0.0239,0.1249,0.1271
0.02391043404697-0.124880208021655i,0.0239,-0.1249,0.1271
0.0948100401425068+0.0840679333220919i,0.0948,0.0841,0.1267
0.0948100401425068-0.0840679333220919i,0.0948,-0.0841,0.1267
0.10780730145562+0.066494837726738i,0.1078,0.0665,0.1267
0.10780730145562-0.066494837726738i,0.1078,-0.0665,0.1267
-0.125309685483201+0.010018395685816i,-0.1253,0.01,0.1257
-0.125309685483201-0.010018395685816i,-0.1253,-0.01,0.1257
0.118687480029762+0.039939645347043i,0.1187,0.0399,0.1252
0.118687480029762-0.039939645347043i,0.1187,-0.0399,0.1252
-0.048660545035121+0.114917033248474i,-0.0487,0.1149,0.1248
-0.048660545035121-0.114917033248474i,-0.0487,-0.1149,0.1248
-0.0908429141473598+0.0846105898243055i,-0.0908,0.0846,0.1241
-0.0908429141473598-0.0846105898243055i,-0.0908,-0.0846,0.1241
0.123530600209573+0.007611081855607i,0.1235,0.0076,0.1238
0.123530600209573-0.007611081855607i,0.1235,-0.0076,0.1238
-0.027790871490157+0.120413920702434i,-0.0278,0.1204,0.1236
-0.027790871490157-0.120413920702434i,-0.0278,-0.1204,0.1236
-0.108931142245908+0.052827401076901i,-0.1089,0.0528,0.1211
-0.108931142245908-0.052827401076901i,-0.1089,-0.0528,0.1211
-0.002319422812043+0.107759951523338i,-0.0023,0.1078,0.1078
-0.002319422812043-0.107759951523338i,-0.0023,-0.1078,0.1078
0.0928459893694754+0.0536799841868532i,0.0928,0.0537,0.1072
0.0928459893694754-0.0536799841868532i,0.0928,-0.0537,0.1072
-0.038803062896386+0.0988107073328598i,-0.0388,0.0988,0.1062
-0.038803062896386-0.0988107073328598i,-0.0388,-0.0988,0.1062
-0.026825302391189+0.101916682831335i,-0.0268,0.1019,0.1054
-0.026825302391189-0.101916682831335i,-0.0268,-0.1019,0.1054
-0.0786380190093145+0.0694457043267847i,-0.0786,0.0694,0.1049
-0.0786380190093145-0.0694457043267847i,-0.0786,-0.0694,0.1049
-0.103900546519765+0.008692745825814i,-0.1039,0.0087,0.1043
-0.103900546519765-0.008692745825814i,-0.1039,-0.0087,0.1043
0.0768775687811811+0.0678591210103939i,0.0769,0.0679,0.1025
0.0768775687811811-0.0678591210103939i,0.0769,-0.0679,0.1025
0.0407257807771316+0.0889434551448635i,0.0407,0.0889,0.0978
0.0407257807771316-0.0889434551448635i,0.0407,-0.0889,0.0978
0.0957198390973848+0.0085078661511081i,0.0957,0.0085,0.0961
0.0957198390973848-0.0085078661511081i,0.0957,-0.0085,0.0961
-0.0888348405698745+0.0303866425116342i,-0.0888,0.0304,0.0939
-0.0888348405698745-0.0303866425116342i,-0.0888,-0.0304,0.0939
0.0259721050434581+0.0855236918710357i,0.026,0.0855,0.0894
0.0259721050434581-0.0855236918710357i,0.026,-0.0855,0.0894
-0.0610681576963403+0.0644729611672691i,-0.0611,0.0645,0.0888
-0.0610681576963403-0.0644729611672691i,-0.0611,-0.0645,0.0888
-0.0787885068185866+0i,-0.0788,0,0.0788
-0.0050375788092654+0.0696952415274291i,-0.005,0.0697,0.0699
-0.0050375788092654-0.0696952415274291i,-0.005,-0.0697,0.0699
0.0657946880949139+0i,0.0658,0,0.0658
0.0220186604840843+0i,0.022,0,0.022
