Date,TOTAL EXPORTATIONS (1000),TOTAL IMPORTATIONS  (1000),Evolution des prix des produits finis au cours des trois prochains mois
2010-01-01,,,3.2882
2010-02-01,,,-2.0945
2010-03-01,,,-1.1257
2010-04-01,,,-4.0105
2010-05-01,,,-6.3014
2010-06-01,,,-1.3435
2010-07-01,,,-0.0364
2010-08-01,,,0.6357
2010-09-01,,,0.0834
2010-10-01,,,6.6416
2010-11-01,,,21.94
2010-12-01,,,3.4987
2011-01-01,,,13.0399
2011-02-01,,,11.0806
2011-03-01,,,14.5032
2011-04-01,,,16.817
2011-05-01,,,12.028
2011-06-01,,,11.118
2011-07-01,,,9.5151
2011-08-01,,,2.3543
2011-09-01,,,11.0395
2011-10-01,,,10.0696
2011-11-01,,,7.5954
2011-12-01,,,9.6087
2012-01-01,,,12.4932
2012-02-01,,,10.1293
2012-03-01,,,-5.8348
2012-04-01,,,11.5786
2012-05-01,,,13.4614
2012-06-01,,,9.4677
2012-07-01,,,9.01
2012-08-01,,,8.4065
2012-09-01,,,-0.7178
2012-10-01,,,11.3447
2012-11-01,,,11.6257
2012-12-01,,,-1.3114
2013-01-01,,,0.8753
2013-02-01,,,0.7337
2013-03-01,,,0.0866
2013-04-01,,,-1.4141
2013-05-01,,,1.1868
2013-06-01,,,2.969
2013-07-01,,,0.6739
2013-08-01,,,6.4198
2013-09-01,,,3.7687
2013-10-01,,,1.5857
2013-11-01,,,-2.8318
2013-12-01,,,-1.8688
2014-01-01,,,0.4616
2014-02-01,,,7.2277
2014-03-01,,,5.5361
2014-04-01,,,5.8395
2014-05-01,,,-0.4771
2014-06-01,,,0.2339
2014-07-01,,,1.7621
2014-08-01,,,7.3847
2014-09-01,,,0.8894
2014-10-01,,,2.7929
2014-11-01,,,-0.067
2014-12-01,,,-1.4108
2015-01-01,,,2.0301
2015-02-01,,,3.2973
2015-03-01,,,9.908
2015-04-01,,,11.5343
2015-05-01,,,8.7412
2015-06-01,,,10.1856
2015-07-01,,,4.9478
2015-08-01,,,10.4062
2015-09-01,,,-0.0485
2015-10-01,,,-5.0715
2015-11-01,,,1.1266
2015-12-01,,,3.2477
2016-01-01,,,4.7106
2016-02-01,,,3.1822
2016-03-01,,,-11.6511
2016-04-01,,,2.3054
2016-05-01,,,10.1074
2016-06-01,,,15.0244
2016-07-01,,,11.0657
2016-08-01,,,14.6166
2016-09-01,,,15.8563
2016-10-01,,,-3.0621
2016-11-01,,,3.1489
2016-12-01,,,5.5433
2017-01-01,,,14.0698
2017-02-01,,,7.9832
2017-03-01,,,0.6726
2017-04-01,,,7.6019
2017-05-01,,,12.939
2017-06-01,,,7.2396
2017-07-01,,,9.6304
2017-08-01,,,3.2515
2017-09-01,,,2.4031
2017-10-01,,,7.2932
2017-11-01,,,7.4788
2017-12-01,,,7.4148
2018-01-01,22660837.6,37001858.67,3.2124
2018-02-01,45276570.13,78166550.2,6.4642
2018-03-01,71245557.74,119429386.1,4.2587
2018-04-01,95945612.81,160146767.7,13.5043
2018-05-01,120545001.1,203322621.3,4.1041
2018-06-01,143500571.1,241483701.2,8.7243
2018-07-01,162791686.1,280790120.3,7.0551
2018-08-01,182266819.0,318722359.5,-0.5748
2018-09-01,204181701.2,355020246.0,4.0389
2018-10-01,228250775.4,397073493.0,-4.9842
2018-11-01,251173436.0,438619335.0,-2.7487
2018-12-01,275440533.2,481441814.7,-1.1383
2019-01-01,24411850.24,40103370.34,-0.6714
2019-02-01,47872400.08,78119612.22,0.1866
2019-03-01,76387859.79,123556427.2,-1.8987
2019-04-01,101590270.7,168928320.8,1.6624
2019-05-01,126382862.2,209933109.7,16.0738
2019-06-01,148785305.7,250547178.0,18.3131
2019-07-01,168957294.5,290843081.7,1.4223
2019-08-01,188171000.0,326872288.8,4.0131
2019-09-01,212056185.7,366886651.0,-6.6346
2019-10-01,237843491.1,410591724.2,-4.6899
2019-11-01,261255829.6,449198343.2,8.1183
2019-12-01,284496230.4,490952658.1,-2.0508
2020-01-01,25355980.7,41768077.22,-0.3346
2020-02-01,50971474.7,80530798.67,0.4026
2020-03-01,69149381.7,119382058.1,-1.3369
2020-04-01,84232747.95,149430274.7,-2.7207
2020-05-01,102863333.5,175842879.2,-4.8364
2020-06-01,123605657.0,209442582.6,-2.4115
2020-07-01,141855853.8,241066278.4,-3.1547
2020-08-01,162804007.0,274060197.4,-3.9782
2020-09-01,188891605.4,309527411.5,-6.1735
2020-10-01,215594788.2,345278360.0,-1.9481
2020-11-01,239374733.8,382539871.6,-0.801
2020-12-01,263088551.4,422860738.4,0.3936
2021-01-01,25000452.85,36480321.0,0.4018
2021-02-01,49083274.99,74135569.0,0.4809
2021-03-01,77827985.11,123373752.4,-1.7115
2021-04-01,104024810.7,166992999.0,-3.7814
2021-05-01,125790379.8,210678905.0,-9.6328
2021-06-01,152803658.3,253568883.8,1.5238
2021-07-01,175407897.2,294956359.4,-7.1431
2021-08-01,201978132.2,339563621.5,0.0739
2021-09-01,231321187.6,384218228.4,7.8617
2021-10-01,259558964.4,426317970.3,10.2521
2021-11-01,292749211.5,475678386.8,7.1999
2021-12-01,329404874.8,528571075.2,14.2856
2022-01-01,31567898.02,51186581.83,16.9903
2022-02-01,63694830.05,101835014.9,17.7298
2022-03-01,101391868.4,165398802.4,35.4454
2022-04-01,140647946.5,229636240.0,32.2012
2022-05-01,178529110.5,293197235.2,33.293
2022-06-01,217126622.1,365444521.5,26.0236
2022-07-01,248046760.8,429382457.4,-5.85
2022-08-01,279510508.8,491247510.7,0.6319
