Date,VA Commerce (Mdh)
1998-01-01,16396.5429
1998-04-01,16867.9496
1998-07-01,17127.6912
1998-10-01,17451.7601
1999-01-01,17170.3803
1999-04-01,17592.3112
1999-07-01,17564.9458
1999-10-01,17592.2481
2000-01-01,17614.3147
2000-04-01,17785.2928
2000-07-01,17821.9018
2000-10-01,17856.2366
2001-01-01,18276.4591
2001-04-01,18378.0317
2001-07-01,18317.0018
2001-10-01,18560.5694
2002-01-01,18739.9219
2002-04-01,19022.5164
2002-07-01,19102.2678
2002-10-01,19209.5525
2003-01-01,19573.256
2003-04-01,19273.8984
2003-07-01,19452.1989
2003-10-01,19650.3571
2004-01-01,20143.5184
2004-04-01,20427.5126
2004-07-01,20345.4479
2004-10-01,20917.3313
2005-01-01,20954.2009
2005-04-01,21211.8247
2005-07-01,21373.2499
2005-10-01,21581.1603
2006-01-01,21662.9132
2006-04-01,22127.2611
2006-07-01,22112.3481
2006-10-01,22155.0765
2007-01-01,22393.409
2007-04-01,22436.2949
2007-07-01,23203.513
2007-10-01,23828.7271
2008-01-01,25486.7541
2008-04-01,25571.0689
2008-07-01,26307.1817
2008-10-01,24785.1981
2009-01-01,24652.7891
2009-04-01,24827.42
2009-07-01,25640.7636
2009-10-01,25735.1148
2010-01-01,23692.9775
2010-04-01,24032.563
2010-07-01,24741.7879
2010-10-01,25058.8909
2011-01-01,25530.9035
2011-04-01,25896.5002
2011-07-01,26233.9787
2011-10-01,27034.4277
2012-01-01,27155.6534
2012-04-01,27485.7637
2012-07-01,26983.2419
2012-10-01,27378.3585
2013-01-01,26833.6164
2013-04-01,26677.6234
2013-07-01,26671.5843
2013-10-01,26612.802
2014-01-01,27422.2145
2014-04-01,27684.4546
2014-07-01,27366.3373
2014-10-01,26044.9931
2015-01-01,26878.6817
2015-04-01,27310.5466
2015-07-01,27258.3094
2015-10-01,27459.4623
2016-01-01,27028.8569
2016-04-01,27392.2196
2016-07-01,28134.9089
2016-10-01,29020.2503
2017-01-01,29287.8422
2017-04-01,29185.6553
2017-07-01,28862.271
2017-10-01,29329.211
2018-01-01,28661.0219
2018-04-01,28911.4655
2018-07-01,29191.1322
2018-10-01,29679.257
2019-01-01,29096.4529
2019-04-01,30101.3407
2019-07-01,29940.4404
2019-10-01,29730.0263
2020-01-01,29229.9831
2020-04-01,25141.6176
2020-07-01,28012.4532
2020-10-01,28579.6925
2021-01-01,29371.0019
2021-04-01,29662.532
2021-07-01,30259.3474
2021-10-01,30741.3411
2022-01-01,29689.826
2022-04-01,29906.5271
2022-07-01,29695.5421
2022-10-01,30024.7483
2023-01-01,30511.2565
2023-04-01,30709.2394
2023-07-01,30782.2503
2023-10-01,31043.2581
2024-01-01,31621.8444
2024-04-01,31631.0115
2024-07-01,32123.3162
2024-10-01,32307.4157
2025-01-01,33121.236
2025-04-01,33162.6028
2025-07-01,33291.6331
2025-10-01,33449.984
2026-01-01,34479.2067
