Date,VA Construction (Mdh),Crédit bancaire Bâtiment et travaux publics (MDH)
1998-01-01,6752.486,
1998-04-01,6716.8492,
1998-07-01,6662.368,
1998-10-01,6559.6714,
1999-01-01,6574.8202,
1999-04-01,6634.7969,
1999-07-01,6801.9569,
1999-10-01,7055.2756,
2000-01-01,7187.3303,
2000-04-01,7211.4385,
2000-07-01,7320.8732,
2000-10-01,7483.9915,
2001-01-01,7911.3414,
2001-04-01,7901.4519,
2001-07-01,7803.6607,
2001-10-01,7955.2341,
2002-01-01,7866.7282,
2002-04-01,8025.4125,
2002-07-01,8138.4979,
2002-10-01,8046.4086,
2003-01-01,8224.4442,
2003-04-01,8571.813,
2003-07-01,8882.3528,
2003-10-01,8936.032,
2004-01-01,9178.9632,
2004-04-01,9286.4394,
2004-07-01,9299.462,
2004-10-01,9555.227,
2005-01-01,9591.2335,
2005-04-01,9789.9868,
2005-07-01,10030.0522,
2005-10-01,10230.1086,
2006-01-01,10252.6194,
2006-04-01,10372.7674,
2006-07-01,10747.1243,
2006-10-01,11109.2449,23721.8687
2007-01-01,11263.0668,26237.8408
2007-04-01,11428.3316,30274.0368
2007-07-01,11686.8786,32496.0265
2007-10-01,11999.5632,42848.7962
2008-01-01,11953.1849,45986.9918
2008-04-01,12112.6127,52071.1224
2008-07-01,12273.311,50564.4731
2008-10-01,12344.0257,56768.6472
2009-01-01,12496.7859,59011.4306
2009-04-01,12712.419,62614.9891
2009-07-01,12809.572,75445.2687
2009-10-01,12894.0194,80850.2133
2010-01-01,12883.7793,78831.6615
2010-04-01,13007.865,86774.7149
2010-07-01,13036.9,84796.5607
2010-10-01,13192.6894,79441.9948
2011-01-01,13547.6048,84355.9654
2011-04-01,13574.8754,90096.5268
2011-07-01,13715.4069,92715.5649
2011-10-01,13856.6268,95840.101
2012-01-01,13988.0604,92716.5513
2012-04-01,13979.9834,96736.4979
2012-07-01,13977.1364,92376.4116
2012-10-01,14090.7521,93656.5517
2013-01-01,14002.4091,95272.8205
2013-04-01,14109.4573,93384.8092
2013-07-01,14378.5569,97297.2115
2013-10-01,14428.5014,93791.6348
2014-01-01,14618.7456,93384.6882
2014-04-01,14684.2718,96232.8066
2014-07-01,14675.2432,93087.6093
2014-10-01,14427.7394,93333.149
2015-01-01,14351.3184,92456.9078
2015-04-01,14655.5614,91134.4587
2015-07-01,14825.4353,92254.3126
2015-10-01,15308.6856,88483.3405
2016-01-01,15599.0399,88094.9682
2016-04-01,15520.8942,90346.8146
2016-07-01,15433.8226,91676.8782
2016-10-01,15352.7943,91725.3207
2017-01-01,15556.8737,90249.6377
2017-04-01,15570.4123,93807.6558
2017-07-01,15852.2068,92005.707
2017-10-01,15728.3734,93728.7703
2018-01-01,16147.0987,95294.8713
2018-04-01,16266.3576,96201.7904
2018-07-01,15955.956,97239.9288
2018-10-01,15140.9955,94893.9055
2019-01-01,15395.2959,94370.8811
2019-04-01,16155.4133,95743.957
2019-07-01,16360.0501,95912.6259
2019-10-01,15919.4178,96144.1989
2020-01-01,15922.7791,78647.7241
2020-04-01,14367.6168,80794.617
2020-07-01,14888.5514,81224.1721
2020-10-01,16010.4238,80064.2184
2021-01-01,15931.4976,79384.2351
2021-04-01,15891.6512,80346.4435
2021-07-01,16062.7267,79041.8531
2021-10-01,16187.2432,78989.4991
2022-01-01,15758.1139,80283.5072
2022-04-01,15698.123,79877.4182
2022-07-01,15219.3064,78541.4017
2022-10-01,15009.4848,90972.9932
2023-01-01,15411.3128,90616.3375
2023-04-01,15450.2726,93303.4996
2023-07-01,15488.7957,90402.092
2023-10-01,15564.2591,92439.536
2024-01-01,15948.373,94655.0981
2024-04-01,16159.4331,96416.8778
2024-07-01,16708.2894,96098.6848
2024-10-01,16806.8355,96132.8842
2025-01-01,17085.2654,96607.5006
2025-04-01,17383.8917,103740.5158
2025-07-01,17788.8622,100717.7254
2025-10-01,17782.1633,104818.2744
2026-01-01,17341.5444,107443.7191
