Date,Masse monétaire (M3),Crédit bancaire,Secteur privé,Sociétés non financières privées,"Comptes débiteurs et crédits de trésorerie (déflaté, réel)","Primes versées (MDH) (déflaté, réel)"
2001-12-01,,,184880.343,125254.738,,
2002-01-01,,,184133.9417,113695.4837,,
2002-02-01,,,185553.527,109271.5564,,
2002-03-01,,,182861.2546,110828.8675,,
2002-04-01,,,183055.0109,110261.1233,,
2002-05-01,,,182155.7815,110122.2925,,
2002-06-01,,,184480.708,111757.5119,,
2002-07-01,,,186257.8383,112977.1857,,
2002-08-01,,,186707.6181,113494.836,,
2002-09-01,,,186177.0444,113026.3595,,
2002-10-01,,,186776.4655,112876.4501,,
2002-11-01,,,186876.7716,112339.0082,,
2002-12-01,,,186459.5018,111597.8244,,
2003-01-01,,,187431.9432,111447.8265,,
2003-02-01,,,188315.7842,109478.8242,,
2003-03-01,,,188546.1983,109508.0285,,
2003-04-01,,,191394.344,107833.7423,,
2003-05-01,,,192528.0261,108701.2873,,
2003-06-01,,,192078.2064,107846.9636,,
2003-07-01,,,197481.5865,112352.3651,,
2003-08-01,,,197973.2902,111538.0562,,
2003-09-01,,,195762.4161,107597.7064,,
2003-10-01,,,197007.6606,109078.6069,,
2003-11-01,,,196880.1756,108052.8028,,
2003-12-01,,,196759.3815,107467.1941,,
2004-01-01,,,195829.4187,106026.6112,,
2004-02-01,,,197994.6599,107698.5812,,
2004-03-01,,,198957.5409,109044.6519,,
2004-04-01,,,199845.1565,109923.5598,,
2004-05-01,,,201512.1927,110085.0503,,
2004-06-01,,,203548.8258,111939.1399,,
2004-07-01,,,205134.5579,112546.2285,,
2004-08-01,,,200766.5437,108123.2563,,
2004-09-01,,,202976.1792,109841.7614,,
2004-10-01,,,202500.8115,104889.2906,,
2004-11-01,,,203215.2379,104680.4193,,
2004-12-01,,,206493.4653,106478.0538,,
2005-01-01,,,208695.9878,113090.4,,
2005-02-01,,,210816.1984,114565.762,,
2005-03-01,,,213081.8924,115655.2509,,
2005-04-01,,,222339.3432,122922.2049,,
2005-05-01,,,226561.3778,122370.1158,,
2005-06-01,,,233178.3386,123912.5294,,
2005-07-01,,,234709.9581,129067.6794,,
2005-08-01,,,234282.9994,128088.4096,,
2005-09-01,,,236637.6267,133489.2098,,
2005-10-01,,,238817.7074,131215.1952,,
2005-11-01,,,239805.3202,132628.7633,,
2005-12-01,,,234199.9122,126548.1791,,
2006-01-01,,,229389.9785,123615.4575,,
