Date,VA Finances assurances (Mdh)
1998-01-01,4964.0823
1998-04-01,4831.6204
1998-07-01,4750.5106
1998-10-01,4710.269
1999-01-01,4706.8894
1999-04-01,4701.5326
1999-07-01,4714.0221
1999-10-01,4780.7021
2000-01-01,4818.6593
2000-04-01,4877.0458
2000-07-01,4931.3491
2000-10-01,4996.4035
2001-01-01,5095.1507
2001-04-01,5105.4397
2001-07-01,5071.1571
2001-10-01,5074.7875
2002-01-01,5039.3416
2002-04-01,4996.7597
2002-07-01,5165.893
2002-10-01,5155.4534
2003-01-01,5304.0349
2003-04-01,5347.655
2003-07-01,5375.6515
2003-10-01,5461.9559
2004-01-01,5489.5651
2004-04-01,5541.983
2004-07-01,5635.781
2004-10-01,5746.3932
2005-01-01,5980.9846
2005-04-01,6250.2718
2005-07-01,6517.4663
2005-10-01,6428.1606
2006-01-01,6377.5565
2006-04-01,6518.0618
2006-07-01,6759.2584
2006-10-01,7070.0441
2007-01-01,7674.8794
2007-04-01,7937.8548
2007-07-01,8197.3072
2007-10-01,8429.9687
2008-01-01,8247.4986
2008-04-01,8228.6575
2008-07-01,8303.6459
2008-10-01,8518.9551
2009-01-01,8318.071
2009-04-01,8438.413
2009-07-01,8661.3957
2009-10-01,8810.0624
2010-01-01,9292.8836
2010-04-01,9507.9408
2010-07-01,9791.2026
2010-10-01,9674.0237
2011-01-01,9929.2583
2011-04-01,10300.8468
2011-07-01,10501.4444
2011-10-01,10695.6687
2012-01-01,10628.5311
2012-04-01,10817.8418
2012-07-01,10854.5169
2012-10-01,10877.5459
2013-01-01,10608.1538
2013-04-01,10776.9472
2013-07-01,10918.8419
2013-10-01,11006.9365
2014-01-01,10934.8198
2014-04-01,11042.3996
2014-07-01,11163.0776
2014-10-01,11254.703
2015-01-01,11283.6957
2015-04-01,11280.4862
2015-07-01,11343.2793
2015-10-01,11591.5469
2016-01-01,11727.4739
2016-04-01,11883.8614
2016-07-01,12376.6381
2016-10-01,12251.362
2017-01-01,12319.3194
2017-04-01,12613.7411
2017-07-01,12594.5351
2017-10-01,12548.7753
2018-01-01,12712.6978
2018-04-01,12657.4505
2018-07-01,12750.9104
2018-10-01,12892.5035
2019-01-01,13305.5691
2019-04-01,13311.4265
2019-07-01,13486.3953
2019-10-01,13598.1904
2020-01-01,13312.7559
2020-04-01,13464.215
2020-07-01,13555.9367
2020-10-01,13711.9673
2021-01-01,13610.9875
2021-04-01,13999.6883
2021-07-01,14081.9134
2021-10-01,14318.2334
2022-01-01,14923.8344
2022-04-01,15400.0218
2022-07-01,15589.3799
2022-10-01,15717.6353
2023-01-01,15998.4424
2023-04-01,16227.7395
2023-07-01,16454.2248
2023-10-01,16795.171
2024-01-01,17380.0103
2024-04-01,17498.1514
2024-07-01,18045.4651
2024-10-01,18491.2854
2025-01-01,18385.0406
2025-04-01,18371.3616
2025-07-01,19088.9766
2025-10-01,19523.9469
2026-01-01,19782.3037
