Date,Recettes touristiques (mensuel (En millions de dirhams)),Arrivés de touristes étrangers de Séjour (TES)
2007-12-01,4953.6,4030.898
2008-01-01,4323.0,253.107
2008-02-01,3507.3,553.612
2008-03-01,4053.2,945.937
2008-04-01,4419.6,1327.701
2008-05-01,4118.8,1691.925
2008-06-01,4041.1,2050.03
2008-07-01,8307.1,2485.012
2008-08-01,8141.4,2884.999
2008-09-01,3458.4,3258.324
2008-10-01,3822.4,3572.924
2008-11-01,3030.4,3918.671
2008-12-01,4328.1,4173.101
2009-01-01,3361.3,294.746
2009-02-01,2551.5,655.011
2009-03-01,3197.7,1096.415
2009-04-01,3843.3,1477.941
2009-05-01,3743.3,1838.76
2009-06-01,3963.3,2284.74
2009-07-01,7967.2,2644.15
2009-08-01,7519.4,2952.172
2009-09-01,3933.1,3349.64
2009-10-01,4196.2,3681.592
2009-11-01,4104.7,4038.528
2009-12-01,4452.8,4330.136
2010-01-01,3559.9,291.608
2010-02-01,3076.3,618.625
2010-03-01,3764.9,1055.963
2010-04-01,4125.6,1488.301
2010-05-01,3970.6,1919.275
2010-06-01,4111.3,2351.0
2010-07-01,7864.2,2860.0
2010-08-01,7287.7,3264.039
2010-09-01,4982.8,3657.948
2010-10-01,4607.0,4146.204
2010-11-01,4783.5,4518.787
2010-12-01,4287.7,4910.435
2011-01-01,4213.0,348.0
2011-02-01,3499.0,730.0
2011-03-01,4406.0,1137.0
2011-04-01,4343.0,1638.0
2011-05-01,4364.0,2020.0
2011-06-01,4572.0,2444.0
2011-07-01,8201.0,2964.0
2011-08-01,6734.0,3359.0
2011-09-01,4889.0,3753.0
2011-10-01,4821.0,4205.0
2011-11-01,4702.0,4545.0
2011-12-01,4160.0,4934.0
2012-01-01,4115.0,305.0
2012-02-01,3865.0,645.0
2012-03-01,3943.0,1052.0
2012-04-01,4507.0,1529.0
2012-05-01,4115.0,1941.0
2012-06-01,4216.0,2407.0
2012-07-01,6144.0,2912.0
2012-08-01,7169.0,3386.0
2012-09-01,5276.0,3795.0
2012-10-01,5276.0,4260.0
2012-11-01,4743.0,4614.0
2012-12-01,4466.0,5012.0
2013-01-01,4348.0,309.813
2013-02-01,3653.0,650.294
2013-03-01,3701.0,1106.285
2013-04-01,4466.0,1572.923
2013-05-01,4744.0,2024.424
2013-06-01,4021.0,2490.937
2013-07-01,4719.0,2986.876
2013-08-01,9209.0,3530.112
2013-09-01,5185.0,3974.55
2013-10-01,5376.0,4475.124
2013-11-01,3998.0,4866.468
2013-12-01,4194.0,5323.333
2014-01-01,4585.6,354.493
2014-02-01,3619.5,750.368
2014-03-01,4589.8,1221.456
2014-04-01,5178.5,1774.752
2014-05-01,4745.6,2255.744
2014-06-01,4556.4,2712.739
2014-07-01,5416.4,3210.915
2014-08-01,10079.8,3725.7
2014-09-01,5589.2,4156.851
2014-10-01,5533.8,4639.985
2014-11-01,3755.8,5013.366
2014-12-01,4383.4,5437.453
2015-01-01,4192.0,329.83
2015-02-01,3586.0,699.116
2015-03-01,4226.0,1150.577
2015-04-01,4747.0,1672.362
2015-05-01,4491.0,2138.667
2015-06-01,4153.0,2524.538
2015-07-01,6409.0,3039.592
2015-08-01,10247.0,3498.591
2015-09-01,5803.0,3933.366
2015-10-01,5453.0,4402.222
2015-11-01,3842.0,4749.094
2015-12-01,4001.0,5151.704
2016-01-01,3902.0,316.871
2016-02-01,3848.0,666.452
2016-03-01,4979.0,1108.197
2016-04-01,5084.0,1605.463
2016-05-01,4893.0,2042.896
2016-06-01,3715.0,2382.203
2016-07-01,6555.0,2907.58
2016-08-01,11562.0,3383.669
2016-09-01,6834.0,3793.099
2016-10-01,4741.0,4256.125
2016-11-01,4258.0,4642.43
2016-12-01,3855.0,5103.204
2017-01-01,4190.0,358.611
2017-02-01,3609.0,762.302
2017-03-01,4985.0,1238.401
2017-04-01,5272.0,1825.264
2017-05-01,5739.0,2294.873
2017-06-01,3499.0,2707.806
2017-07-01,7961.0,3299.59
2017-08-01,12959.0,3825.729
2017-09-01,7168.0,4293.24
2017-10-01,5869.0,4865.197
2017-11-01,5448.0,5334.334
2017-12-01,5428.0,5864.92
2018-01-01,6256.4,431.349
2018-02-01,4535.4,912.79
2018-03-01,5372.6,1538.074
2018-04-01,6165.4,2170.191
2018-05-01,5201.9,2642.158
2018-06-01,3905.0,3162.781
2018-07-01,7256.6,3779.689
2018-08-01,11278.8,4375.268
2018-09-01,6245.3,4898.663
2018-10-01,6229.7,5551.263
2018-11-01,5397.8,6108.448
2018-12-01,5177.4,6679.101
2019-01-01,5933.4,479.056
2019-02-01,4656.9,997.902
2019-03-01,5893.3,1596.308
2019-04-01,6472.9,2285.523
2019-05-01,5605.3,2760.168
2019-06-01,4976.8,3360.257
2019-07-01,7947.3,4094.137
2019-08-01,11201.3,4756.897
2019-09-01,7469.2,5293.18
2019-10-01,6867.7,5950.53
2019-11-01,5837.4,6468.633
2019-12-01,5885.9,7043.48
2020-01-01,6746.2,449.052
2020-02-01,5420.1,1025.909
2020-03-01,5043.5,1234.208
2020-04-01,1561.8,1234.909
2020-05-01,1050.7,1235.482
2020-06-01,1248.8,1236.188
2020-07-01,1727.6,1244.654
2020-08-01,1812.7,1253.292
2020-09-01,1726.8,1268.697
2020-10-01,2392.6,1307.453
2020-11-01,2983.4,1338.113
2020-12-01,4735.5,1407.994
2021-01-01,2593.0,50.534
2021-02-01,1847.0,83.22
2021-03-01,1020.0,120.3
2021-04-01,1152.0,
2021-05-01,900.0,156.426
2021-06-01,1458.0,257.411
2021-07-01,4177.0,522.172
2021-08-01,7440.0,710.625
2021-09-01,4509.0,853.431
2021-10-01,3692.0,1102.073
2021-11-01,3747.0,1280.617
2021-12-01,2041.0,1284.335
2022-01-01,1148.0,2.774
2022-02-01,2422.0,122.825
2022-03-01,6750.0,364.745
2022-04-01,4814.0,707.991
2022-05-01,6064.0,1144.407
2022-06-01,7116.0,
2022-07-01,9689.0,
2022-08-01,15967.0,
2022-09-01,10336.0,3339.0
2022-10-01,9154.0,3975.775
2022-11-01,10870.0,4469.788
2022-12-01,9527.0,5064.774
2023-01-01,8680.0,444.375
2023-02-01,7412.0,986.018
2023-03-01,9150.0,1583.685
2023-04-01,7269.0,2238.613
2023-05-01,8612.0,2868.69
2023-06-01,7579.0,3466.998
2023-07-01,9739.0,4219.205
2023-08-01,14708.0,4835.348
2023-09-01,9090.0,5335.558
2023-10-01,8597.0,5987.151
2023-11-01,9164.0,6513.777
2023-12-01,7562.0,7149.994
2024-01-01,8104.0,494.208
2024-02-01,7465.0,1136.941
2024-03-01,8875.0,1827.967
2024-04-01,8096.0,2582.067
2024-05-01,9645.0,3349.279
2024-06-01,7797.0,4032.636
2024-07-01,10658.0,4892.823
2024-08-01,17200.0,5722.229
2024-09-01,10774.0,6421.663
2024-10-01,10009.0,7293.112
2024-11-01,7673.0,8013.579
2024-12-01,8179.0,8797.771
2025-01-01,9835.0,624.848
2025-02-01,7669.0,1386.225
2025-03-01,7593.0,2154.964
2025-04-01,11515.0,3121.688
2025-05-01,10302.0,
2025-06-01,9093.0,
2025-07-01,13637.0,
2025-08-01,19595.0,
2025-09-01,13609.0,
2025-10-01,13395.0,
2025-11-01,10287.0,
2025-12-01,12053.0,
