Date,VA Hebergement restauration (Mdh)
1998-01-01,5217.2042
1998-04-01,5266.5169
1998-07-01,5344.1746
1998-10-01,5534.1866
1999-01-01,5476.4667
1999-04-01,5633.7689
1999-07-01,5784.0719
1999-10-01,5799.7169
2000-01-01,5913.0423
2000-04-01,5968.3179
2000-07-01,5887.7825
2000-10-01,5878.708
2001-01-01,6210.2984
2001-04-01,5781.535
2001-07-01,5597.9815
2001-10-01,5977.3354
2002-01-01,5806.1785
2002-04-01,5925.8438
2002-07-01,5951.3844
2002-10-01,5928.6239
2003-01-01,5607.0836
2003-04-01,5835.8433
2003-07-01,6054.1558
2003-10-01,6015.0979
2004-01-01,6375.8251
2004-04-01,6178.4392
2004-07-01,6446.3074
2004-10-01,6633.7753
2005-01-01,6826.6936
2005-04-01,6770.6145
2005-07-01,7066.2549
2005-10-01,6957.8525
2006-01-01,7026.1643
2006-04-01,7517.8324
2006-07-01,7140.6887
2006-10-01,7406.9745
2007-01-01,7485.3001
2007-04-01,7463.4678
2007-07-01,7475.3096
2007-10-01,7506.723
2008-01-01,7559.5876
2008-04-01,7510.1645
2008-07-01,7571.6532
2008-10-01,7636.306
2009-01-01,7479.5869
2009-04-01,7564.0282
2009-07-01,7583.8821
2009-10-01,7760.8512
2010-01-01,7961.3191
2010-04-01,8176.074
2010-07-01,8265.4447
2010-10-01,8337.2229
2011-01-01,8301.5361
2011-04-01,7888.9714
2011-07-01,8150.8571
2011-10-01,8051.7287
2012-01-01,8129.9334
2012-04-01,8238.2634
2012-07-01,8435.4478
2012-10-01,8434.6638
2013-01-01,8519.9501
2013-04-01,8701.7613
2013-07-01,8734.4541
2013-10-01,8845.573
2014-01-01,8902.1501
2014-04-01,9432.8713
2014-07-01,8529.0664
2014-10-01,8690.9122
2015-01-01,8802.6759
2015-04-01,8937.5107
2015-07-01,8591.3635
2015-10-01,8743.4502
2016-01-01,8801.9368
2016-04-01,8728.8956
2016-07-01,9232.1237
2016-10-01,9414.8343
2017-01-01,9680.2442
2017-04-01,9953.2758
2017-07-01,10056.2845
2017-10-01,10247.3095
2018-01-01,10504.9738
2018-04-01,10662.1903
2018-07-01,10450.6394
2018-10-01,10801.9574
2019-01-01,10918.3812
2019-04-01,11367.2502
2019-07-01,10610.6766
2019-10-01,11039.3868
2020-01-01,7941.5095
2020-04-01,3370.5107
2020-07-01,3927.0286
2020-10-01,4725.0143
2021-01-01,5266.9974
2021-04-01,5441.1275
2021-07-01,5961.0267
2021-10-01,6369.3227
2022-01-01,7565.2221
2022-04-01,9108.8262
2022-07-01,10824.0925
2022-10-01,11206.4961
2023-01-01,11606.4548
2023-04-01,11942.5029
2023-07-01,12100.7626
2023-10-01,12155.8805
2024-01-01,11848.3459
2024-04-01,12916.4723
2024-07-01,13438.1524
2024-10-01,13608.6997
2025-01-01,12878.0016
2025-04-01,14141.332
2025-07-01,14297.0713
2025-10-01,14130.6466
2026-01-01,13921.1197
