Date,VA Industrie extraction (Mdh),IPM — Industries extractives
1998-01-01,3553.0094,
1998-04-01,3546.9186,
1998-07-01,3460.1998,
1998-10-01,3611.6663,
1999-01-01,3644.0717,
1999-04-01,3819.2707,
1999-07-01,3522.7853,
1999-10-01,3599.9763,
2000-01-01,3529.2744,
2000-04-01,3615.2098,
2000-07-01,3915.9813,
2000-10-01,3778.7823,
2001-01-01,3876.1984,
2001-04-01,3666.8566,
2001-07-01,3871.1336,
2001-10-01,3997.7516,
2002-01-01,3873.8815,
2002-04-01,3894.1459,
2002-07-01,3867.1267,
2002-10-01,3688.1243,
2003-01-01,3912.8324,
2003-04-01,3999.1449,
2003-07-01,3845.1364,
2003-10-01,3853.858,
2004-01-01,4538.0006,
2004-04-01,4263.4751,
2004-07-01,4478.6023,
2004-10-01,4775.9039,
2005-01-01,4718.791,
2005-04-01,4872.0703,
2005-07-01,4949.8836,
2005-10-01,4845.9768,
2006-01-01,4888.2741,
2006-04-01,5014.3588,
2006-07-01,5086.7073,
2006-10-01,5346.0238,
2007-01-01,5222.1173,
2007-04-01,5343.8902,
2007-07-01,5467.4279,
2007-10-01,5209.7635,
2008-01-01,5543.5454,
2008-04-01,5423.9919,
2008-07-01,5522.8175,
2008-10-01,4440.5219,
2009-01-01,2882.0476,
2009-04-01,3666.7698,
2009-07-01,3900.288,
2009-10-01,4441.9876,
2010-01-01,5024.8516,
2010-04-01,5397.2505,
2010-07-01,5305.8702,
2010-10-01,5434.6143,
2011-01-01,5564.8291,
2011-04-01,5527.3775,
2011-07-01,5454.1201,
2011-10-01,5665.3662,
2012-01-01,5263.3882,
2012-04-01,5360.7351,
2012-07-01,5551.9127,
2012-10-01,5559.1405,
2013-01-01,5239.3815,
2013-04-01,5351.4272,
2013-07-01,5369.2556,
2013-10-01,5514.9665,
2014-01-01,5642.9096,
2014-04-01,5608.0757,
2014-07-01,5519.7177,
2014-10-01,5357.297,
2015-01-01,5405.244,
2015-04-01,5540.8649,
2015-07-01,5673.7843,
2015-10-01,5624.1068,
2016-01-01,5715.5959,91.4
2016-04-01,5623.036,101.7
2016-07-01,5747.1884,106.6
2016-10-01,5897.7162,109.8
2017-01-01,6007.8946,97.4
2017-04-01,6609.9649,135.5
2017-07-01,6407.0669,127.8
2017-10-01,6488.1535,131.6
2018-01-01,6331.538,116.7
2018-04-01,6383.4616,133.2
2018-07-01,6308.7659,131.4
2018-10-01,6288.238,132.2
2019-01-01,6545.2388,124.7
2019-04-01,6399.2699,131.6
2019-07-01,6469.598,135.0
2019-10-01,6483.5468,137.0
2020-01-01,6516.4307,124.2
2020-04-01,6672.8579,141.6
2020-07-01,6599.4359,140.1
2020-10-01,6788.3745,149.0
2021-01-01,7141.0676,132.0
2021-04-01,7055.947,139.8
2021-07-01,7215.3945,148.2
2021-10-01,7112.6242,146.2
2022-01-01,6191.9342,118.7
2022-04-01,5779.3559,118.0
2022-07-01,5541.0419,120.1
2022-10-01,4461.1771,104.0
2023-01-01,4917.4424,90.0
2023-04-01,4917.5207,96.0
2023-07-01,5291.6706,112.8
2023-10-01,5929.1926,137.6
2024-01-01,5781.3065,115.7
2024-04-01,5822.0196,123.8
2024-07-01,5952.2424,138.1
2024-10-01,5918.6295,150.2
2025-01-01,6321.128,128.2
2025-04-01,6621.5497,144.6
2025-07-01,6421.3732,148.3
2025-10-01,5861.3969,143.6
2026-01-01,6118.8519,125.8
