Date,VA Industrie transformation (Mdh),IPI — Industries alimentaires,IPI — Industries manufacturières hors raffinage de pétrole,IPI — Fabrication de textiles,IPI — Industrie d’habillement,"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements",IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Réparation et installation de machines et équipements
1998-01-01,24732.4105,,,,,,,,,,,
1998-04-01,23054.3102,,,,,,,,,,,
1998-07-01,23197.4093,,,,,,,,,,,
1998-10-01,22428.5292,,,,,,,,,,,
1999-01-01,23307.7931,,,,,,,,,,,
1999-04-01,23998.7386,,,,,,,,,,,
1999-07-01,24173.4291,,,,,,,,,,,
1999-10-01,24263.8207,,,,,,,,,,,
2000-01-01,24141.2206,,,,,,,,,,,
2000-04-01,24508.9433,,,,,,,,,,,
2000-07-01,24733.2117,,,,,,,,,,,
2000-10-01,24773.6463,,,,,,,,,,,
2001-01-01,24869.9172,,,,,,,,,,,
2001-04-01,24951.9123,,,,,,,,,,,
2001-07-01,24904.3737,,,,,,,,,,,
2001-10-01,26007.2456,,,,,,,,,,,
2002-01-01,25682.7668,,,,,,,,,,,
2002-04-01,25524.1585,,,,,,,,,,,
2002-07-01,26498.9547,,,,,,,,,,,
2002-10-01,27634.5581,,,,,,,,,,,
2003-01-01,26654.2978,,,,,,,,,,,
2003-04-01,26554.7675,,,,,,,,,,,
2003-07-01,26651.8183,,,,,,,,,,,
2003-10-01,26642.6393,,,,,,,,,,,
2004-01-01,26811.1301,,,,,,,,,,,
2004-04-01,26490.5336,,,,,,,,,,,
2004-07-01,26694.1626,,,,,,,,,,,
2004-10-01,27112.8096,,,,,,,,,,,
2005-01-01,27172.8715,,,,,,,,,,,
2005-04-01,27839.3087,,,,,,,,,,,
2005-07-01,28052.1321,,,,,,,,,,,
2005-10-01,28052.4458,,,,,,,,,,,
2006-01-01,28484.739,,,,,,,,,,,
2006-04-01,29003.6131,,,,,,,,,,,
2006-07-01,29274.248,,,,,,,,,,,
2006-10-01,29379.638,,,,,,,,,,,
2007-01-01,30224.9853,,,,,,,,,,,
2007-04-01,31360.6299,,,,,,,,,,,
2007-07-01,31400.1278,,,,,,,,,,,
2007-10-01,32354.066,,,,,,,,,,,
2008-01-01,33962.7667,,,,,,,,,,,
2008-04-01,33308.7782,,,,,,,,,,,
2008-07-01,33381.9304,,,,,,,,,,,
2008-10-01,33086.9217,,,,,,,,,,,
2009-01-01,31277.0454,,,,,,,,,,,
2009-04-01,31733.6224,,,,,,,,,,,
2009-07-01,32313.9242,,,,,,,,,,,
2009-10-01,32984.3595,,,,,,,,,,,
2010-01-01,33294.779,,,,,,,,,,,
2010-04-01,34065.2868,,,,,,,,,,,
2010-07-01,35151.5646,,,,,,,,,,,
2010-10-01,35326.9614,,,,,,,,,,,
2011-01-01,35728.7384,,,,,,,,,,,
2011-04-01,36421.9524,,,,,,,,,,,
2011-07-01,36783.1735,,,,,,,,,,,
2011-10-01,37362.1964,,,,,,,,,,,
2012-01-01,37564.8897,,,,,,,,,,,
2012-04-01,36976.2116,,,,,,,,,,,
2012-07-01,36920.0233,,,,,,,,,,,
2012-10-01,36699.0914,,,,,,,,,,,
2013-01-01,36556.5011,,,,,,,,,,,
2013-04-01,36541.8396,,,,,,,,,,,
2013-07-01,36887.1582,,,,,,,,,,,
2013-10-01,37660.2239,,,,,,,,,,,
2014-01-01,38419.1586,,,,,,,,,,,
2014-04-01,38940.9815,,,,,,,,,,,
2014-07-01,39067.3112,,,,,,,,,,,
2014-10-01,37248.5486,,,,,,,,,,,
2015-01-01,38399.692,,,,,,,,,,,
2015-04-01,39155.5562,,,,,,,,,,,
2015-07-01,39399.3517,,,,,,,,,,,
2015-10-01,39138.3997,,,,,,,,,,,
2016-01-01,39011.7832,108.2,104.7,106.6,103.8,92.0,103.3,98.9,98.0,114.3,129.2,103.7
2016-04-01,38623.8442,107.6,109.1,101.0,110.0,74.3,103.4,95.3,102.8,117.3,128.8,100.8
2016-07-01,39515.4653,109.0,100.9,77.6,84.1,78.0,92.6,77.6,104.9,107.2,169.5,98.9
2016-10-01,39979.6502,109.7,106.1,94.3,106.0,83.9,102.3,92.4,103.4,115.5,142.7,99.7
2017-01-01,40362.6436,121.9,107.6,107.9,104.6,86.8,102.2,79.3,88.2,124.7,149.5,104.8
2017-04-01,40969.5928,114.9,110.7,97.5,99.1,74.4,93.7,83.3,108.6,124.6,179.1,102.2
2017-07-01,40502.7244,114.2,102.8,77.7,80.0,77.7,93.0,80.6,109.8,96.8,171.7,99.3
2017-10-01,40616.6257,106.9,108.9,99.1,101.4,80.6,105.5,92.2,86.3,123.1,220.2,100.7
2018-01-01,41578.6122,120.2,110.1,112.6,97.1,85.7,100.8,86.3,91.1,132.7,164.9,107.4
2018-04-01,41419.725,111.2,112.9,100.3,99.8,75.6,102.2,73.2,103.4,130.1,194.1,103.4
2018-07-01,42246.5047,117.8,105.2,75.3,87.1,73.5,93.9,80.6,109.2,104.0,185.8,100.2
2018-10-01,42354.3224,112.4,114.3,98.6,103.7,89.5,103.2,86.0,87.1,141.1,219.7,101.8
2019-01-01,42577.2868,120.2,113.1,106.3,102.9,87.8,103.3,93.8,83.9,146.6,164.3,107.5
2019-04-01,44180.0064,114.4,115.5,100.7,103.4,78.5,100.4,70.0,98.2,143.0,197.8,105.7
2019-07-01,43413.2854,118.4,106.9,75.7,92.3,79.3,94.2,86.2,103.5,107.1,184.7,100.9
2019-10-01,43115.6165,113.2,117.1,92.4,102.6,92.0,105.7,105.2,91.8,143.2,221.9,108.9
2020-01-01,43045.6703,129.2,113.7,103.8,109.5,93.0,98.6,80.0,91.9,116.9,167.5,105.3
