serie,charge
IPI — Industries alimentaires,0.020179829122577302
IPI — Industries manufacturières hors raffinage de pétrole,0.3361260316003728
IPI — Fabrication de textiles,0.2673562259863185
IPI — Industrie d’habillement,0.21114597186397985
"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",0.24058156201210878
IPI — Fabrication d’autres produits minéraux non métalliques,0.3380173733564963
IPI — Métallurgie,0.27606898896707466
"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements",0.270573711121607
IPI — Industrie automobile,0.2831248822549581
IPI — Fabrication d’autres matériels de transport,0.144123251795387
IPI — Réparation et installation de machines et équipements,0.27219561541631365
Taux d’Utilisation des Capacités,0.34288392215168945
Evolution des ventes au cours des trois prochains mois,-0.2476799648558315
Evolution des ventes au cours des trois prochains mois (2),-0.18455850114937508
Evolution des ventes par rapport au mois précédent,0.24696636766827748
