Date,POISSON PELAGIQUE,CEPHALOPODES
2008-12-01,821282.0,
2009-12-01,938148.0,
2010-09-01,721846.0,1420309.7283013496
2010-10-01,845899.0,931699.9279678025
2010-12-01,965374.0,988386.1909086215
2011-02-01,98282.0,441610.31040267367
2011-03-01,310899.0,12177.877261775022
2011-04-01,176932.0,764897.5587029271
2011-05-01,198634.0,860539.6576615495
2011-06-01,256726.0,919114.0291176853
2011-07-01,320701.0,1079025.9312479296
2011-09-01,499468.0,1406296.0142645072
2011-10-01,631721.0,1479930.2188127348
2011-11-01,696563.0,1698118.9604576984
2011-12-01,781730.0,1943480.0588445573
2012-01-01,65442.0,192278.75210825758
2012-02-01,98055.0,346189.7546814759
2012-03-01,161502.0,476401.7491055988
2012-04-01,233354.0,523712.8587951842
2012-05-01,335135.0,640709.2525724596
2012-06-01,410458.0,856524.2227666244
2012-07-01,484264.0,1056018.4457406343
2012-08-01,557609.0,1167985.8699584813
2012-09-01,699666.0,1205770.46170784
2012-10-01,788441.0,1243045.489471912
2012-11-01,877579.0,1416488.5857770198
2012-12-01,979762.0,1696337.8748467069
2013-01-01,60142.0,166496.38544149586
2013-02-01,132737.0,297300.14205202967
2013-03-01,211412.0,470648.6796301121
2013-04-01,277862.0,516310.1182413585
2013-05-01,348119.0,553437.249335053
2013-06-01,433400.0,731259.6886251412
2013-07-01,554225.0,860441.7429786297
2013-08-01,657516.0,905200.961508945
2013-09-01,784353.0,946217.4714773324
2013-10-01,833260.0,966839.4864283333
2013-11-01,926795.0,1241030.0157775073
2013-12-01,1033893.0,1490027.5092273166
2014-01-01,61444.0,118082.5811598683
2014-02-01,121918.0,182581.4383812259
2014-03-01,188972.0,284814.2254849749
2014-04-01,298011.0,341828.4984782797
2014-05-01,385936.0,391180.24618745514
2014-06-01,491408.0,758125.8711695295
2014-07-01,571328.0,927758.6455037083
2014-08-01,673538.0,1087008.0955665237
2014-09-01,816268.0,1128488.3500739038
2014-10-01,925031.0,1147257.388236618
2014-11-01,1055572.0,1337976.8363533325
2014-12-01,1153015.0,1787028.6699122216
2015-01-01,57381.0,144100.1787385526
2015-02-01,112323.0,421186.72186788725
2015-03-01,186140.0,592592.803550241
2015-04-01,237106.0,641093.9932909468
2015-05-01,339857.0,703992.5052891371
2015-06-01,471530.0,1115483.4024890873
2015-07-01,542925.0,1228966.5269566404
2015-08-01,688149.0,1407957.6146996347
2015-09-01,776738.0,1423007.1110887395
2015-10-01,915648.0,1454138.5261936027
2015-11-01,1021746.0,1485071.530284548
2015-12-01,1132236.0,2145934.5613114857
2016-02-01,180205.0,421131.8257654731
2016-03-01,261158.0,591303.2759067321
2016-04-01,360743.0,661253.4161837272
2016-05-01,482563.0,731342.7388426084
2016-06-01,582986.0,1059983.7500127477
2016-07-01,663465.0,1275915.431527397
2016-08-01,809980.0,1514961.453339344
