Date,VA Peche (Mdh)
1998-01-01,1064.6697
1998-04-01,1062.2591
1998-07-01,1063.0416
1998-10-01,1092.7672
1999-01-01,1106.5865
1999-04-01,1148.2098
1999-07-01,1141.4214
1999-10-01,1196.1153
2000-01-01,1243.072
2000-04-01,1257.9111
2000-07-01,1259.021
2000-10-01,1320.4823
2001-01-01,1300.0738
2001-04-01,1268.3868
2001-07-01,1265.5205
2001-10-01,1129.8546
2002-01-01,1045.4203
2002-04-01,870.35
2002-07-01,873.0193
2002-10-01,803.2279
2003-01-01,790.4974
2003-04-01,812.5863
2003-07-01,734.7164
2003-10-01,706.678
2004-01-01,690.6257
2004-04-01,739.6611
2004-07-01,732.1793
2004-10-01,716.6664
2005-01-01,783.6734
2005-04-01,945.7034
2005-07-01,893.2021
2005-10-01,866.0462
2006-01-01,891.1797
2006-04-01,1038.5159
2006-07-01,698.824
2006-10-01,555.5805
2007-01-01,738.507
2007-04-01,729.7405
2007-07-01,686.0245
2007-10-01,739.3743
2008-01-01,872.5921
2008-04-01,919.7651
2008-07-01,874.1337
2008-10-01,662.0572
2009-01-01,848.0114
2009-04-01,763.9536
2009-07-01,871.552
2009-10-01,857.7823
2010-01-01,780.7438
2010-04-01,777.7527
2010-07-01,764.3364
2010-10-01,488.7812
2011-01-01,940.7493
2011-04-01,874.84
2011-07-01,863.4931
2011-10-01,830.554
2012-01-01,852.4247
2012-04-01,927.7477
2012-07-01,983.9785
2012-10-01,1086.2686
2013-01-01,1424.6755
2013-04-01,1194.9293
2013-07-01,1167.0694
2013-10-01,1096.9063
2014-01-01,992.0595
2014-04-01,1259.7771
2014-07-01,1157.9582
2014-10-01,1276.2052
2015-01-01,1253.0704
2015-04-01,1267.2758
2015-07-01,1237.191
2015-10-01,1328.4627
2016-01-01,1399.7502
2016-04-01,1306.11
2016-07-01,1216.8614
2016-10-01,1345.8832
2017-01-01,1220.1178
2017-04-01,1195.9524
2017-07-01,1221.3032
2017-10-01,1143.4243
2018-01-01,1015.5943
2018-04-01,1074.7248
2018-07-01,1020.1977
2018-10-01,1074.5663
2019-01-01,1268.5289
2019-04-01,1147.1681
2019-07-01,1276.9803
2019-10-01,1068.3493
2020-01-01,1372.2842
2020-04-01,1143.0751
2020-07-01,1792.5457
2020-10-01,1035.1307
2021-01-01,1399.8062
2021-04-01,1526.2448
2021-07-01,1397.4985
2021-10-01,1549.0011
2022-01-01,1204.2196
2022-04-01,1241.9655
2022-07-01,812.5034
2022-10-01,1391.1528
2023-01-01,1143.1496
2023-04-01,1274.2535
2023-07-01,1384.9583
2023-10-01,1168.7685
2024-01-01,1341.3576
2024-04-01,1184.4653
2024-07-01,1665.8425
2024-10-01,1215.8436
2025-01-01,1327.6393
2025-04-01,1084.3136
2025-07-01,1249.0851
2025-10-01,1042.2144
2026-01-01,1302.4141
