Date,VA Transports (Mdh)
1998-01-01,3675.0075
1998-04-01,3681.6048
1998-07-01,3786.088
1998-10-01,3911.5941
1999-01-01,3938.4219
1999-04-01,4081.712
1999-07-01,4090.2548
1999-10-01,4229.9342
2000-01-01,4344.5406
2000-04-01,4401.3283
2000-07-01,4452.9295
2000-10-01,4467.3523
2001-01-01,4588.1944
2001-04-01,4525.0059
2001-07-01,4522.8004
2001-10-01,4437.6623
2002-01-01,4527.7181
2002-04-01,4586.1149
2002-07-01,4545.762
2002-10-01,4576.3851
2003-01-01,4481.519
2003-04-01,4511.1574
2003-07-01,4629.3377
2003-10-01,4792.8277
2004-01-01,4946.4724
2004-04-01,5093.0798
2004-07-01,5253.5919
2004-10-01,5372.252
2005-01-01,5528.6789
2005-04-01,5616.5621
2005-07-01,5658.213
2005-10-01,5721.4859
2006-01-01,6287.1299
2006-04-01,6462.3172
2006-07-01,6535.5767
2006-10-01,6631.4377
2007-01-01,6503.8072
2007-04-01,6646.6864
2007-07-01,6760.4112
2007-10-01,6859.7198
2008-01-01,7164.1521
2008-04-01,6719.9971
2008-07-01,6844.2351
2008-10-01,6479.9854
2009-01-01,6615.3854
2009-04-01,6852.1287
2009-07-01,6930.0047
2009-10-01,7535.3613
2010-01-01,7097.206
2010-04-01,7241.2441
2010-07-01,7342.0491
2010-10-01,7492.3238
2011-01-01,7673.2675
2011-04-01,7761.8547
2011-07-01,7860.1869
2011-10-01,7955.0071
2012-01-01,8153.9272
2012-04-01,8074.7462
2012-07-01,8047.5242
2012-10-01,8113.9197
2013-01-01,8102.9826
2013-04-01,8133.2154
2013-07-01,8238.4011
2013-10-01,8213.7359
2014-01-01,8285.3683
2014-04-01,8520.8264
2014-07-01,8492.836
2014-10-01,8539.9693
2015-01-01,8777.79
2015-04-01,8990.0273
2015-07-01,8986.4477
2015-10-01,9109.735
2016-01-01,9089.3246
2016-04-01,8816.9598
2016-07-01,9182.218
2016-10-01,9174.7922
2017-01-01,9223.1292
2017-04-01,9141.8195
2017-07-01,9171.4087
2017-10-01,9196.2248
2018-01-01,9125.4995
2018-04-01,9479.9986
2018-07-01,8961.8066
2018-10-01,8983.976
2019-01-01,9508.3187
2019-04-01,10516.1419
2019-07-01,9458.8177
2019-10-01,9096.4267
2020-01-01,8982.5289
2020-04-01,5442.2186
2020-07-01,6172.7827
2020-10-01,6977.6893
2021-01-01,7381.051
2021-04-01,7386.4765
2021-07-01,7946.8968
2021-10-01,7756.0543
2022-01-01,7614.3846
2022-04-01,7871.4444
2022-07-01,8108.5636
2022-10-01,8066.6777
2023-01-01,8346.63
2023-04-01,8436.0329
2023-07-01,8460.881
2023-10-01,8582.8072
2024-01-01,8976.5923
2024-04-01,9188.5459
2024-07-01,9182.129
2024-10-01,9348.2866
2025-01-01,9348.1447
2025-04-01,9596.4739
2025-07-01,9516.2167
2025-10-01,9763.3063
2026-01-01,9796.8557
