indicateur,beta0,beta1,p_value,R2,R2_ajuste,AIC,n_obs
IPI — Industries alimentaires,0.0021453818516486292,0.36348307052547435,0.0648977425186671,0.17679450274507072,0.13106086400868566,-50.39124958234576,20
IPI — Industries manufacturières hors raffinage de pétrole,0.0035406510345724154,0.5492128212133299,0.0010651521656366587,0.4571437647993162,0.4269850850659448,-58.71847633730194,20
IPI — Fabrication de textiles,0.006149649610777218,0.16954071279241906,0.004127532020912613,0.3746175247297936,0.33987405388144876,-55.88809837053638,20
IPI — Industrie d’habillement,0.005625601430390676,0.23984904795062942,3.0680684683498014e-4,0.5242548095299109,0.4978245211704615,-61.35771889525877,20
"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",0.006110608275457153,0.17013476824293314,8.787422823452842e-8,0.8038479905645602,0.7929506567070358,-79.07756849078984,20
IPI — Fabrication d’autres produits minéraux non métalliques,0.006765375556164982,0.37403406474402123,3.503325303973318e-4,0.517482685408276,0.49067616793095803,-61.075030724494894,20
IPI — Métallurgie,0.007539197544054348,0.14961046954250823,3.327841213449761e-4,0.5201164515891861,0.493456254455252,-61.18449749067223,20
"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements",0.007051728684273801,0.23324411337644393,1.4896612277743982e-4,0.5596093488405913,0.5351432015539574,-62.90212329935308,20
IPI — Industrie automobile,0.00685407311907441,0.1613299827796911,0.0033739407783277995,0.3875444848593653,0.35351917846266334,-56.30584060169254,20
IPI — Fabrication d’autres matériels de transport,0.004767779800151839,0.13287938329852506,0.016025329781551453,0.28182281581860885,0.24192408336408722,-53.12104056587711,20
IPI — Réparation et installation de machines et équipements,0.006155256365653541,0.3778251836996409,2.995915604313069e-8,0.8257234072323837,0.8160413743008494,-81.44249381601982,20
Taux d’Utilisation des Capacités,0.006423596334610857,0.5612497478539259,1.2943399698000462e-6,0.43121781717337293,0.41767538424892947,-165.79880165504164,44
Evolution des ventes au cours des trois prochains mois,0.0058240069682673114,-0.01635484485897797,0.013083116105354127,0.13786960468132262,0.11734269050706847,-147.49880670924617,44
Evolution des ventes au cours des trois prochains mois (2),0.0051366321640602475,-0.014092262778956859,0.0013289571734198006,0.240130345313515,0.22013377545334423,-135.01611851779128,40
Evolution des ventes par rapport au mois précédent,0.01516631627452988,0.011711876253033826,0.005874097923686292,0.2572441601601746,0.22867662785864273,-109.83778790753968,28
