Date,Vente de ciment (1000tonnes)
1995-01-01,544.0
1995-02-01,419.0
1995-03-01,476.0
1995-04-01,542.0
1995-05-01,401.0
1995-06-01,539.0
1995-07-01,572.0
1995-08-01,556.0
1995-09-01,606.0
1995-10-01,620.0
1995-11-01,556.0
1995-12-01,532.0
1996-01-01,397.0
1996-02-01,386.0
1996-03-01,517.0
1996-04-01,553.0
1996-05-01,496.0
1996-06-01,509.0
1996-07-01,571.0
1996-08-01,634.0
1996-09-01,648.0
1996-10-01,737.0
1996-11-01,622.0
1996-12-01,456.66
1997-01-01,461.53
1997-02-01,454.38
1997-03-01,644.97
1997-04-01,467.6
1997-05-01,655.89
1997-06-01,641.56
1997-07-01,630.13
1997-08-01,649.75
1997-09-01,676.98
1997-10-01,736.83
1997-11-01,563.71
1997-12-01,600.0
1998-01-01,446.37
1998-02-01,493.71
1998-03-01,646.33
1998-04-01,448.05
1998-05-01,611.21
1998-06-01,637.65
1998-07-01,612.52
1998-08-01,638.59
1998-09-01,665.24
1998-10-01,729.52
1998-11-01,644.19
1998-12-01,579.42
1999-01-01,387.53
1999-02-01,559.06
1999-03-01,498.6
1999-04-01,607.12
1999-05-01,653.74
1999-06-01,576.36
1999-07-01,652.92
1999-08-01,690.26
1999-09-01,698.17
1999-10-01,666.41
1999-11-01,648.06
1999-12-01,596.11
2000-01-01,501.64
2000-02-01,665.22
2000-03-01,480.3
2000-04-01,587.3
2000-05-01,700.14
2000-06-01,626.85
2000-07-01,684.06
2000-08-01,1375.1
2000-09-01,-0.02
2000-10-01,700.21
2000-11-01,665.64
2000-12-01,493.67
2001-01-01,623.89
2001-02-01,623.94
2001-03-01,506.04
2001-04-01,704.22
2001-05-01,720.11
2001-06-01,657.41
2001-07-01,708.42
2001-08-01,740.86
2001-09-01,693.33
2001-10-01,798.03
2001-11-01,673.1
2001-12-01,608.32
2002-01-01,659.38
2002-02-01,474.91
2002-03-01,639.06
2002-04-01,738.33
2002-05-01,744.79
2002-06-01,724.02
2002-07-01,805.81
2002-08-01,825.75
2002-09-01,777.91
2002-10-01,844.43
2002-11-01,622.72
2002-12-01,628.96
2003-01-01,761.87
2003-02-01,451.1
2003-03-01,786.15
2003-04-01,861.44
2003-05-01,797.93
2003-06-01,788.21
2003-07-01,888.26
2003-08-01,835.26
2003-09-01,880.18
2003-10-01,882.4
2003-11-01,564.66
2003-12-01,779.94
2004-01-01,790.4
2004-02-01,533.3
2004-03-01,887.07
2004-04-01,909.38
2004-05-01,774.85
2004-06-01,862.7
2004-07-01,862.3
2004-08-01,823.2
2004-09-01,897.5
2004-10-01,861.1
2004-11-01,673.0
2004-12-01,921.6
2005-01-01,547.2
2005-02-01,710.3
2005-03-01,925.9
2005-04-01,878.6
2005-05-01,925.5
2005-06-01,930.0
2005-07-01,921.3
2005-08-01,950.9
2005-09-01,947.2
2005-10-01,856.7
2005-11-01,742.3
2005-12-01,952.8
2006-01-01,491.49
2006-02-01,830.81
2006-03-01,1046.77
2006-04-01,961.37
2006-05-01,1080.17
2006-06-01,1030.08
2006-07-01,1027.85
2006-08-01,1048.61
2006-09-01,1018.48
2006-10-01,804.74
2006-11-01,1066.37
2006-12-01,950.62
2007-01-01,812.21
2007-02-01,1005.01
2007-03-01,1189.2
2007-04-01,998.01
2007-05-01,1284.31
2007-06-01,1158.85
2007-07-01,1133.24
2007-08-01,1168.45
2007-09-01,1082.8
2007-10-01,950.06
2007-11-01,1185.7
2007-12-01,819.23
2008-01-01,1110.16
2008-02-01,1186.46
2008-03-01,1225.38
2008-04-01,1327.5
2008-05-01,1358.52
2008-06-01,1253.58
2008-07-01,1306.134
2008-08-01,1207.974
2008-09-01,1032.762
2008-10-01,1059.32
2008-11-01,1212.31
2008-12-01,767.44
2009-01-01,1115.14
2009-02-01,1097.78
2009-03-01,1223.96
2009-04-01,1332.0
2009-05-01,1390.66
2009-06-01,1369.22
2009-07-01,1321.08
2009-08-01,1231.8
2009-09-01,908.28
2009-10-01,1497.08
2009-11-01,1109.06
2009-12-01,923.94
2010-01-01,1078.49
2010-02-01,1003.76
2010-03-01,1282.6
2010-04-01,1482.52
2010-05-01,1398.01
2010-06-01,1367.69
2010-07-01,1326.93
2010-08-01,1121.37
2010-09-01,991.96
2010-10-01,1445.83
2010-11-01,857.84
2010-12-01,1214.12
2011-01-01,1262.58
2011-02-01,1059.0
2011-03-01,1428.58
2011-04-01,1463.44
2011-05-01,1461.95
2011-06-01,1483.25
2011-07-01,1441.2
2011-08-01,1060.0
2011-09-01,1355.68
2011-10-01,1664.36
2011-11-01,912.64
2011-12-01,1536.94
2012-01-01,1578.07
2012-02-01,1345.28
2012-03-01,1642.38
2012-04-01,1413.67
2012-05-01,1514.14
2012-06-01,1404.82
2012-07-01,1238.16
2012-08-01,814.84
2012-09-01,1356.77
2012-10-01,1240.36
2012-11-01,1234.7
2012-12-01,1087.87
2013-01-01,1177.87
2013-02-01,1207.25
2013-03-01,1232.11
