Date,VA Éducation-santé (Mdh)
1998-01-01,9545.82761718191
1998-04-01,9797.332135511086
1998-07-01,9921.914954411914
1998-10-01,10117.95355335717
1999-01-01,10288.46980718727
1999-04-01,10434.31333165486
1999-07-01,10658.01149055208
1999-10-01,10756.85063743763
2000-01-01,10736.9538266918
2000-04-01,10871.86867329079
2000-07-01,11166.16887167825
2000-10-01,11411.17627982123
2001-01-01,11967.67485923666
2001-04-01,12165.16511448931
2001-07-01,12382.06512787059
2001-10-01,12397.65049645108
2002-01-01,12024.01728340661
2002-04-01,12137.43434972129
2002-07-01,12217.34348005712
2002-10-01,12260.321492511
2003-01-01,12651.63199409488
2003-04-01,12828.75914183579
2003-07-01,12856.38383667599
2003-10-01,12954.39452124769
2004-01-01,12830.92865852679
2004-04-01,12929.71381872429
2004-07-01,13063.76433769854
2004-10-01,13231.9725401244
2005-01-01,13622.99113539257
2005-04-01,13779.23939883587
2005-07-01,14003.92413710833
2005-10-01,14077.1037771322
2006-01-01,14061.90382411156
2006-04-01,14241.99855676426
2006-07-01,14457.56676122581
2006-10-01,14708.60256586305
2007-01-01,15057.48531751319
2007-04-01,15207.08546406027
2007-07-01,15213.32879664689
2007-10-01,15294.00286025184
2008-01-01,15578.47848569829
2008-04-01,15625.63513382039
2008-07-01,15715.69230284569
2008-10-01,15768.72561903723
2009-01-01,15752.30503323824
2009-04-01,15814.53635806044
2009-07-01,15967.33077330891
2009-10-01,16154.0216252035
2010-01-01,16407.70111839412
2010-04-01,16567.64850616501
2010-07-01,16717.63464110803
2010-10-01,16826.8719699241
2011-01-01,16766.70790563078
2011-04-01,16873.53404262454
2011-07-01,16943.37912154548
2011-10-01,16967.58268227835
2012-01-01,17574.77219716955
2012-04-01,17872.06824369903
2012-07-01,18269.7308546024
2012-10-01,18601.71669307699
2013-01-01,18729.8958718568
2013-04-01,18928.00489002264
2013-07-01,19073.08425549377
2013-10-01,19197.13775126088
2014-01-01,19208.3758947656
2014-04-01,19235.1608421093
2014-07-01,19264.8924736718
2014-10-01,19297.5707894531
2015-01-01,19333.1957894531
2015-04-01,19371.7674736718
2015-07-01,19413.2858421093
2015-10-01,19457.7508947656
2016-01-01,19507.8832703125
2016-04-01,19557.1534359375
2016-07-01,19608.2820303125
2016-10-01,19661.2690534375
2017-01-01,19626.8338982812
2017-04-01,19719.2500217187
2017-07-01,19849.2368167187
2017-10-01,20016.7942832812
2018-01-01,20378.5534885937
2018-04-01,20558.5998714062
2018-07-01,20713.5644989062
2018-10-01,20843.4473710937
2019-01-01,20923.246466875
2019-04-01,21012.966636875
2019-07-01,21087.60586
2019-10-01,21147.1641362499
2020-01-01,21062.5452332031
2020-04-01,21143.5801086718
2020-07-01,21261.1725302343
2020-10-01,21415.3224978906
2021-01-01,21592.6699823437
2021-04-01,21825.2790539062
2021-07-01,22099.7896832812
2021-10-01,22416.2018704687
2022-01-01,22933.8553621401
2022-04-01,23270.33476587565
2022-07-01,23584.97982836214
2022-10-01,23877.79054959956
2023-01-01,24010.61465825471
2023-04-01,24315.01760590968
2023-07-01,24652.84712122071
2023-10-01,25024.10320418779
2024-01-01,25450.79931361688
2024-04-01,25889.28779889251
2024-07-01,26361.23178888687
2024-10-01,26866.63128360006
2025-01-01,27193.76893805473
2025-04-01,27532.05006325468
2025-07-01,28033.94048451737
2025-10-01,28787.6545671625
2026-01-01,28906.97638115217
