Date,Masse monétaire (M3),Crédit bancaire,Secteur privé,Sociétés non financières privées,"Comptes débiteurs et crédits de trésorerie (déflaté, réel)","Primes versées (MDH) (déflaté, réel)"
2001-12-01,,,,,,
2002-01-01,,,,,,
2002-02-01,,,,,,
2002-03-01,,,,,,
2002-04-01,,,,,,
2002-05-01,,,,,,
2002-06-01,,,,,,
2002-07-01,,,,,,
2002-08-01,,,,,,
2002-09-01,,,,,,
2002-10-01,,,,,,
2002-11-01,,,,,,
2002-12-01,,,,,,
2003-01-01,,,,,,
2003-02-01,,,,,,
2003-03-01,,,,,,
2003-04-01,,,,,,
2003-05-01,,,,,,
2003-06-01,,,,,,
2003-07-01,,,,,,
2003-08-01,,,,,,
2003-09-01,,,,,,
2003-10-01,,,,,,
2003-11-01,,,,,,
2003-12-01,,,,,,
2004-01-01,,,,,,
2004-02-01,,,,,,
2004-03-01,,,,,,
2004-04-01,,,,,,
2004-05-01,,,,,,
2004-06-01,,,,,,
2004-07-01,,,,,,
2004-08-01,,,,,,
2004-09-01,,,,,,
2004-10-01,,,,,,
2004-11-01,,,,,,
2004-12-01,,,,,,
2005-01-01,,,,,,
2005-02-01,,,,,,
2005-03-01,,,,,,
2005-04-01,,,,,,
2005-05-01,,,,,,
2005-06-01,,,,,,
2005-07-01,,,,,,
2005-08-01,,,,,,
2005-09-01,,,,,,
2005-10-01,,,,,,
2005-11-01,,,,,,
2005-12-01,,,,,,
2006-01-01,,,,,,
2006-02-01,,,,,,
2006-03-01,,,,,,
2006-04-01,,,,,,
2006-05-01,,,,,,
2006-06-01,,,,,,
2006-07-01,,,,,,
2006-08-01,,,,,,
2006-09-01,,,,,,
2006-10-01,,,,,,
2006-11-01,,,,,,
2006-12-01,,,,,,
2007-01-01,,,,,,
2007-02-01,,,,,,
2007-03-01,,,,,,
2007-04-01,,,,,,
2007-05-01,,,,,,
2007-06-01,,,,,,
2007-07-01,,,,,,
2007-08-01,,,,,,
2007-09-01,,,,,,
2007-10-01,,,,,,
2007-11-01,,,,,,
2007-12-01,,,,,,
2008-01-01,,,,,,
2008-02-01,,,,,,
2008-03-01,,,,,,
2008-04-01,,,,,,
2008-05-01,,,,,,
2008-06-01,,,,,,
2008-07-01,,,,,,
2008-08-01,,,,,,
2008-09-01,,,,,,
2008-10-01,,,,,,
2008-11-01,,,,,,
2008-12-01,,,,,,
2009-01-01,,,,,,
2009-02-01,,,,,,
2009-03-01,,,,,,
2009-04-01,,,,,,
2009-05-01,,,,,,
2009-06-01,,,,,,
2009-07-01,,,,,,
2009-08-01,,,,,,
2009-09-01,,,,,,
2009-10-01,,,,,,
2009-11-01,,,,,,
2009-12-01,,,,,,
2010-01-01,937706.5384759073,634826.8530520968,503318.5287241818,291725.7521165824,146476.3534,
2010-02-01,934384.0314307433,639872.1666796305,511027.0253188373,296945.8686388189,147552.1411,
2010-03-01,935227.7586854566,646414.9125642455,516366.81340542145,298663.3314168862,146243.1228,
2010-04-01,932644.2893392249,648151.4286202312,518982.0309345561,302777.23721223505,148509.093,
2010-05-01,941372.2806714512,658198.055012742,525245.0053279597,303837.5488841152,149653.6308,
2010-06-01,947818.1469447067,673693.3297816794,538761.277527292,310802.0936545846,158581.8693,
2010-07-01,948576.6033364151,668993.6753264652,541440.6148000044,310612.52989497205,153473.1489,
2010-08-01,947173.9897131793,669571.7537002816,540458.3173057841,310964.6821075122,152488.1725,
2010-09-01,948074.1018117579,673768.3053576498,545553.6542687197,322844.69787696935,153918.2639,
2010-10-01,947042.1566558356,674133.2468448231,547787.9987256854,324279.77174568427,153093.809,
2010-11-01,953777.0602258133,676401.7529553417,552570.9662018683,324246.9837357044,154816.0327,
2010-12-01,966386.3968880912,673414.5588323704,554303.617222924,325108.5504702967,154982.9624,
2011-01-01,962914.6119223563,667519.8815780546,553004.0023263113,320108.19007094216,151058.3582,
2011-02-01,964905.9450567956,677637.1485357865,558269.6269414733,323870.6028124593,156625.6467,
2011-03-01,969379.6471521124,682944.8757782616,565340.4626150931,338478.5607114647,158571.017,
2011-04-01,962440.7246747507,686437.7991191952,569398.1233781716,342460.5131244061,162270.6075,
2011-05-01,972108.7448480173,691364.5872157468,571969.8127207438,344155.73875350045,162254.6417,
2011-06-01,979158.9764458198,712286.4649742522,584735.9241567834,352038.00798350596,178079.501,
2011-07-01,982642.3539577788,710238.4884503821,586168.1484834336,350890.7818844222,176257.2497,
2011-08-01,984852.5107623397,713989.7461300889,587792.7214478124,352396.5090471384,176702.1179,
2011-09-01,983067.113695989,719062.3760110893,592723.3149258562,351726.4695478987,178311.2782,
2011-10-01,983774.6123559992,713921.9758430449,590796.501744215,350679.603838866,172083.4291,
2011-11-01,994674.2158342366,715653.3302799372,590765.4704469268,350901.9585491967,172858.7096,
2011-12-01,1017557.6162673259,736764.727186181,603944.0950165547,360075.9261642056,184716.857,
2012-01-01,1007109.2746488653,730298.158066084,593315.7483239302,350288.9134591349,179857.3856,
2012-02-01,1007396.219696499,723449.9984093239,589473.5512943382,344696.199616279,176150.1231,
2012-03-01,1009770.4880056747,733351.4945988946,594208.7174675589,349608.64561949973,181929.8541,
2012-04-01,1000350.9962812099,724976.667487454,591821.3293042451,345085.1235185477,175349.6457,
2012-05-01,997137.3573498402,730603.7089155078,597162.7437098827,345687.16099926026,174852.6579,
2012-06-01,1020557.5791240839,756040.6148759954,614278.0294620333,360871.09183897043,192479.2491,
2012-07-01,1015831.8504470228,754232.3855509143,623965.3692504902,366802.1041918475,199089.8006,
2012-08-01,1010551.3148396927,749466.4001543218,615866.2826304447,355735.7445322432,191457.194,
2012-09-01,1012950.4659503847,747111.7976046106,615048.8740552719,354567.0108928501,192423.582,
2012-10-01,1004135.3067774562,742334.1481829167,608928.3245621878,347779.1695119912,187225.9746,
2012-11-01,1017428.6466969873,745245.7495920651,612185.5733148592,350946.61015276465,188083.7091,
2012-12-01,1047188.6377129182,759078.2043645269,622832.8278515097,362086.22761606186,196010.1373,
