Date,VA Services aux entreprises (Mdh)
1998-01-01,4983.793265791043
1998-04-01,4823.42115209373
1998-07-01,4764.686142300127
1998-10-01,4792.776799157937
1999-01-01,4897.084650298246
1999-04-01,5042.894918158367
1999-07-01,5103.71109173874
1999-10-01,5164.459293817114
2000-01-01,5185.518684192515
2000-04-01,5231.537063651471
2000-07-01,5256.937708322336
2000-10-01,5318.64824093778
2001-01-01,5373.46097130076
2001-04-01,5426.232374813726
2001-07-01,5474.392684815849
2001-10-01,5566.102211309254
2002-01-01,5628.130611831463
2002-04-01,5732.395079401871
2002-07-01,5826.98570083274
2002-10-01,5931.238805097943
2003-01-01,6037.392550384369
2003-04-01,6145.641294151756
2003-07-01,6244.386170493912
2003-10-01,6332.417948051596
2004-01-01,6479.4453333429
2004-04-01,6551.687892806993
2004-07-01,6595.440428820459
2004-10-01,6681.928000009866
2005-01-01,6852.621874026178
2005-04-01,6946.207743900804
2005-07-01,7055.568860931954
2005-10-01,7147.417364131246
2006-01-01,7147.656174233846
2006-04-01,7289.642158400934
2006-07-01,7369.662614195682
2006-10-01,7508.500758485611
2007-01-01,7786.808419897126
2007-04-01,7909.651274964433
2007-07-01,8034.287388045317
2007-10-01,8060.518460898759
2008-01-01,8097.813770716944
2008-04-01,7968.415325086912
2008-07-01,8015.015506134221
2008-10-01,7986.260104846804
2009-01-01,8290.813327285232
2009-04-01,8385.793522658896
2009-07-01,8457.267288467367
2009-10-01,8528.70965526489
2010-01-01,8446.358198091304
2010-04-01,8504.545690753926
2010-07-01,8655.198132470436
2010-10-01,8751.378875777911
2011-01-01,8867.198538998051
2011-04-01,9057.104156009606
2011-07-01,9077.638626093489
2011-10-01,9169.901904167487
2012-01-01,9152.920213693273
2012-04-01,9335.710791475201
2012-07-01,9479.279533755922
2012-10-01,9648.084016328314
2013-01-01,9469.419866941462
2013-04-01,9571.258880600453
2013-07-01,9651.851166367913
2013-10-01,9722.862660855726
2014-01-01,9295.884824085
2014-04-01,9767.321900988
2014-07-01,10107.972610296
2014-10-01,10167.82074127
2015-01-01,10451.580260596
2015-04-01,10762.268251938
2015-07-01,10888.177317482
2015-10-01,11092.974042983
2016-01-01,11458.16714315
2016-04-01,11328.56407885
2016-07-01,11537.317415827
2016-10-01,11656.416926308
2017-01-01,11731.107644367
2017-04-01,12057.259800652
2017-07-01,12150.222294655
2017-10-01,12224.806389866
2018-01-01,12405.776287583
2018-04-01,12869.661760372
2018-07-01,12916.5934303
2018-10-01,12928.238456589
2019-01-01,13376.985863152
2019-04-01,14257.24979383
2019-07-01,13991.086706061
2019-10-01,13761.625151957
2020-01-01,13110.474019622
2020-04-01,10074.780533596
2020-07-01,12066.68088669
2020-10-01,12733.782102791
2021-01-01,13039.012767296
2021-04-01,12712.872749014
2021-07-01,13265.924062849
2021-10-01,13597.95385549
2022-01-01,14248.9549006251
2022-04-01,14404.8609656641
2022-07-01,14725.83072696411
2022-10-01,14907.3932156821
2023-01-01,15181.09924951918
2023-04-01,15423.07904084291
2023-07-01,15731.52534749078
2023-10-01,15919.90451513953
2024-01-01,16053.49573136985
2024-04-01,16268.90172615158
2024-07-01,16686.54949881583
2024-10-01,16956.18391386763
2025-01-01,16697.81170515199
2025-04-01,16970.72318682071
2025-07-01,17172.52078311445
2025-10-01,17536.24538041363
2026-01-01,17031.76793925503
