Date,Trafic globale gérés par l'ANP,Trafic aérien (Jan 18)
2009-06-01,28775607.0,
2009-07-01,34086658.0,
2009-08-01,39264265.0,
2009-10-01,49407198.0,
2009-12-01,59736238.0,
2010-01-01,6209007.0,
2010-02-01,10566360.0,
2010-03-01,17183378.0,
2010-04-01,22869520.0,
2010-05-01,29019743.0,
2010-06-01,34869611.0,
2010-07-01,40660452.0,
2010-08-01,45750959.0,
2010-09-01,51462449.0,
2010-10-01,57804527.0,
2010-11-01,63171993.0,
2010-12-01,69236242.0,
2011-01-01,5395502.0,
2011-02-01,10404413.0,
2011-03-01,16965907.0,
2011-04-01,22936838.0,
2011-05-01,29019412.0,
2011-06-01,34413848.0,
2011-07-01,40184639.0,
2011-08-01,45857241.0,
2011-09-01,51240196.0,
2011-10-01,56675500.0,
2011-11-01,62036720.0,
2011-12-01,69040585.0,
2012-01-01,5468361.0,
2012-02-01,11250285.0,
2012-03-01,17428028.0,
2012-04-01,23021636.0,
2012-05-01,29422001.0,
2012-06-01,35583721.0,
2012-07-01,41796322.0,
2012-08-01,47475575.0,
2012-09-01,52736588.0,
2012-10-01,58654543.0,
2012-11-01,64783704.0,
2012-12-01,71166540.0,
2013-01-01,4599000.0,
2013-02-01,9532941.0,
2013-03-01,15378495.0,
2013-04-01,21928236.0,
2013-05-01,27949158.0,
2013-06-01,33342428.0,
2013-07-01,39034257.0,
2013-08-01,45422872.0,
2013-09-01,51124520.0,
2013-10-01,57140847.0,
2013-11-01,62897342.0,
2013-12-01,67861034.0,
2014-01-01,5310824.0,
2014-02-01,11030874.0,
2014-03-01,18790301.0,
2014-04-01,26036712.0,
2014-05-01,32687583.0,
2014-06-01,39216258.0,
2014-07-01,44929942.0,
2014-08-01,50928658.0,
2014-09-01,57274097.0,
2014-10-01,63368158.0,
2014-11-01,68895997.0,
2014-12-01,75835304.0,
2015-01-01,5144568.0,
2015-02-01,10348288.0,
2015-03-01,17046464.0,
2015-04-01,23645383.0,
2015-05-01,34521207.0,
2015-06-01,36397570.0,
2015-07-01,42260559.0,
2015-08-01,48147872.0,
2015-09-01,54019001.0,
2015-10-01,59858657.0,
2015-11-01,65804752.0,
2015-12-01,82302617.0,
2016-01-01,6143511.0,
2016-02-01,11091932.0,
2016-03-01,18391260.0,
2016-04-01,25356582.0,
2016-05-01,32230746.0,
2016-06-01,38957092.0,
2016-07-01,45219473.0,
2016-08-01,52141885.0,
2016-09-01,58041032.0,
2016-10-01,64178911.0,
2016-11-01,70605746.0,
2016-12-01,77403721.0,
2017-01-01,6196819.0,
2017-02-01,16314247.0,
2017-03-01,19638673.0,
2017-04-01,27578914.0,
2017-05-01,35016685.0,
2017-06-01,41692734.0,
2017-07-01,48914754.0,
2017-08-01,55681727.0,
2017-09-01,62202014.0,
2017-10-01,68828706.0,
2017-11-01,76211693.0,
2017-12-01,83669015.0,
2018-01-01,6580783.0,1692287.0
2018-02-01,13675829.0,3254092.0
2018-03-01,20627854.0,5117035.0
2018-04-01,27905206.0,7129896.0
2018-05-01,36397739.0,9561486.0
2018-06-01,43666546.0,10466062.0
2018-07-01,50447739.0,12562287.0
2018-08-01,57628781.0,14855087.0
2018-09-01,64238545.0,16849052.0
2018-10-01,70769965.0,18810195.0
2018-11-01,76700574.0,20628920.0
2018-12-01,85313180.0,22529630.0
2019-01-01,7608913.0,1866604.0
2019-02-01,13482479.0,3553565.0
2019-03-01,21798028.0,5619906.0
2019-04-01,29268060.0,7937633.0
2019-05-01,37191518.0,9568771.0
2019-06-01,44075247.0,11669833.0
2019-07-01,51459268.0,14074699.0
2019-08-01,58595463.0,16695591.0
2019-09-01,65961546.0,18877607.0
2019-10-01,74288326.0,21039600.0
2019-11-01,80495285.0,23036821.0
2019-12-01,87962485.02,25075677.0
2020-01-01,8092565.0,2020647.0
2020-02-01,14910000.0,3972792.0
2020-03-01,23393000.0,4914582.0
2020-04-01,31294799.0,
2020-05-01,39506886.0,4932703.0
2020-06-01,47340173.0,4966136.0
2020-07-01,54724241.0,5206017.0
2020-08-01,62497020.0,5490460.0
2020-09-01,70472648.0,5753073.0
2020-10-01,77335332.0,6157426.0
2020-11-01,84695318.0,6532157.0
2020-12-01,92511450.0,7155091.0
2021-01-01,7473687.0,645387.0
2021-02-01,13677232.0,1065771.0
2021-03-01,22938149.0,1466634.0
2021-04-01,30393274.0,
2021-05-01,38512864.0,1808420.0
2021-06-01,46326729.0,2473988.0
2021-07-01,53413822.0,
2021-08-01,61019499.0,5934695.9725
2021-09-01,68636704.0,
2021-10-01,75458508.0,8550750.0
2021-11-01,83233143.0,9732216.0
2021-12-01,91041172.0,9942343.0
2022-01-01,7600636.0,126703.0
2022-02-01,13744129.0,925699.0
2022-03-01,21691710.0,2382748.0
2022-04-01,29562509.0,3788440.0
2022-05-01,37463854.0,5565496.0
2022-06-01,45182741.0,7439275.0
2022-07-01,52818104.0,9821737.0
2022-08-01,60286914.0,12299218.0
2022-09-01,67145229.0,14356220.0
2022-10-01,74037576.0,16553642.0
2022-11-01,79998407.0,18474374.0
2022-12-01,87201779.0,20599410.0
2023-01-01,6618790.0,1988075.0
2023-02-01,284396.0,3892616.0
2023-03-01,19632024.0,6035569.0
2023-04-01,,8067299.0
2023-05-01,,10421530.0
2023-06-01,,12667160.0
2023-07-01,,15308729.0
2023-08-01,,18053347.0
2023-09-01,,20285552.0
2023-10-01,,22628796.0
2023-11-01,,24749062.0
2023-12-01,,27091249.0
2024-01-01,,2291878.0
2024-02-01,,4558498.0
2024-03-01,,6873487.0
2024-04-01,,9531555.0
2024-05-01,,12359125.0
2024-06-01,,15104579.0
2024-07-01,,18163899.0
2024-08-01,,21418349.0
2024-09-01,,24285348.0
2024-10-01,,27231934.0
2024-11-01,,29880671.0
2024-12-01,,32710637.0
2025-01-01,,2731787.0
2025-02-01,,5476589.0
2025-03-01,,8019064.0
2025-04-01,,11246245.0
2025-08-01,,23920571.0
2025-09-01,,26985011.0
2025-10-01,,30234044.0
2025-11-01,,33196881.0
2025-12-01,,36359003.0
2026-01-01,,3133378.0
2026-02-01,,5909802.0
2026-03-01,,8913041.0
2026-04-01,,12336962.0
