,Moyenne des precipitations,Température_moyenne
2020-01-01,10.1213,11.1483
2020-02-01,1.1137,16.5736
2020-03-01,30.7898,15.6718
2020-04-01,31.6422,17.4206
2020-05-01,18.5528,21.9609
2020-06-01,7.756,24.3079
2020-07-01,5.7471,29.0114
2020-08-01,6.7291,28.1648
2020-09-01,10.6718,26.1286
2020-10-01,15.9831,20.6085
2020-11-01,20.6423,17.1329
2020-12-01,17.856,12.5098
2021-01-01,35.9582,11.9602
2021-02-01,23.1932,13.7694
2021-03-01,28.6774,14.7945
2021-04-01,24.4422,17.965
2021-05-01,13.475,21.4761
2021-06-01,8.74,23.9237
2021-07-01,2.7534,28.1591
2021-08-01,3.7628,27.2318
2021-09-01,9.6228,25.2711
2021-10-01,2.5898,21.5816
2021-11-01,23.0564,14.5131
2021-12-01,15.9774,13.2523
2022-01-01,12.2763,12.3503
2022-02-01,11.9987,14.9242
2022-03-01,39.6281,13.7919
2022-04-01,19.1725,16.7384
2022-05-01,7.7937,22.7372
2022-06-01,9.646,24.7142
2022-07-01,5.0106,28.9452
2022-08-01,6.3018,27.9299
2022-09-01,15.992,24.2371
2022-10-01,12.5644,22.5244
2022-11-01,3.8829,18.2989
2022-12-01,34.7695,14.6968
2023-01-01,8.6834,11.4714
2023-02-01,48.5971,11.4395
2023-03-01,6.0594,18.6642
2023-04-01,10.2723,20.4805
2023-05-01,30.2466,20.3543
2023-06-01,14.0134,24.5946
2023-07-01,3.0415,28.4398
2023-08-01,5.5202,29.2587
2023-09-01,10.6621,24.3082
2023-10-01,17.1395,22.8962
2023-11-01,3.3443,17.7224
2023-12-01,4.4927,14.0788
2024-01-01,8.2135,15.0828
2024-02-01,22.0608,15.559
2024-03-01,40.1071,15.9847
2024-04-01,16.4246,19.5826
2024-05-01,5.6635,21.3512
2024-06-01,10.7423,23.331
2024-07-01,2.5287,28.1831
2024-08-01,4.8981,28.3931
2024-09-01,40.9103,23.7895
2024-10-01,31.4143,20.6474
2024-11-01,8.5496,18.5521
2024-12-01,6.6666,13.6123
2025-01-01,12.0292,12.2217
2025-02-01,16.0015,13.3744
2025-03-01,50.832,14.4714
2025-04-01,29.0295,18.1359
2025-05-01,13.0937,20.9052
2025-06-01,8.011,26.1625
2025-07-01,4.3189,27.8218
2025-08-01,6.8034,28.4408
2025-09-01,12.3639,25.0151
2025-10-01,11.939,21.9321
2025-11-01,20.696,17.0703
2025-12-01,63.0148,11.0882
2026-01-01,59.8161,10.862
2026-02-01,30.8476,14.9204
2026-03-01,48.2049,13.9412
2026-04-01,23.3174,18.1461
