,VA Commerce (Mdh)
1998Q1,16396.5429
1998Q2,16867.9496
1998Q3,17127.6912
1998Q4,17451.7601
1999Q1,17170.3803
1999Q2,17592.3112
1999Q3,17564.9458
1999Q4,17592.2481
2000Q1,17614.3147
2000Q2,17785.2928
2000Q3,17821.9018
2000Q4,17856.2366
2001Q1,18276.4591
2001Q2,18378.0317
2001Q3,18317.0018
2001Q4,18560.5694
2002Q1,18739.9219
2002Q2,19022.5164
2002Q3,19102.2678
2002Q4,19209.5525
2003Q1,19573.256
2003Q2,19273.8984
2003Q3,19452.1989
2003Q4,19650.3571
2004Q1,20143.5184
2004Q2,20427.5126
2004Q3,20345.4479
2004Q4,20917.3313
2005Q1,20954.2009
2005Q2,21211.8247
2005Q3,21373.2499
2005Q4,21581.1603
2006Q1,21662.9132
2006Q2,22127.2611
2006Q3,22112.3481
2006Q4,22155.0765
2007Q1,22393.409
2007Q2,22436.2949
2007Q3,23203.513
2007Q4,23828.7271
2008Q1,25486.7541
2008Q2,25571.0689
2008Q3,26307.1817
2008Q4,24785.1981
2009Q1,24652.7891
2009Q2,24827.42
2009Q3,25640.7636
2009Q4,25735.1148
2010Q1,23692.9775
2010Q2,24032.563
2010Q3,24741.7879
2010Q4,25058.8909
2011Q1,25530.9035
2011Q2,25896.5002
2011Q3,26233.9787
2011Q4,27034.4277
2012Q1,27155.6534
2012Q2,27485.7637
2012Q3,26983.2419
2012Q4,27378.3585
2013Q1,26833.6164
2013Q2,26677.6234
2013Q3,26671.5843
2013Q4,26612.802
2014Q1,27422.2145
2014Q2,27684.4546
2014Q3,27366.3373
2014Q4,26044.9931
2015Q1,26878.6817
2015Q2,27310.5466
2015Q3,27258.3094
2015Q4,27459.4623
2016Q1,27028.8569
2016Q2,27392.2196
2016Q3,28134.9089
2016Q4,29020.2503
2017Q1,29287.8422
2017Q2,29185.6553
2017Q3,28862.271
2017Q4,29329.211
2018Q1,28661.0219
2018Q2,28911.4655
2018Q3,29191.1322
2018Q4,29679.257
2019Q1,29096.4529
2019Q2,30101.3407
2019Q3,29940.4404
2019Q4,29730.0263
2020Q1,29229.9831
2020Q2,25141.6176
2020Q3,28012.4532
2020Q4,28579.6925
2021Q1,29371.0019
2021Q2,29662.532
2021Q3,30259.3474
2021Q4,30741.3411
2022Q1,29689.826
2022Q2,29906.5271
2022Q3,29695.5421
2022Q4,30024.7483
2023Q1,30511.2565
2023Q2,30709.2394
2023Q3,30782.2503
2023Q4,31043.2581
2024Q1,31621.8444
2024Q2,31631.0115
2024Q3,32123.3162
2024Q4,32307.4157
2025Q1,33121.236
2025Q2,33162.6028
2025Q3,33291.6331
2025Q4,33449.984
2026Q1,34479.2067
