,Evolution des prix des produits finis au cours des trois prochains mois,Evolution des prix des produits finis par rapport au mois précédent,Evolution des prix des produits finis au cours des trois prochains mois (2),Evolution des prix des produits finis par rapport au mois précédent (2),Evolution des prix des produits finis au cours des trois prochains mois (3),Evolution des prix des produits finis par rapport au mois précédent (3),Evolution des prix des produits finis au cours des trois prochains mois (4),Evolution des prix des produits finis par rapport au mois précédent (4),Evolution des prix des produits finis au cours des trois prochains mois (5),Evolution des prix des produits finis par rapport au mois précédent (5),Evolution des prix des produits finis au cours des trois prochains mois (6),Evolution des prix des produits finis par rapport au mois précédent (6),Exportation ANP,Importation ANP,PRODUITS FINIS DE CONSOMMATION 1000 DH,TOTAL EXPORTATIONS (1000),TOTAL IMPORTATIONS  (1000)
2009-06-01,,,,,,,,,,,,,8902648.0,19872959.0,,,
2009-07-01,,,,,,,,,,,,,10952754.0,23133904.0,,,
2009-08-01,,,,,,,,,,,,,12896512.0,26367753.0,,,
2009-09-01,,,,,,,,,,,,,,,,,
2009-10-01,,,,,,,,,,,,,16549440.0,32857758.0,,,
2009-11-01,,,,,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,20341313.0,39394925.0,,,
2010-01-01,18.0397,2.3992,38.1263,27.062,60.5215,61.5047,34.8736,-27.8729,3.2882,3.5145,9.9197,44.1995,2327883.0,3881124.0,,,
2010-02-01,4.4093,-15.3358,23.0807,22.1705,31.8474,62.4787,43.332,-21.2481,-2.0945,-3.1789,15.0068,27.2398,3958398.0,6607962.0,,,
2010-03-01,7.1766,11.5795,21.8063,30.9158,31.5809,58.8747,22.9997,7.2001,-1.1257,-8.7637,34.4214,11.64,6320396.0,10862982.0,,,
2010-04-01,7.1146,-3.3223,20.3447,22.3423,29.8283,33.0062,28.8358,38.6081,-4.0105,1.675,13.8116,36.8554,8366088.0,14503432.0,,,
2010-05-01,24.2012,8.5059,17.5534,13.7689,33.0756,35.3782,-22.6748,-25.863,-6.3014,-8.2438,6.3811,5.9509,10712759.0,18306984.0,,,
2010-06-01,22.2293,22.2688,4.8323,27.9533,6.6365,57.5501,-22.2006,-19.9718,-1.3435,-3.6754,-4.9544,-1.1531,13008162.0,21861449.0,,,
2010-07-01,21.2738,9.7974,-0.743,8.3087,-33.3409,27.864,30.3957,-32.8206,-0.0364,-7.7324,-3.1725,20.4233,15473980.0,25186472.0,,,
2010-08-01,38.7216,27.5247,18.3355,-2.1013,1.983,-10.6699,31.8966,-28.7053,0.6357,3.9784,14.0788,-2.9152,17349686.0,28401273.0,,,
2010-09-01,33.914,28.4377,25.9459,34.7851,32.7664,57.6605,13.0485,7.3263,0.0834,-1.6282,7.308,0.5241,19535133.0,31927316.0,,,
2010-10-01,36.0269,23.5234,27.1856,34.5902,33.2936,54.6077,13.3819,8.9828,6.6416,-1.5328,2.5226,34.2757,21941424.0,35863103.0,,,
2010-11-01,23.3593,23.0568,32.149,15.7564,35.3972,22.6063,33.1225,-9.5965,21.94,7.8839,51.7535,9.2262,23986709.0,39185284.0,,,
2010-12-01,25.9217,12.1578,20.8345,28.1763,13.5246,58.7082,33.8002,-26.2474,3.4987,15.6157,35.2965,28.7445,26123005.0,43113237.0,,,
2011-01-01,23.58,6.8412,32.421,41.2437,38.4181,65.2607,40.8181,35.54,13.0399,11.1798,25.7098,55.7937,2040949.0,3354553.0,,,
2011-02-01,19.7464,16.5793,28.1867,38.8797,36.4401,61.9649,16.066,33.411,11.0806,6.8676,51.2977,13.3779,4063175.0,6341238.0,,,
2011-03-01,15.9423,10.6367,26.8141,39.3006,37.5734,61.9031,9.2987,42.0579,14.5032,10.393,49.3618,18.9229,6226185.0,10739722.0,,,
2011-04-01,14.0132,0.5232,12.7211,3.8579,4.3558,1.9042,38.1002,-1.4832,16.817,5.5024,-0.7957,40.5655,8382299.0,14554539.0,,,
2011-05-01,9.0603,13.5402,21.555,22.995,28.5755,33.0023,35.91,25.587,12.028,11.6107,-1.4342,-1.8417,10493882.0,18525530.0,,,
2011-06-01,15.0685,14.816,-1.7645,-6.591,-32.4572,-30.6559,46.3111,20.6305,11.118,3.8932,21.1597,1.9444,12572709.0,21841139.0,,,
2011-07-01,9.54,21.769,6.4133,23.4202,-0.4204,39.1121,23.5087,-8.6775,9.5151,5.7635,-7.5351,29.6845,14714796.0,25469843.0,,,
2011-08-01,7.3478,13.8094,4.2408,17.2782,-5.024,34.5064,35.0222,0.1651,2.3543,-0.0205,-26.966,-7.173,16688978.0,29168263.0,,,
2011-09-01,2.9186,10.3171,-10.7973,0.2734,-26.2248,-5.2378,9.976,2.8367,11.0395,4.7356,-30.6493,-12.1401,18822482.0,32417714.0,,,
2011-10-01,-2.7729,12.8401,4.5691,2.8684,-0.4649,6.2776,35.648,-9.1178,10.0696,4.0997,-13.4777,-34.4354,20842484.0,35833016.0,,,
