,"Crédit bancaire Commerce, réparations automobiles (MDH)",Comptes débiteurs et crédits de trésorerie — Commerce (MDH),Crédits à l'équipement — Commerce (MDH)
1998-01-01,,,
1998-04-01,,,
1998-07-01,,,
1998-10-01,,,
1999-01-01,,,
1999-04-01,,,
1999-07-01,,,
1999-10-01,,,
2000-01-01,,,
2000-04-01,,,
2000-07-01,,,
2000-10-01,,,
2001-01-01,,,
2001-04-01,,,
2001-07-01,,,
2001-10-01,,,
2002-01-01,,,
2002-04-01,,,
2002-07-01,,,
2002-10-01,,,
2003-01-01,,,
2003-04-01,,,
2003-07-01,,,
2003-10-01,,,
2004-01-01,,,
2004-04-01,,,
2004-07-01,,,
2004-10-01,,,
2005-01-01,,,
2005-04-01,,,
2005-07-01,,,
2005-10-01,,,
2006-01-01,,,
2006-04-01,,,
2006-07-01,,,
2006-10-01,22124.161,13632.9847,3603.198
2007-01-01,22435.1388,13738.2907,3752.9163
2007-04-01,23134.1769,13949.9159,4472.6744
2007-07-01,25201.0759,15643.1225,4879.0983
2007-10-01,27329.5609,17309.12,5158.0645
2008-01-01,28282.8303,18669.03,5019.2584
2008-04-01,31378.3693,21277.9176,5605.3391
2008-07-01,32363.6332,22067.613,5704.4122
2008-10-01,34005.2755,22377.3154,6924.546
2009-01-01,33035.2382,21586.7425,6864.5414
2009-04-01,33633.2523,21724.6519,7338.0281
2009-07-01,34698.2299,23431.5732,7286.532
2009-10-01,37608.049,24333.3955,8317.666
2010-01-01,38115.3664,24386.9714,8079.6181
2010-04-01,36117.6654,23987.585,7072.4798
2010-07-01,37220.0042,26071.3551,6449.2944
2010-10-01,38548.9265,27669.8553,6553.4934
2011-01-01,40157.6608,29649.3412,6560.5327
2011-04-01,42432.7969,31107.6493,6912.6523
2011-07-01,43734.4531,32174.0384,7206.3448
2011-10-01,45537.7614,33411.733,7949.8815
2012-01-01,44492.1302,32227.6961,7805.4071
2012-04-01,45488.6465,32862.633,8186.1682
2012-07-01,46916.4065,33779.6309,8215.0921
2012-10-01,49154.2049,36077.0978,8457.1948
2013-01-01,41990.8522,28976.2433,8146.4287
2013-04-01,43979.2767,30354.9353,8664.2489
2013-07-01,43699.1141,30307.1097,8241.3675
2013-10-01,46479.2386,31866.3011,8894.2647
2014-01-01,46816.5653,32316.6764,8486.7751
2014-04-01,50646.8962,35611.6654,8571.4422
2014-07-01,50849.2844,35920.2253,8465.931
2014-10-01,50763.7496,36356.8561,8121.1391
2015-01-01,49014.8321,35440.1483,7074.2617
2015-04-01,49251.3107,34812.5326,7303.9717
2015-07-01,47177.147,33956.0789,6762.3853
2015-10-01,47696.5654,32210.3203,7312.5357
2016-01-01,49656.4255,33383.1986,7243.8983
2016-04-01,53207.0578,35142.199,8039.7864
2016-07-01,51236.9129,34307.9393,8027.8819
2016-10-01,52201.5834,33871.0171,8887.0445
2017-01-01,50706.9564,33107.8827,9013.0289
2017-04-01,55888.2863,36402.4361,9654.7093
2017-07-01,55514.1166,35458.1353,10182.3362
2017-10-01,56657.4527,35011.7769,10065.0239
2018-01-01,55068.1935,35522.4464,9035.833
2018-04-01,56708.4044,37251.0973,8800.4132
2018-07-01,55604.6203,36137.7783,8576.2912
2018-10-01,55868.5355,36909.7048,8442.8297
2019-01-01,57447.561,37798.0396,8572.0009
2019-04-01,61327.795,39896.0483,9432.8373
2019-07-01,61753.0277,39787.1637,9850.5056
2019-10-01,59920.9751,38654.8775,9308.1227
2020-01-01,68898.9234,44549.143,10506.9638
2020-04-01,68170.4105,45784.6299,9328.5266
2020-07-01,66423.8187,42620.1448,9161.2457
2020-10-01,65733.5219,41834.4514,9215.6156
2021-01-01,64176.5212,41171.8158,9052.7284
2021-04-01,67689.2013,43427.4033,9552.7724
2021-07-01,68252.0222,42314.5313,10966.3305
2021-10-01,70032.5564,43939.2286,10457.8179
2022-01-01,70888.6134,44893.5954,10525.617
2022-04-01,77446.1083,49363.0761,11011.8381
2022-07-01,82563.4977,53430.2073,10898.4033
2022-10-01,86433.2563,54444.3458,11519.6629
2023-01-01,78915.2636,50643.0396,10038.9689
2023-04-01,80189.5187,51563.662,11086.4908
2023-07-01,79187.7813,50679.1463,11092.4624
2023-10-01,80939.8509,51114.639,11358.7104
2024-01-01,75011.3894,48653.5099,11225.3572
2024-04-01,75183.8095,49731.7352,11019.2917
2024-07-01,74375.2791,48371.9702,10983.4703
2024-10-01,79055.6822,50303.5148,12403.356
2025-01-01,77533.1941,49298.897,12349.4702
2025-04-01,79971.0573,51166.33,12824.8157
2025-07-01,78044.0102,48857.3386,12620.7278
2025-10-01,79912.9831,50487.9295,12574.07
2026-01-01,82595.1656,53386.1628,12770.0525
