,Vente de ciment (1000tonnes),Laayoune-Boujdour-S.Elhamra,Rabat-salé-Zemmour-Zaer,Tadla-Azilal,Taza-Al Houceima-Taounate,Tanger-Tétouan,Guelmim-Es-Smara,Souss-Massa-Draa,Gharb-Cherarda-B.Hssen,Chaouia-Ourdigha,Marrakech-Tensift-Haouz,Oriental,Grand Casablanca,Doukkala-Abda,Meknés-Tafilalt,Fès Boulemane,Total (2),Tanger-Tétouan - Al Houceima,Oriental (2),Fès - Meknès,Rabat-Salé-Kénitra,Béni Mellal - Khénifra,Casablanca - Settat,Marrakech-Safi,Drâa - Tafilalet,Souss-Massa,Guelmim-Oued Noun,Laayoun-S.Elhamra,Dakhla -Oued Ed-Dahab
1995-01-01,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-01,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-01,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-01,539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-01,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-01,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-01,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-01,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-01,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-01,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-01,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-01,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-01,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-01,634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-01,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-01,737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-01,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-01,456.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,461.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-01,454.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-01,644.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-01,467.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-01,655.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-01,641.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-01,630.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-01,649.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-01,676.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-01,736.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-01,563.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-01,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,446.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-01,493.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-01,646.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,448.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-01,611.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-01,637.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-01,612.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-01,638.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-01,665.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,729.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-01,644.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-01,579.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,387.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,559.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,498.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,607.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-01,653.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,576.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,652.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
