,VA Electricite gaz eau (Mdh)
1998Q1,3324.8124
1998Q2,3322.9488
1998Q3,3144.7307
1998Q4,3203.2544
1999Q1,3277.7616
1999Q2,3253.6735
1999Q3,3166.8822
1999Q4,3229.1723
2000Q1,3269.7022
2000Q2,3285.4759
2000Q3,3557.9009
2000Q4,3515.8628
2001Q1,3540.1677
2001Q2,3747.6845
2001Q3,3604.3943
2001Q4,3738.8663
2002Q1,3746.9654
2002Q2,3682.2315
2002Q3,3710.1805
2002Q4,3784.703
2003Q1,3830.8127
2003Q2,3947.776
2003Q3,4138.8609
2003Q4,4154.0088
2004Q1,4178.1043
2004Q2,4189.338
2004Q3,4338.7489
2004Q4,4140.0838
2005Q1,4421.1911
2005Q2,4555.4455
2005Q3,4449.482
2005Q4,4502.3345
2006Q1,4683.8496
2006Q2,4923.3165
2006Q3,4713.8234
2006Q4,4966.3106
2007Q1,4650.6672
2007Q2,4710.7206
2007Q3,5054.373
2007Q4,5182.221
2008Q1,5268.0423
2008Q2,5229.1032
2008Q3,5217.4109
2008Q4,5275.1039
2009Q1,4806.2778
2009Q2,4562.7786
2009Q3,4555.0224
2009Q4,4580.1843
2010Q1,5520.1079
2010Q2,5371.1896
2010Q3,5411.728
2010Q4,5415.3111
2011Q1,5673.8437
2011Q2,5774.8784
2011Q3,5758.6693
2011Q4,6151.9574
2012Q1,5576.2929
2012Q2,5568.4853
2012Q3,5614.3874
2012Q4,5462.2856
2013Q1,5747.1419
2013Q2,5985.7998
2013Q3,6192.3336
2013Q4,6239.3486
2014Q1,5957.5128
2014Q2,6158.6702
2014Q3,6116.969
2014Q4,6064.8481
2015Q1,6335.825
2015Q2,6374.6225
2015Q3,6440.937
2015Q4,6411.6157
2016Q1,6412.5598
2016Q2,6303.3628
2016Q3,6768.1809
2016Q4,6529.0821
2017Q1,6482.4952
2017Q2,6648.5825
2017Q3,6680.7203
2017Q4,6944.9654
2018Q1,7101.8252
2018Q2,6987.9651
2018Q3,7281.8697
2018Q4,7750.5765
2019Q1,8502.276
2019Q2,8397.5241
2019Q3,8270.6441
2019Q4,8218.9541
2020Q1,8396.341
2020Q2,7620.0291
2020Q3,8543.6851
2020Q4,8407.8737
2021Q1,8592.8069
2021Q2,8813.0302
2021Q3,8954.0396
2021Q4,9078.6209
2022Q1,8519.2893
2022Q2,8596.5053
2022Q3,8555.2891
2022Q4,8295.4975
2023Q1,7339.8454
2023Q2,7694.7341
2023Q3,7710.7063
2023Q4,7630.3399
2024Q1,7857.6952
2024Q2,7493.8371
2024Q3,8286.7787
2024Q4,8382.8155
2025Q1,7862.3506
2025Q2,7776.7844
2025Q3,8362.76
2025Q4,8204.0498
2026Q1,7595.0307
