,Crédit bancaire Activités financières (MDH),Comptes débiteurs et crédits de trésorerie — Finances et assurances (MDH),Crédits à l'équipement — Finances et assurances (MDH),Primes versées (MDH),Prestations (MDH)
1998-01-01,,,,,
1998-04-01,,,,,
1998-07-01,,,,,
1998-10-01,,,,,
1999-01-01,,,,,
1999-04-01,,,,,
1999-07-01,,,,,
1999-10-01,,,,,
2000-01-01,,,,,
2000-04-01,,,,,
2000-07-01,,,,,
2000-10-01,,,,,
2001-01-01,,,,,
2001-04-01,,,,,
2001-07-01,,,,,
2001-10-01,,,,,
2002-01-01,,,,,
2002-04-01,,,,,
2002-07-01,,,,,
2002-10-01,,,,,
2003-01-01,,,,,
2003-04-01,,,,,
2003-07-01,,,,,
2003-10-01,,,,,
2004-01-01,,,,,
2004-04-01,,,,,
2004-07-01,,,,,
2004-10-01,,,,,
2005-01-01,,,,,
2005-04-01,,,,,
2005-07-01,,,,,
2005-10-01,,,,,
2006-01-01,,,,,
2006-04-01,,,,,
2006-07-01,,,,,
2006-10-01,48007.1143,5302.8498,2933.5304,,
2007-01-01,51485.635,7661.7059,2469.9293,,
2007-04-01,56876.9902,5694.7274,2658.3103,,
2007-07-01,67045.3295,7932.4363,2811.2609,,
2007-10-01,71944.8197,8396.3199,5104.8343,,
2008-01-01,71871.6225,7978.7143,5210.9906,,
2008-04-01,75446.8025,6599.3136,6368.0449,,
2008-07-01,79869.3316,7554.3589,5034.1571,,
2008-10-01,89310.774,7824.5349,5822.2159,,
2009-01-01,88333.0982,6174.5237,8105.9027,,
2009-04-01,88882.1084,5730.067,8225.9769,,
2009-07-01,87353.003,5181.5413,7726.1473,,
2009-10-01,94021.6086,5371.782,8001.8755,,
2010-01-01,97984.9942,4830.6218,10315.2093,,
2010-04-01,102906.9892,4859.4457,7383.5646,,
2010-07-01,100502.0066,3622.4008,9003.5896,,
2010-10-01,97833.7975,4921.6451,9264.0993,,
2011-01-01,96767.1091,3703.9936,9206.9531,,
2011-04-01,96269.3503,3927.2175,9541.7959,,
2011-07-01,96346.6193,4826.6345,10459.7421,,
2011-10-01,102533.5724,5489.6086,12000.4713,,
2012-01-01,99923.1258,3722.0782,9413.52,,
2012-04-01,96276.6113,3191.8689,10229.9404,,
2012-07-01,92754.2866,3367.3518,10141.2589,,
2012-10-01,98247.3629,4403.3126,8715.2242,,
2013-01-01,92669.21,4487.7548,8735.024,,
2013-04-01,98305.7867,4510.8561,8971.4957,,
2013-07-01,97406.229,5261.0808,7688.9203,,
2013-10-01,114886.6866,5845.5203,8158.8492,,
2014-01-01,105493.2718,5556.5209,8161.9983,,
2014-04-01,103698.1725,7383.8077,8214.8411,,
2014-07-01,100932.4091,6708.3365,8191.4895,,
2014-10-01,107189.7144,5063.4664,6853.5323,,
2015-01-01,107743.2817,4848.9152,6424.0759,,
2015-04-01,114603.1746,6737.4385,6397.6803,,
2015-07-01,108075.3037,5015.578,7491.8218,,
2015-10-01,126697.0555,5336.2031,7895.9158,,
2016-01-01,108947.2263,5181.1481,8694.7565,,
2016-04-01,116979.1702,5154.0381,8465.763,,
2016-07-01,117549.3586,7645.0606,7925.9262,7150.2,4920.6
2016-10-01,133431.1901,5345.5464,7081.7528,7840.2,4993.5
2017-01-01,123578.6113,5854.0943,5913.9137,,
2017-04-01,136171.0963,10551.0318,5534.7751,,
2017-07-01,121635.6973,6144.6447,5830.9155,8451.4,5752.4
2017-10-01,128282.7957,7553.741,4442.0404,9412.4,7133.6
2018-01-01,118575.3782,7273.512,4952.0477,,
2018-04-01,124603.0046,6553.8475,5094.5812,,
2018-07-01,120769.2391,7228.7388,5828.4132,8584.1,4516.5
2018-10-01,135679.1997,10743.029,6019.6463,10284.4,4978.0
2019-01-01,133786.0237,12950.1056,6268.0424,0.0,0.0
2019-04-01,139515.9758,4605.319,7374.4187,10354.3,5903.0
2019-07-01,134653.5235,7023.5609,7343.158,9558.7,4952.8
2019-10-01,144824.3286,10327.3329,8264.3565,10483.3,5190.0
2020-01-01,135551.9532,10433.0688,8615.0368,14470.3,6256.2
2020-04-01,154779.5068,8064.9502,8418.7613,10568.5,5305.1
2020-07-01,143234.3509,8527.7108,8525.6021,10077.7,5193.2
2020-10-01,154481.064,6917.0226,8697.9553,10882.2,7238.6
2021-01-01,139517.3914,7392.9121,9642.0048,14718.1,7261.3
2021-04-01,155966.11,7718.3481,9757.9827,13451.6,8681.3
2021-07-01,145862.4707,8116.1412,7755.3713,11146.4,7308.3
2021-10-01,149360.8536,7383.8747,7036.8444,10978.9,7489.0
2022-01-01,149200.0807,7308.0811,6192.1987,15300.3,8520.8
