,Arrivés de touristes étrangers de Séjour (TES),Arrivés de MRE aux frontières,Arrivés de touristes aux frontières,Recettes touristiques (mensuel (En millions de dirhams)),Marrakech,Agadir,Casablanca,Tanger,Fès,Rabat,Essaouira - Mogador,Ouarzazate,Meknès,Tétouan,Oujda-Essaidia,EL jadida-mazagan
2007-01-01,,,,,57.0,57.0,55.0,41.0,28.0,43.0,25.0,21.0,26.0,19.0,,
2007-02-01,,,,,62.0,60.0,56.0,40.0,29.0,47.0,26.0,24.0,26.0,19.0,,
2007-03-01,,,,,,,,,,,,,,,,
2007-04-01,,,,,,,,,,,,,,,,
2007-05-01,,,,,71.0,63.0,57.0,39.0,44.0,54.0,23.0,33.0,34.0,38.0,,
2007-06-01,,,,,70.0,64.0,57.0,46.0,39.0,55.0,38.0,31.0,33.0,27.0,,
2007-07-01,,,,,,,,,,,,,,,,
2007-08-01,,,,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,,,,
2007-10-01,,,,,68.0,67.0,55.0,49.0,38.0,54.0,41.0,28.0,39.0,31.0,,
2007-11-01,,,,,67.0,66.0,56.0,49.0,38.0,55.0,40.0,28.0,31.0,38.0,,
2007-12-01,4030.898,3376.719,7407.617,4953.6,66.0,63.0,55.0,48.0,37.0,54.0,38.0,28.0,37.0,31.0,,
2008-01-01,253.107,156.039,409.146,4323.0,50.0,49.0,45.0,43.0,28.0,48.0,20.0,17.0,25.0,21.0,,
2008-02-01,553.612,302.747,856.359,3507.3,53.0,50.0,47.0,45.0,29.0,54.0,21.0,19.0,25.0,22.0,,
2008-03-01,945.937,481.01,1426.947,4053.2,57.0,52.0,48.0,46.0,35.0,54.0,26.0,24.0,28.0,24.0,,
2008-04-01,1327.701,643.366,1971.067,4419.6,60.0,53.0,50.0,38.0,55.0,47.0,29.0,27.0,33.0,25.0,,
2008-05-01,1691.925,807.447,2499.372,4118.8,60.0,53.0,51.0,49.0,40.0,56.0,31.0,28.0,34.0,27.0,,
2008-06-01,2050.03,1144.244,3194.274,4041.1,59.0,54.0,52.0,51.0,39.0,58.0,32.0,26.0,33.0,29.0,,
2008-07-01,2485.012,2210.456,4695.468,8307.1,58.0,56.0,53.0,54.0,39.0,58.0,33.0,25.0,34.0,37.0,,
2008-08-01,2884.999,2794.015,5679.014,8141.4,,,,,,,,,,,,
2008-09-01,3258.324,2961.13,6219.454,3458.4,57.0,59.0,52.0,55.0,38.0,55.0,35.0,25.0,32.0,42.0,,
2008-10-01,3572.924,3167.333,6740.257,3822.4,58.0,59.0,52.0,55.0,39.0,56.0,35.0,26.0,32.0,41.0,,
2008-11-01,3918.671,3496.112,7414.783,3030.4,57.0,58.0,53.0,55.0,38.0,57.0,33.0,26.0,32.0,39.0,26.0,28.0
2008-12-01,4173.101,3683.026,7856.127,4328.1,55.0,57.0,52.0,54.0,37.0,56.0,31.0,25.0,31.0,37.0,26.0,27.0
2009-01-01,294.746,186.372,481.118,3361.3,37.0,50.0,44.0,46.0,31.0,47.0,14.0,15.0,24.0,18.0,30.0,20.0
2009-02-01,655.011,393.852,1048.863,2551.5,38.0,51.0,47.0,47.0,34.0,51.0,16.0,16.0,26.0,18.0,23.0,21.0
2009-03-01,1096.415,617.606,1714.021,3197.7,42.0,53.0,48.0,47.0,39.0,53.0,18.0,20.0,28.0,20.0,22.0,24.0
2009-04-01,1477.941,822.746,2300.687,3843.3,47.0,53.0,49.0,49.0,45.0,56.0,22.0,25.0,31.0,22.0,22.0,24.0
2009-05-01,1838.76,1204.323,3043.083,3743.3,48.0,54.0,50.0,51.0,45.0,57.0,24.0,26.0,31.0,23.0,,
2009-06-01,2284.74,2348.842,4633.582,3963.3,47.0,54.0,51.0,52.0,43.0,56.0,25.0,25.0,31.0,24.0,24.0,25.0
2009-07-01,2644.15,2847.138,5491.288,7967.2,47.0,57.0,51.0,55.0,42.0,57.0,28.0,24.0,31.0,31.0,,
2009-08-01,2952.172,3064.961,6017.133,7519.4,,,,,,,,,,,,
2009-09-01,3349.64,3265.535,6615.175,3933.1,43.0,53.0,41.0,35.0,32.0,48.0,26.0,18.0,20.0,24.0,24.0,26.0
2009-10-01,3681.592,3578.291,7259.883,4196.2,56.0,55.0,60.0,58.0,50.0,71.0,34.0,32.0,21.0,32.0,30.0,31.0
2009-11-01,4038.528,3861.365,7899.893,4104.7,47.0,57.0,50.0,54.0,40.0,55.0,30.0,24.0,30.0,33.0,30.0,28.0
2009-12-01,4330.136,4077.85,8407.986,4452.8,47.0,55.0,50.0,53.0,40.0,55.0,29.0,23.0,29.0,32.0,29.0,27.0
2010-01-01,291.608,216.485,508.093,3559.9,40.0,43.0,48.0,45.0,27.0,45.0,17.0,14.0,24.0,15.0,16.0,25.0
2010-02-01,618.625,430.831,1049.456,3076.3,42.0,46.0,49.0,47.0,29.0,48.0,20.0,16.0,26.0,22.0,21.0,22.0
2010-03-01,1055.963,665.771,1721.734,3764.9,46.0,49.0,52.0,48.0,33.0,53.0,24.0,20.0,29.0,27.0,22.0,20.0
2010-04-01,1488.301,898.508,2386.809,4125.6,50.0,49.0,54.0,50.0,37.0,55.0,28.0,24.0,32.0,26.0,21.0,31.0
2010-05-01,1919.275,1139.847,3059.122,3970.6,51.0,50.0,55.0,50.0,39.0,58.0,30.0,25.0,33.0,25.0,24.0,33.0
2010-06-01,2351.0,1601.0,3952.0,4111.3,50.0,52.0,55.0,51.0,39.0,59.0,31.0,24.0,33.0,25.0,28.0,23.0
2010-07-01,2860.0,2859.694,5719.694,7864.2,50.0,57.0,55.0,55.0,38.0,58.0,33.0,22.0,34.0,33.0,33.0,38.0
2010-08-01,3264.039,3215.489,6479.528,7287.7,,,,,,,,,,,,
2010-09-01,3657.948,3491.86,7149.808,4982.8,49.0,68.0,49.0,48.0,38.0,53.0,33.0,21.0,29.0,24.0,26.0,29.0
2010-10-01,4146.204,3744.021,7890.225,4607.0,51.0,61.0,54.0,54.0,39.0,56.0,36.0,23.0,32.0,32.0,34.0,38.0
2010-11-01,4518.787,4066.44,8585.227,4783.5,51.0,60.0,54.0,53.0,38.0,56.0,34.0,22.0,32.0,31.0,33.0,38.0
2010-12-01,4910.435,4377.903,9288.338,4287.7,50.0,58.0,53.0,53.0,38.0,55.0,33.0,22.0,31.0,30.0,33.0,37.0
2011-01-01,348.0,239.0,587.0,4213.0,44.0,60.0,53.0,43.0,29.0,50.0,21.0,14.0,24.0,21.0,22.0,42.0
2011-02-01,730.0,454.0,1184.0,3499.0,46.0,61.0,55.0,42.0,30.0,50.0,22.0,16.0,26.0,20.0,20.0,47.0
