,Crédit bancaire Hôtels et restaurants (MDH),Comptes débiteurs et crédits de trésorerie — Hébergement-restauration (MDH),Crédits à l'équipement — Hébergement-restauration (MDH)
1998-01-01,,,
1998-04-01,,,
1998-07-01,,,
1998-10-01,,,
1999-01-01,,,
1999-04-01,,,
1999-07-01,,,
1999-10-01,,,
2000-01-01,,,
2000-04-01,,,
2000-07-01,,,
2000-10-01,,,
2001-01-01,,,
2001-04-01,,,
2001-07-01,,,
2001-10-01,,,
2002-01-01,,,
2002-04-01,,,
2002-07-01,,,
2002-10-01,,,
2003-01-01,,,
2003-04-01,,,
2003-07-01,,,
2003-10-01,,,
2004-01-01,,,
2004-04-01,,,
2004-07-01,,,
2004-10-01,,,
2005-01-01,,,
2005-04-01,,,
2005-07-01,,,
2005-10-01,,,
2006-01-01,,,
2006-04-01,,,
2006-07-01,,,
2006-10-01,7311.3509,1073.372,3138.7427
2007-01-01,8363.9747,1271.4475,3392.7436
2007-04-01,8565.4145,1842.0543,3738.9539
2007-07-01,9074.5388,1840.1554,4270.0886
2007-10-01,10481.767,2555.085,5321.4993
2008-01-01,10733.4789,2834.079,5506.634
2008-04-01,11365.3385,3318.3716,5489.5376
2008-07-01,12906.8086,3519.2937,6944.1126
2008-10-01,13691.6125,4096.0752,7342.5349
2009-01-01,14974.0403,4780.0046,7922.7502
2009-04-01,16316.5054,5221.5324,8555.2759
2009-07-01,18498.43,6569.4568,9111.1039
2009-10-01,18513.506,5327.0039,10770.9393
2010-01-01,18711.2753,4920.1438,11015.7272
2010-04-01,19156.3431,3048.2545,13307.5094
2010-07-01,18626.599,2534.9463,14156.4857
2010-10-01,17835.2266,2594.6004,14340.6338
2011-01-01,18404.541,2808.5109,14583.5914
2011-04-01,19206.1772,2430.8546,15609.7404
2011-07-01,19954.4736,3322.3269,15348.1085
2011-10-01,19337.2094,3212.1913,14557.8076
2012-01-01,19649.5605,3220.8946,14863.1994
2012-04-01,18961.4091,3484.7025,13830.915
2012-07-01,19141.3906,3433.7621,13731.5226
2012-10-01,21062.9913,3914.584,14948.7766
2013-01-01,19531.8238,3509.8164,13708.1765
2013-04-01,19518.1434,3335.786,13419.7463
2013-07-01,19008.1325,3470.0417,13009.6299
2013-10-01,18202.0667,3473.7506,12130.9316
2014-01-01,16805.1065,3351.0321,10716.3733
2014-04-01,16947.95,3568.269,10595.7085
2014-07-01,17422.0034,3648.2299,9660.4739
2014-10-01,18283.1533,3672.6592,10526.3722
2015-01-01,17598.4322,3253.4079,10137.0602
2015-04-01,17221.0966,3026.1193,9916.7675
2015-07-01,17281.0451,3200.834,9646.6602
2015-10-01,16552.8044,3372.3315,9121.9603
2016-01-01,16617.508,3055.5579,8895.1078
2016-04-01,16454.9142,3092.2984,9088.5787
2016-07-01,16415.2589,2895.4573,9452.4528
2016-10-01,15869.6911,1534.726,10028.1818
2017-01-01,16291.6082,1727.6229,9783.1283
2017-04-01,15925.0481,1556.0594,9639.6838
2017-07-01,16543.6172,1437.8343,9931.4768
2017-10-01,15220.0344,1306.3278,10151.0543
2018-01-01,15654.6727,1527.791,9960.4428
2018-04-01,15340.8381,1642.4752,9649.8392
2018-07-01,15540.8579,1798.5472,9524.3892
2018-10-01,14414.3821,1241.5932,9530.2513
2019-01-01,14149.2305,1285.6609,9004.7937
2019-04-01,14290.3584,1228.5755,9192.589
2019-07-01,14255.5168,1283.3465,9016.4482
2019-10-01,14017.4413,1173.0131,8689.1009
2020-01-01,13845.5834,1440.2037,8204.2008
2020-04-01,15128.5214,1929.2521,9032.1359
2020-07-01,16331.2251,2410.7835,9537.0134
2020-10-01,16609.5181,2507.486,9870.5596
2021-01-01,16933.8814,2948.9906,9989.8913
2021-04-01,17826.3362,3190.4351,10089.1548
2021-07-01,19424.6867,3332.5981,11131.4485
2021-10-01,20012.0614,3397.9434,10981.9255
2022-01-01,20028.1798,3481.3238,10935.572
2022-04-01,19797.3412,3309.1557,10855.6599
2022-07-01,19669.9805,3231.9604,10974.8385
2022-10-01,20017.2926,3317.1775,11481.3257
2023-01-01,19355.0534,3354.366,11184.5311
2023-04-01,19268.3629,3407.1201,11078.0293
2023-07-01,18788.627,3188.3139,10876.4579
2023-10-01,18420.1709,3010.8344,11131.2354
2024-01-01,17874.8625,3026.9889,10962.1375
2024-04-01,17669.6908,3181.4747,10967.4653
2024-07-01,17132.7807,2910.0168,10680.0814
2024-10-01,16046.9298,2514.3416,10821.2044
2025-01-01,15587.5303,2560.7045,10342.9377
2025-04-01,15626.6343,2567.8565,10123.5047
2025-07-01,15259.2946,2454.6743,9890.3632
2025-10-01,16536.2436,3025.0255,10548.6153
2026-01-01,16466.5975,3074.2051,10431.776
