,VA Immobilier (Mdh)
1998Q1,8441.3796
1998Q2,8607.432
1998Q3,8715.09
1998Q4,8730.7394
1999Q1,8844.4263
1999Q2,8972.5869
1999Q3,9186.5819
1999Q4,9462.3509
2000Q1,9491.6014
2000Q2,9459.7625
2000Q3,9517.1075
2000Q4,9627.4266
2001Q1,9870.1562
2001Q2,9830.1577
2001Q3,9745.7041
2001Q4,10002.772
2002Q1,10258.2786
2002Q2,10548.9505
2002Q3,10756.759
2002Q4,10699.083
2003Q1,10871.3858
2003Q2,11274.6755
2003Q3,11624.5321
2003Q4,11669.1446
2004Q1,11829.3804
2004Q2,11948.8605
2004Q3,11984.8316
2004Q4,12323.1895
2005Q1,12594.7031
2005Q2,12852.9594
2005Q3,13119.0531
2005Q4,13299.9194
2006Q1,13037.5614
2006Q2,13128.3325
2006Q3,13550.8236
2006Q4,14000.1075
2007Q1,14505.3761
2007Q2,14709.5359
2007Q3,14959.8175
2007Q4,15211.4225
2008Q1,14721.3045
2008Q2,14784.3214
2008Q3,14896.2268
2008Q4,14952.5882
2009Q1,15295.1681
2009Q2,15554.2926
2009Q3,15667.3048
2009Q4,15755.2555
2010Q1,15663.5125
2010Q2,15800.1108
2010Q3,15841.7339
2010Q4,16042.2218
2011Q1,16484.6813
2011Q2,16565.5839
2011Q3,16789.7983
2011Q4,17028.4916
2012Q1,17360.1857
2012Q2,17419.1984
2012Q3,17461.684
2012Q4,17614.9408
2013Q1,17514.5575
2013Q2,17615.2729
2013Q3,17878.9327
2013Q4,17869.2718
2014Q1,18271.7589
2014Q2,18208.421
2014Q3,18168.7786
2014Q4,18137.0414
2015Q1,18139.0089
2015Q2,18187.6958
2015Q3,18258.5335
2015Q4,18338.7621
2016Q1,18572.3427
2016Q2,18692.018
2016Q3,18793.0465
2016Q4,18864.77
2017Q1,18866.9217
2017Q2,18967.7343
2017Q3,19070.1441
2017Q4,19172.8347
2018Q1,19442.7578
2018Q2,19581.3139
2018Q3,19688.6661
2018Q4,19773.465
2019Q1,19912.0372
2019Q2,19993.4076
2019Q3,20017.8789
2019Q4,19996.3971
2020Q1,19754.9416
2020Q2,19785.5352
2020Q3,19834.8015
2020Q4,19884.4957
2021Q1,20259.8322
2021Q2,20379.5242
2021Q3,20479.5039
2021Q4,20475.7175
2022Q1,20350.4975
2022Q2,20370.5109
2022Q3,20409.7967
2022Q4,20468.3078
2023Q1,20853.5871
2023Q2,20944.232
2023Q3,20963.934
2023Q4,21041.1308
2024Q1,21452.4079
2024Q2,21497.1907
2024Q3,21509.479
2024Q4,21567.9403
2025Q1,22096.006
2025Q2,22145.8071
2025Q3,22176.7683
2025Q4,22256.1301
2026Q1,22582.1181
