,"Crédits à l’immobilier 
 (MDH) (Jan 18)",Crédits à l'habitat (MDH) (Jan 18),Crédits aux promoteurs immobiliers (1),Dont: Financement participatif à l'habitat
2001-12-01,,,486.1797,
2002-01-01,,,880.334,
2002-02-01,,,1449.483,
2002-03-01,,,1572.7247,
2002-04-01,,,1684.9628,
2002-05-01,,,1621.9652,
2002-06-01,,,1615.695,
2002-07-01,,,1396.0631,
2002-08-01,,,1342.7476,
2002-09-01,,,1527.2834,
2002-10-01,,,1380.5103,
2002-11-01,,,1401.3138,
2002-12-01,,,1430.3043,
2003-01-01,,,1366.4602,
2003-02-01,,,1452.6114,
2003-03-01,,,1468.4079,
2003-04-01,,,1514.4857,
2003-05-01,,,1538.1879,
2003-06-01,,,1579.7895,
2003-07-01,,,1582.1125,
2003-08-01,,,1553.2015,
2003-09-01,,,1489.1262,
2003-10-01,,,1593.1106,
2003-11-01,,,1576.2007,
2003-12-01,,,1598.1287,
2004-01-01,,,1488.9099,
2004-02-01,,,1851.9703,
2004-03-01,,,1383.9791,
2004-04-01,,,1452.0955,
2004-05-01,,,1501.1326,
2004-06-01,,,1492.9893,
2004-07-01,,,1503.1599,
2004-08-01,,,1446.707,
2004-09-01,,,1408.2462,
2004-10-01,,,2254.3035,
2004-11-01,,,2241.4926,
2004-12-01,,,2243.7331,
2005-01-01,,,2351.6011,
2005-02-01,,,2435.7224,
2005-03-01,,,2739.4075,
2005-04-01,,,2728.1934,
2005-05-01,,,2695.8411,
2005-06-01,,,3060.1635,
2005-07-01,,,3191.9141,
2005-08-01,,,3470.5949,
2005-09-01,,,3607.5857,
2005-10-01,,,3706.0767,
2005-11-01,,,3927.5344,
2005-12-01,,,4048.1355,
2006-01-01,,,4100.866,
2006-02-01,,,4356.0295,
2006-03-01,,,4467.4141,
2006-04-01,,,4591.1489,
2006-05-01,,,4840.7638,
2006-06-01,,,5161.7494,
2006-07-01,,,5044.218,
2006-08-01,,,5268.1127,
2006-09-01,,,5481.6489,
2006-10-01,,,5502.9998,
2006-11-01,,,5967.5401,
2006-12-01,,,6329.8311,
2007-01-01,,,7306.3244,
2007-02-01,,,16542.2784,
2007-03-01,,,17209.9335,
2007-04-01,,,18385.3698,
2007-05-01,,,19849.2969,
2007-06-01,,,21333.2418,
2007-07-01,,,23793.1359,
2007-08-01,,,24486.5805,
2007-09-01,,,25984.0436,
2007-10-01,,,28856.6961,
2007-11-01,,,30936.4718,
2007-12-01,120054.6781,85028.871,35025.8071,
2008-01-01,122433.8935,86436.7353,35825.9824,
2008-02-01,124217.8665,88389.5941,35828.2724,
2008-03-01,126974.9693,88945.8184,37323.2812,
2008-04-01,130780.6632,91583.8509,39196.8123,
2008-05-01,133374.6136,91466.9641,41907.6495,
2008-06-01,138179.0003,93318.4155,44860.5848,
2008-07-01,142425.4318,94337.9431,48087.4888,
2008-08-01,143403.3188,95725.8715,47677.4472,
2008-09-01,146894.9509,96723.2108,50171.7401,
2008-10-01,151002.9341,98148.8924,52743.7311,
2008-11-01,153375.2075,99051.231,54375.444,
2008-12-01,153244.7259,97725.5318,55500.5163,
2009-01-01,154180.3162,98689.4972,55308.3806,
2009-02-01,155681.961,99765.6949,55716.4569,
2009-03-01,158739.6434,100696.3542,58040.5318,
2009-04-01,159517.541,101632.0639,57871.6767,
2009-05-01,162038.1769,103010.3421,58916.5385,
2009-06-01,165011.1361,104196.1794,60644.7447,
2009-07-01,167357.9552,105092.7942,61734.9196,
2009-08-01,168248.6338,106477.783,61416.9011,
2009-09-01,169065.2249,107482.7786,60802.5267,
2009-10-01,169832.0049,108339.6743,60941.1002,
2009-11-01,171640.4986,109079.7018,62042.2981,
2009-12-01,173147.0285,109819.9488,63248.6047,
2010-01-01,173891.545,110524.8714,63204.0402,
2010-02-01,176384.7627,111977.731,63881.6966,
2010-03-01,177521.1207,113533.8641,63809.5163,
2010-04-01,179549.5893,114706.4636,64352.3053,
2010-05-01,182535.9192,116143.2167,65840.963,
2010-06-01,183125.958,117319.0611,65368.4415,
2010-07-01,184859.8676,119094.8271,65155.9868,
2010-08-01,183872.2388,119675.6467,63481.1995,
2010-09-01,184671.7667,120783.1804,62869.8355,
2010-10-01,186589.9592,121472.2241,63945.2854,
2010-11-01,188108.5879,122395.0751,64418.0807,
2010-12-01,188224.6028,123944.0844,63943.5248,
2011-01-01,190074.563,123893.0736,65500.0992,
2011-02-01,192150.9562,125857.6145,65392.714,
2011-03-01,193953.9428,127143.1331,65803.1941,
2011-04-01,196089.931,128125.0462,66830.2191,
2011-05-01,198473.8523,129500.5789,67699.6312,
2011-06-01,199641.8299,130386.8444,68143.2619,
2011-07-01,201105.4734,131473.1224,67889.9329,
2011-08-01,203116.5679,133030.8517,68252.7476,
2011-09-01,206341.5851,134218.3117,70235.9982,
2011-10-01,207211.8378,135228.3621,70157.9458,
2011-11-01,208319.9664,136261.462,69921.4136,
2011-12-01,207342.7864,137161.2485,68293.5326,
2012-01-01,207428.1127,137372.7655,68685.3546,
2012-02-01,209099.6623,138647.9454,68929.1091,
2012-03-01,209466.4495,139808.9811,68270.8811,
2012-04-01,211080.8581,141069.6574,68495.454,
2012-05-01,213411.2753,142991.8521,68971.8601,
2012-06-01,215063.0536,144375.9547,69506.3278,
2012-07-01,216946.9976,145262.4292,69499.3204,
2012-08-01,218191.7769,146524.9783,68467.528,
2012-09-01,218602.3201,147502.3453,69289.6038,
2012-10-01,219255.3569,148711.2426,68579.6612,
2012-11-01,219877.4551,149894.0659,67966.1049,
2012-12-01,220034.4435,150588.6569,68123.3996,
2013-01-01,219483.335,151391.9223,65541.5119,
2013-02-01,224697.9881,152660.8182,70535.2404,
2013-03-01,224350.4281,153778.1137,68864.1807,
2013-04-01,226444.4673,154721.7309,69823.4163,
2013-05-01,227742.95,156276.8715,69032.529,
2013-06-01,228825.8168,157547.2399,69023.1095,
2013-07-01,228259.7501,157931.1397,68124.946,
2013-08-01,230234.7293,158469.2898,69456.227,
2013-09-01,230762.5667,159388.2457,68748.5057,
2013-10-01,229740.421,159853.4136,67116.7276,
2013-11-01,230965.5998,160779.4609,67673.3293,
2013-12-01,230538.4173,160122.8354,68554.0951,
2014-01-01,230739.8534,160639.966,67605.3106,
2014-02-01,231506.8423,162054.1234,66912.1518,
2014-03-01,232158.4033,163287.0811,66453.5144,
2014-04-01,231992.9358,163123.6729,66543.7905,
2014-05-01,233013.4177,164102.1292,66825.5732,
2014-06-01,234799.1696,165060.2241,66835.485,
2014-07-01,233709.7766,165640.8176,64953.3846,
2014-08-01,234313.781,166252.501,64123.0748,
2014-09-01,235369.5625,167209.9537,64506.9993,
2014-10-01,235660.5957,168187.822,64285.2547,
