,VA Industrie transformation (Mdh)
1998Q1,24732.4105
1998Q2,23054.3102
1998Q3,23197.4093
1998Q4,22428.5292
1999Q1,23307.7931
1999Q2,23998.7386
1999Q3,24173.4291
1999Q4,24263.8207
2000Q1,24141.2206
2000Q2,24508.9433
2000Q3,24733.2117
2000Q4,24773.6463
2001Q1,24869.9172
2001Q2,24951.9123
2001Q3,24904.3737
2001Q4,26007.2456
2002Q1,25682.7668
2002Q2,25524.1585
2002Q3,26498.9547
2002Q4,27634.5581
2003Q1,26654.2978
2003Q2,26554.7675
2003Q3,26651.8183
2003Q4,26642.6393
2004Q1,26811.1301
2004Q2,26490.5336
2004Q3,26694.1626
2004Q4,27112.8096
2005Q1,27172.8715
2005Q2,27839.3087
2005Q3,28052.1321
2005Q4,28052.4458
2006Q1,28484.739
2006Q2,29003.6131
2006Q3,29274.248
2006Q4,29379.638
2007Q1,30224.9853
2007Q2,31360.6299
2007Q3,31400.1278
2007Q4,32354.066
2008Q1,33962.7667
2008Q2,33308.7782
2008Q3,33381.9304
2008Q4,33086.9217
2009Q1,31277.0454
2009Q2,31733.6224
2009Q3,32313.9242
2009Q4,32984.3595
2010Q1,33294.779
2010Q2,34065.2868
2010Q3,35151.5646
2010Q4,35326.9614
2011Q1,35728.7384
2011Q2,36421.9524
2011Q3,36783.1735
2011Q4,37362.1964
2012Q1,37564.8897
2012Q2,36976.2116
2012Q3,36920.0233
2012Q4,36699.0914
2013Q1,36556.5011
2013Q2,36541.8396
2013Q3,36887.1582
2013Q4,37660.2239
2014Q1,38419.1586
2014Q2,38940.9815
2014Q3,39067.3112
2014Q4,37248.5486
2015Q1,38399.692
2015Q2,39155.5562
2015Q3,39399.3517
2015Q4,39138.3997
2016Q1,39011.7832
2016Q2,38623.8442
2016Q3,39515.4653
2016Q4,39979.6502
2017Q1,40362.6436
2017Q2,40969.5928
2017Q3,40502.7244
2017Q4,40616.6257
2018Q1,41578.6122
2018Q2,41419.725
2018Q3,42246.5047
2018Q4,42354.3224
2019Q1,42577.2868
2019Q2,44180.0064
2019Q3,43413.2854
2019Q4,43115.6165
2020Q1,43045.6703
2020Q2,34759.9149
2020Q3,41474.3418
2020Q4,41119.691
2021Q1,44025.8273
2021Q2,43041.6461
2021Q3,43557.6464
2021Q4,44248.5777
2022Q1,43836.7339
2022Q2,45014.8248
2022Q3,45242.0502
2022Q4,45072.5184
2023Q1,45420.658
2023Q2,44654.8006
2023Q3,46093.93
2023Q4,48752.6578
2024Q1,45624.1062
2024Q2,45264.6684
2024Q3,48514.8853
2024Q4,49324.1498
2025Q1,46072.488
2025Q2,47227.4379
2025Q3,48708.6841
2025Q4,50346.6861
2026Q1,45476.2209
